label,date
Sino-French War,1884
First Sino-Japanese War,1894
First Sino-Japanese War,1895
Philippine Revolution,1896
Spanish–American War,1898
Philippine–American War,1899
Second Boer War,1899
Russo-Japanese War,1904
Russian Revolution of 1905,1905
Russo-Japanese War,1905
Mexican Revolution,1910
Xinhai Revolution,1911
First Balkan War,1912
First Balkan War,1913
Second Balkan War,1913
World War I,1914
Russian Revolution,1917
Russian Civil War,1917
October Revolution,1917
Finnish Civil War,1918
German Revolution of 1918–1919,1918
Hungarian–Romanian War,1918
Polish–Ukrainian War,1918
World War I,1918
Polish–Lithuanian War,1919
Polish–Soviet War,1919
Greco-Turkish War,1919
Polish–Soviet War in 1920,1920
Mexican Revolution,1920
Polish–Soviet War,1920
Polish–Lithuanian War,1920
Irish Civil War,1922
Greco-Turkish War,1922
Paulista Revolution,1924
Great Syrian Revolt,1925
Chinese Civil War,1927
Afghan Civil War (1928–1929),1928
Chaco War,1932
Second Italo-Ethiopian War,1935
Spanish Civil War,1936
Second Sino-Japanese War,1937
Spanish Civil War,1939
World War II,1939
Winter War,1939
1948 Arab–Israeli War,1940
1948 Palestine War,1940
1947–1948 Civil War in Mandatory Palestine,1940
Greco-Italian War,1940
World War II in Yugoslavia,1941
Anglo-Iraqi War,1941
Greco-Italian War,1941
Eastern Front,1941
Continuation War,1941
National Liberation War of Macedonia,1941
Pacific War,1941
Continuation War,1944
Eastern Front,1945
August Revolution,1945
Indonesian National Revolution,1945
World War II,1945
Second Sino-Japanese War,1945
Pacific War,1945
Greek Civil War,1946
Chinese Civil War,1946
First Indochina War,1946
Indo-Pakistani war of 1947–1948,1947
Kashmir conflict,1947
partition of India,1947
1947–1948 Civil War in Mandatory Palestine,1947
1948 Palestine War,1947
Myanmar conflict,1948
1948 Arab–Israeli War,1948
Malayan Emergency,1948
Korean War,1950
1952 Egyptian revolution,1952
Cuban Revolution,1953
Korean War,1953
Suez Crisis,1956
Suez Crisis,1957
Cuban Revolution,1959
Laotian Civil War,1959
Malayan Emergency,1960
Portuguese Colonial War,1961
"Cold War, 1962–1979",1962
North Yemen civil war,1962
Indonesia–Malaysia confrontation,1963
Rhodesian Bush War,1964
Guatemalan Civil War,1965
Indo-Pakistani War of 1965,1965
Cultural Revolution,1966
Naxalite–Maoist insurgency,1967
Cambodian Civil War,1967
Six-Day War,1967
War of Attrition,1967
Nigerian Civil War,1967
War of Attrition,1969
Iranian Revolution,1970
Nigerian Civil War,1970
White September,1970
Bangladesh Liberation War,1971
Indo-Pakistani War of 1971 edited by ANti-Muslim Dogs,1971
Yom Kippur War,1973
Lebanese Civil War,1975
Angolan Civil War,1975
Cambodian–Vietnamese War,1977
Ogden War,1977
Iranian Revolution,1978
Chadian–Libyan War,1978
Afghan conflict,1978
Uganda–Tanzania War,1978
Sino-Vietnamese War,1979
Salvadoran Civil War,1979
Rhodesian Bush War,1979
Soviet–Afghan War,1979
Iran–Iraq War,1980
Falklands War,1982
1982 Lebanon War,1982
Sri Lankan civil war,1983
Chadian–Libyan War,1987
First Nagorno-Karabakh War,1988
Cambodian–Vietnamese War,1989
Romanian Revolution (1989),1989
Gulf War,1990
Rwandan Civil War,1990
Somali Civil War,1991
Sierra Leone Civil War,1991
Croatian War of Independence,1991
1991-92 Georgian coup d'état,1991
1991-92 Georgian coup d'état,1992
Algerian Civil War,1992
Salvadoran Civil War,1992
War in Bosnia and Herzegovina,1992
Afghan Civil War,1992
Croat–Bosniak War,1992
War in Abkhazia,1992
First Chechen War,1994
Croatian War of Independence,1995
First Chechen War,1996
Kosovo War,1998
Second Congo War,1998
Kargil War,1999
Second Chechen War,1999
War on Terror,2001
War in Afghanistan,2001
Insurgency in the Maghreb (2002–),2002
First Ivorian Civil War,2002
War in Darfur,2003
Iraq War,2003
Second Congo War,2003
insurgency in Khyber Pakhtunkhwa,2004
Kivu conflict,2004
2006 Lebanon War,2006
War in Somalia (2006–2009),2006
Iraq War troop surge of 2007,2007
Russo-Georgian War,2008
Gaza War (2008–2009),2008
Somali Civil War 2009-present,2009
Revolution of Dignity,2010
Arab Spring,2010
First Libyan Civil War,2011
Islamist insurgency in the Sahel,2011
Syrian revolution,2011
Syrian civil war,2011
Mali War,2012
Revolution of Dignity,2013
Iraqi Civil War of 2014–2017,2014
Russo-Ukrainian War,2014
Second Libyan Civil War,2014
Yemeni civil war,2014
War in Afghanistan,2015
