event,eventLabel,start,category,heritage_designation,articleLink,rank
http://www.wikidata.org/entity/Q1960733,Second Liberian Civil War,1999-04-21T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Second_Liberian_Civil_War,6
http://www.wikidata.org/entity/Q4298662,Young Turk Revolution,1908-07-24T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/Young_Turk_Revolution,5
http://www.wikidata.org/entity/Q620735,Russo-Georgian War,2008-08-08T00:00:00Z,war,,https://en.wikipedia.org/wiki/Russo-Georgian_War,4
http://www.wikidata.org/entity/Q620735,Russo-Georgian War,2008-08-07T00:00:00Z,war,,https://en.wikipedia.org/wiki/Russo-Georgian_War,4
http://www.wikidata.org/entity/Q223126,Chaco War,1932-09-09T00:00:00Z,war,,https://en.wikipedia.org/wiki/Chaco_War,2
http://www.wikidata.org/entity/Q626006,World War II in Yugoslavia,1941-04-06T00:00:00Z,war,,https://en.wikipedia.org/wiki/World_War_II_in_Yugoslavia,2
http://www.wikidata.org/entity/Q632787,Insurgency in the Maghreb (2002–),2002-04-11T00:00:00Z,war,,https://en.wikipedia.org/wiki/Insurgency_in_the_Maghreb_(2002%E2%80%93present),2
http://www.wikidata.org/entity/Q203824,Italo-Turkish War,1911-09-29T00:00:00Z,war,,https://en.wikipedia.org/wiki/Italo-Turkish_War,2
http://www.wikidata.org/entity/Q766437,Rif War,1911-06-08T00:00:00Z,war,,https://en.wikipedia.org/wiki/Rif_War,2
http://www.wikidata.org/entity/Q780845,Franco-Thai War,1940-10-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Franco-Thai_War,2
http://www.wikidata.org/entity/Q696389,Soviet–Japanese border conflicts,1932-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Soviet%E2%80%93Japanese_border_conflicts,2
http://www.wikidata.org/entity/Q989115,First Italo-Ethiopian War,1894-12-15T00:00:00Z,war,,https://en.wikipedia.org/wiki/First_Italo-Ethiopian_War,2
http://www.wikidata.org/entity/Q233583,Indo-Pakistani War of 1965,1965-09-23T00:00:00Z,war,,https://en.wikipedia.org/wiki/Indo-Pakistani_war_of_1965,2
http://www.wikidata.org/entity/Q422082,Philippine Revolution,1896-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Philippine_Revolution,2
http://www.wikidata.org/entity/Q322607,War of Attrition,1967-07-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/War_of_Attrition,2
http://www.wikidata.org/entity/Q1361929,Indonesia–Malaysia confrontation,1963-01-20T00:00:00Z,war,,https://en.wikipedia.org/wiki/Indonesia%E2%80%93Malaysia_confrontation,2
http://www.wikidata.org/entity/Q647239,Burundi Civil War,1993-10-21T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Burundian_Civil_War,2
http://www.wikidata.org/entity/Q2904516,War over Water,1964-11-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/War_over_Water_(Jordan_River),2
http://www.wikidata.org/entity/Q3365438,Operation Masterdom,1945-09-13T00:00:00Z,war,,https://en.wikipedia.org/wiki/War_in_Vietnam_(1945%E2%80%931946),2
http://www.wikidata.org/entity/Q842774,Polish–Ukrainian War,1918-11-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Polish%E2%80%93Ukrainian_War,2
http://www.wikidata.org/entity/Q1271059,Shifta War,1963-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Shifta_War,2
http://www.wikidata.org/entity/Q2652686,Kachin conflict,1961-02-05T00:00:00Z,war,,https://en.wikipedia.org/wiki/Kachin_conflict,2
http://www.wikidata.org/entity/Q2742886,Lithuanian Wars of Independence,1918-12-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Lithuanian_Wars_of_Independence,2
http://www.wikidata.org/entity/Q881762,Samoan Civil War,1886-01-01T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Samoan_Civil_War,2
http://www.wikidata.org/entity/Q945700,Chad–Sudan Conflict,2005-12-18T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Chadian_Civil_War_(2005%E2%80%932010),2
http://www.wikidata.org/entity/Q233583,Indo-Pakistani War of 1965,1965-08-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Indo-Pakistani_war_of_1965,2
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006–2009),2006-12-20T00:00:00Z,war,,https://en.wikipedia.org/wiki/War_in_Somalia_(2006%E2%80%932009),2
http://www.wikidata.org/entity/Q1780431,1952 Egyptian revolution,1952-07-23T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/1952_Egyptian_revolution,2
http://www.wikidata.org/entity/Q838695,First Congo War,1996-10-24T00:00:00Z,war,,https://en.wikipedia.org/wiki/First_Congo_War,2
http://www.wikidata.org/entity/Q796498,Third Indochina War,1975-05-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Third_Indochina_War,2
http://www.wikidata.org/entity/Q1781457,Bissau-Guinean Civil War,1998-06-07T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Guinea-Bissau_Civil_War,2
http://www.wikidata.org/entity/Q1345258,National Protection War,1915-12-25T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/National_Protection_War,2
http://www.wikidata.org/entity/Q1477500,First Liberian Civil War,1989-12-24T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/First_Liberian_Civil_War,2
http://www.wikidata.org/entity/Q1209169,War in Abkhazia,1992-08-14T00:00:00Z,war,,https://en.wikipedia.org/wiki/War_in_Abkhazia_(1992%E2%80%931993),2
http://www.wikidata.org/entity/Q748042,Irish Civil War,1922-06-28T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Irish_Civil_War,2
http://www.wikidata.org/entity/Q1368440,Persian Constitutional Revolution,1905-01-01T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/Persian_Constitutional_Revolution,2
http://www.wikidata.org/entity/Q1450532,Franco-Turkish War,1918-12-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Franco-Turkish_War,2
http://www.wikidata.org/entity/Q2615472,Mexican Border War,1910-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Mexican_Border_War,2
http://www.wikidata.org/entity/Q1604816,Lithuanian–Soviet War,1918-12-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Lithuanian%E2%80%93Soviet_War,2
http://www.wikidata.org/entity/Q1640107,Ifni War,1957-10-23T00:00:00Z,war,,https://en.wikipedia.org/wiki/Ifni_War,2
http://www.wikidata.org/entity/Q1747429,Hungarian-Czechoslovak-România  War,1918-12-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Hungarian%E2%80%93Czechoslovak_War,2
http://www.wikidata.org/entity/Q1814745,Eelam War I,1983-07-23T00:00:00Z,war,,https://en.wikipedia.org/wiki/Eelam_War_I,2
http://www.wikidata.org/entity/Q4120277,Second Samoan Civil War,1898-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Second_Samoan_Civil_War,2
http://www.wikidata.org/entity/Q4222429,Sino–Tibetan War,1930-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Sino-Tibetan_War_of_1930%E2%80%931932,2
http://www.wikidata.org/entity/Q5557072,Ghost Dance War,1890-12-29T00:00:00Z,war,,https://en.wikipedia.org/wiki/Ghost_Dance_War,2
http://www.wikidata.org/entity/Q10952572,Afghan Civil War (1928–1929),1928-11-14T00:00:00Z,war,,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1928%E2%80%931929),2
http://www.wikidata.org/entity/Q7318712,Revolution in the Kingdom of Poland,1905-01-01T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/Revolution_in_the_Kingdom_of_Poland_(1905%E2%80%931907),2
http://www.wikidata.org/entity/Q82664,Iran–Iraq War,1980-09-22T00:00:00Z,war,,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,2
http://www.wikidata.org/entity/Q170682,Gaza War (2008–2009),2008-12-27T00:00:00Z,war,,https://en.wikipedia.org/wiki/Gaza_War_(2008%E2%80%932009),2
http://www.wikidata.org/entity/Q2946372,Mali War,2012-01-16T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Mali_War,2
http://www.wikidata.org/entity/Q94916,Second Italo-Ethiopian War,1935-10-03T00:00:00Z,war,,https://en.wikipedia.org/wiki/Second_Italo-Ethiopian_War,2
http://www.wikidata.org/entity/Q1052332,Somali Civil War 2009-present,2009-01-31T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present),2
http://www.wikidata.org/entity/Q1070890,Georgian Civil War of 1991-1993,1991-12-22T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Georgian_Civil_War,2
http://www.wikidata.org/entity/Q189266,Eastern Front,1945-05-25T00:00:00Z,war,,https://en.wikipedia.org/wiki/Eastern_Front_(World_War_II),2
http://www.wikidata.org/entity/Q49077,Six-Day War,1967-06-10T00:00:00Z,war,,https://en.wikipedia.org/wiki/Six-Day_War,2
http://www.wikidata.org/entity/Q422082,Philippine Revolution,1896-01-01T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/Philippine_Revolution,2
http://www.wikidata.org/entity/Q16151540,Eelam War IV,2006-07-26T00:00:00Z,war,,https://en.wikipedia.org/wiki/Eelam_War_IV,2
http://www.wikidata.org/entity/Q2592295,Constitutionalist Revolution,1932-01-01T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/Constitutionalist_Revolution,2
http://www.wikidata.org/entity/Q42976,October Revolution,1917-11-07T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/October_Revolution,2
http://www.wikidata.org/entity/Q2592295,Constitutionalist Revolution,1932-07-09T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/Constitutionalist_Revolution,2
http://www.wikidata.org/entity/Q142529,Algerian Civil War,1992-01-11T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Algerian_Civil_War,2
http://www.wikidata.org/entity/Q16911838,Second Libyan Civil War,2014-05-16T00:00:00Z,war,,https://en.wikipedia.org/wiki/Libyan_civil_war_(2014%E2%80%932020),2
http://www.wikidata.org/entity/Q16974363,Eastern Theater of Eelam War IV,2006-07-21T00:00:00Z,war,,https://en.wikipedia.org/wiki/Eastern_Theatre_of_Eelam_War_IV,2
http://www.wikidata.org/entity/Q17025641,Tirah campaign,1897-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Tirah_campaign,2
http://www.wikidata.org/entity/Q65065597,Urtatagai conflict,1925-11-27T00:00:00Z,war,,https://en.wikipedia.org/wiki/Urtatagai_conflict_(1925%E2%80%931926),2
http://www.wikidata.org/entity/Q177109,Slovak–Hungarian War,1939-03-23T00:00:00Z,war,,https://en.wikipedia.org/wiki/Slovak%E2%80%93Hungarian_War,2
http://www.wikidata.org/entity/Q190517,Xinhai Revolution,1911-10-10T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/1911_Revolution,2
http://www.wikidata.org/entity/Q184928,Russian Revolution of 1905,1905-01-22T00:00:00Z,revolution,,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905,2
http://www.wikidata.org/entity/Q213394,Sri Lankan civil war,1983-07-23T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war,2
http://www.wikidata.org/entity/Q123775571,Inter-Bosnian Muslim War,1993-09-27T00:00:00Z,war,,https://en.wikipedia.org/wiki/Intra-Bosnian_Muslim_War,2
http://www.wikidata.org/entity/Q190758,War in Darfur,2003-02-26T00:00:00Z,war,,https://en.wikipedia.org/wiki/War_in_Darfur,2
http://www.wikidata.org/entity/Q306123,Austrian Civil War,1934-02-12T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Austrian_Civil_War,2
http://www.wikidata.org/entity/Q426722,Rwandan Civil War,1990-10-01T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Rwandan_Civil_War,2
http://www.wikidata.org/entity/Q49077,Six-Day War,1967-06-05T00:00:00Z,war,,https://en.wikipedia.org/wiki/Six-Day_War,2
http://www.wikidata.org/entity/Q17183365,Iraqi Civil War of 2006–2008,2006-02-22T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Iraqi_civil_war_(2006%E2%80%932008),2
http://www.wikidata.org/entity/Q188972,Greek Civil War,1946-03-30T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Greek_Civil_War,2
http://www.wikidata.org/entity/Q10292592,Insurgency in Ingushetia,2007-07-21T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Insurgency_in_Ingushetia,2
http://www.wikidata.org/entity/Q10360270,Bougainville conflict,1988-12-01T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Bougainville_conflict,2
http://www.wikidata.org/entity/Q12055176,Angolan Civil War,1975-11-11T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Angolan_Civil_War,2
http://www.wikidata.org/entity/Q16573193,Dominican Civil War of 1911–12,1911-12-01T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Dominican_Civil_War_(1911%E2%80%931912),2
http://www.wikidata.org/entity/Q208484,Lebanese Civil War,1975-04-13T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Lebanese_Civil_War,2
http://www.wikidata.org/entity/Q31944,Mahdist War,1881-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Mahdist_War,2
http://www.wikidata.org/entity/Q5887721,Peruvian Civil War of 1894–1895,1894-10-24T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Peruvian_Civil_War_of_1894%E2%80%931895,2
http://www.wikidata.org/entity/Q170850,Anglo-Zanzibar War,1896-08-27T00:00:00Z,war,,https://en.wikipedia.org/wiki/Anglo-Zanzibar_War,2
http://www.wikidata.org/entity/Q189266,Eastern Front,1941-06-22T00:00:00Z,war,,https://en.wikipedia.org/wiki/Eastern_Front_(World_War_II),2
http://www.wikidata.org/entity/Q257724,Ethiopian Civil War,1974-09-12T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Ethiopian_Civil_War,2
http://www.wikidata.org/entity/Q19686631,Yemeni civil war,2014-09-16T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Yemeni_civil_war_(2014%E2%80%93present),2
http://www.wikidata.org/entity/Q223604,Greco-Italian War,1941-04-23T00:00:00Z,war,,https://en.wikipedia.org/wiki/Greco-Italian_War,1
http://www.wikidata.org/entity/Q223085,Hundred Hour War,1969-07-18T00:00:00Z,war,,https://en.wikipedia.org/wiki/Football_War,1
http://www.wikidata.org/entity/Q611071,Chadian–Libyan War,1987-09-11T00:00:00Z,war,,https://en.wikipedia.org/wiki/Chadian%E2%80%93Libyan_War,1
http://www.wikidata.org/entity/Q635533,Cambodian–Vietnamese War,1989-09-26T00:00:00Z,war,,https://en.wikipedia.org/wiki/Cambodian%E2%80%93Vietnamese_War,1
http://www.wikidata.org/entity/Q580961,Agacher Strip War,1985-12-14T00:00:00Z,war,,https://en.wikipedia.org/wiki/Agacher_Strip_War,1
http://www.wikidata.org/entity/Q609836,Portuguese Colonial War,1961-02-04T00:00:00Z,war,,https://en.wikipedia.org/wiki/Portuguese_Colonial_War,1
http://www.wikidata.org/entity/Q611027,Castellammarese War,1930-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Castellammarese_War,1
http://www.wikidata.org/entity/Q611071,Chadian–Libyan War,1978-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Chadian%E2%80%93Libyan_War,1
http://www.wikidata.org/entity/Q220602,Soviet–Japanese War,1945-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Soviet%E2%80%93Japanese_War,1
http://www.wikidata.org/entity/Q202465,Uganda–Tanzania War,1978-10-09T00:00:00Z,war,,https://en.wikipedia.org/wiki/Uganda%E2%80%93Tanzania_War,1
http://www.wikidata.org/entity/Q717373,Japanese invasion of Taiwan,1895-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Japanese_invasion_of_Taiwan_(1895),1
http://www.wikidata.org/entity/Q740791,Serbo-Bulgarian War,1885-11-28T00:00:00Z,war,,https://en.wikipedia.org/wiki/Serbo-Bulgarian_War,1
http://www.wikidata.org/entity/Q635533,Cambodian–Vietnamese War,1977-04-30T00:00:00Z,war,,https://en.wikipedia.org/wiki/Cambodian%E2%80%93Vietnamese_War,1
http://www.wikidata.org/entity/Q616939,Anglo-Egyptian War,1882-07-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Anglo-Egyptian_War,1
http://www.wikidata.org/entity/Q223604,Greco-Italian War,1940-10-28T00:00:00Z,war,,https://en.wikipedia.org/wiki/Greco-Italian_War,1
http://www.wikidata.org/entity/Q832273,Eritrean–Ethiopian War,2000-06-18T00:00:00Z,war,,https://en.wikipedia.org/wiki/Eritrean%E2%80%93Ethiopian_War,1
http://www.wikidata.org/entity/Q657055,Greco-Turkish War of 1897,1897-04-17T00:00:00Z,war,,https://en.wikipedia.org/wiki/Greco-Turkish_War_(1897),1
http://www.wikidata.org/entity/Q696848,Anglo-Iraqi War,1941-05-02T00:00:00Z,war,,https://en.wikipedia.org/wiki/Anglo-Iraqi_War,1
http://www.wikidata.org/entity/Q864847,Second Zhili–Fengtian War,1924-09-15T00:00:00Z,war,,https://en.wikipedia.org/wiki/Second_Zhili%E2%80%93Fengtian_War,1
http://www.wikidata.org/entity/Q937265,Wadai War,1906-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Wadai_War,1
http://www.wikidata.org/entity/Q957586,Turkish–Armenian War,1920-12-02T00:00:00Z,war,,https://en.wikipedia.org/wiki/Turkish%E2%80%93Armenian_War,1
http://www.wikidata.org/entity/Q959303,1998 War in Abkhazia,1998-05-26T00:00:00Z,war,,https://en.wikipedia.org/wiki/War_in_Abkhazia_(1998),1
http://www.wikidata.org/entity/Q233657,Second Matabele War,1897-10-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Second_Matabele_War,1
http://www.wikidata.org/entity/Q404517,Kargil War,1999-01-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/Kargil_War,1
http://www.wikidata.org/entity/Q329203,First Boer War,1881-03-23T00:00:00Z,war,,https://en.wikipedia.org/wiki/First_Boer_War,1
http://www.wikidata.org/entity/Q371394,Bangladesh Liberation War,1971-12-16T00:00:00Z,war,,https://en.wikipedia.org/wiki/Bangladesh_Liberation_War,1
http://www.wikidata.org/entity/Q322607,War of Attrition,1969-03-01T00:00:00Z,war,,https://en.wikipedia.org/wiki/War_of_Attrition,1
http://www.wikidata.org/entity/Q327237,Kivu conflict,2004-06-02T00:00:00Z,war,,https://en.wikipedia.org/wiki/Kivu_conflict,1
http://www.wikidata.org/entity/Q717809,Central Plains War,1930-05-01T00:00:00Z,civil war,,https://en.wikipedia.org/wiki/Central_Plains_War,1
http://www.wikidata.org/entity/Q214456,Philippine–American War,1899-02-04T00:00:00Z,war,,https://en.wikipedia.org/wiki/Philippine%E2%80%93American_War,1
http://www.wikidata.org/entity/Q215112,Second Boer War,1899-10-23T00:00:00Z,war,,https://en.wikipedia.org/wiki/Second_Boer_War,1
