event,eventLabel,start,category,heritage_designation,articleLink,rank
http://www.wikidata.org/entity/Q643802,North American video game crash of 1983,1983-01-01T00:00:00Z,recession,,https://en.wikipedia.org/wiki/Video_game_crash_of_1983,2
http://www.wikidata.org/entity/Q2047190,2008 Latvian financial crisis,2008-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/2008_Latvian_financial_crisis,2
http://www.wikidata.org/entity/Q400500,Black Wednesday,1992-09-16T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Black_Wednesday,1
http://www.wikidata.org/entity/Q80880,1997 Asian financial crisis,1997-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis,1
http://www.wikidata.org/entity/Q154510,Great Recession,2000-01-01T00:00:00Z,recession,,https://en.wikipedia.org/wiki/Great_Recession,1
http://www.wikidata.org/entity/Q154510,Great Recession,2010-01-01T00:00:00Z,recession,,https://en.wikipedia.org/wiki/Great_Recession,1
http://www.wikidata.org/entity/Q80880,1997 Asian financial crisis,1997-07-02T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis,1
http://www.wikidata.org/entity/Q312390,Wirtschaftswunder,1948-01-01T00:00:00Z,economic growth,,https://en.wikipedia.org/wiki/Wirtschaftswunder,1
http://www.wikidata.org/entity/Q495605,Miracle on the Han River,1961-01-01T00:00:00Z,economic growth,,https://en.wikipedia.org/wiki/Miracle_on_the_Han_River,1
http://www.wikidata.org/entity/Q625457,South Korea during the 1997 Asian Financial Crisis,1997-12-03T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/South_Korea_and_the_International_Monetary_Fund,1
http://www.wikidata.org/entity/Q896666,2007–2008 financial crisis,2007-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/2007%E2%80%932008_financial_crisis,1
http://www.wikidata.org/entity/Q8698,Great Depression,1929-10-29T00:00:00Z,recession,,https://en.wikipedia.org/wiki/Great_Depression,1
http://www.wikidata.org/entity/Q972891,2008–2013 Irish financial crisis,2008-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Post-2008_Irish_economic_downturn,1
http://www.wikidata.org/entity/Q1142572,1998 Russian financial crisis,1998-08-17T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/1998_Russian_financial_crisis,1
http://www.wikidata.org/entity/Q1326489,savings and loan crisis,1986-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Savings_and_loan_crisis,1
http://www.wikidata.org/entity/Q2479178,2008–14 Spanish financial crisis,2008-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/2008%E2%80%932014_Spanish_financial_crisis,1
http://www.wikidata.org/entity/Q1806854,Abraha de la Cruz,1982-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Latin_American_debt_crisis,1
http://www.wikidata.org/entity/Q2418422,Panic of 1893,1893-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Panic_of_1893,1
http://www.wikidata.org/entity/Q4613071,2008–2013 Irish banking crisis,2008-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Post-2008_Irish_banking_crisis,1
http://www.wikidata.org/entity/Q4824853,Australian banking crisis of 1893,1893-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Australian_banking_crisis_of_1893,1
http://www.wikidata.org/entity/Q4921298,Black Monday,1894-12-10T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Black_Monday_(1894),1
http://www.wikidata.org/entity/Q5326574,Early 2000s recession,2000-01-01T00:00:00Z,recession,,https://en.wikipedia.org/wiki/Early_2000s_recession,1
http://www.wikidata.org/entity/Q5570842,Global financial crisis in November 2008,2008-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Global_financial_crisis_in_November_2008,1
http://www.wikidata.org/entity/Q5600355,Great grain robbery,1973-07-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/1973_United_States%E2%80%93Soviet_Union_wheat_deal,1
http://www.wikidata.org/entity/Q7137210,Paris Bourse crash of 1882,1882-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Paris_Bourse_crash_of_1882,1
http://www.wikidata.org/entity/Q16153957,1991 India economic crisis,1991-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/1991_Indian_economic_crisis,1
http://www.wikidata.org/entity/Q3002770,Shōwa financial crisis,1927-03-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/Sh%C5%8Dwa_financial_crisis,1
http://www.wikidata.org/entity/Q3002776,crisis portugal,2010-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/2010%E2%80%932014_Portuguese_financial_crisis,1
http://www.wikidata.org/entity/Q3315831,Spanish miracle,1959-01-01T00:00:00Z,economic growth,,https://en.wikipedia.org/wiki/Spanish_miracle,1
http://www.wikidata.org/entity/Q4594275,1998–99 Ecuador banking crisis,1998-01-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/1998%E2%80%931999_Ecuador_economic_crisis,1
http://www.wikidata.org/entity/Q5600355,Great grain robbery,1972-07-01T00:00:00Z,financial crisis,,https://en.wikipedia.org/wiki/1973_United_States%E2%80%93Soviet_Union_wheat_deal,1
