event,date,articleLink
Campanhas de Pacificação e Ocupação,1880,https://en.wikipedia.org/wiki/Campaigns_of_Pacification_and_Occupation
First Boer War,1880,https://en.wikipedia.org/wiki/First_Boer_War
Mahdist War,1881,https://en.wikipedia.org/wiki/Mahdist_War
Qatari–Abu Dhabi War,1881,https://en.wikipedia.org/wiki/Qatari%E2%80%93Abu_Dhabi_War
First Boer War,1881,https://en.wikipedia.org/wiki/First_Boer_War
War of the Araucania,1881,https://en.wikipedia.org/wiki/Occupation_of_Araucan%C3%ADa
Anglo-Egyptian War,1882,https://en.wikipedia.org/wiki/Anglo-Egyptian_War
Peruvian Civil War of 1884–1885,1884,https://en.wikipedia.org/wiki/Peruvian_Civil_War_of_1884%E2%80%931885
Sino-French War,1884,https://en.wikipedia.org/wiki/Sino-French_War
Peruvian Civil War of 1884–1885,1884,https://en.wikipedia.org/wiki/Peruvian_Civil_War_of_1884%E2%80%931885
Third Anglo-Burmese War,1885,https://en.wikipedia.org/wiki/Third_Anglo-Burmese_War
Panjdeh Incident,1885,https://en.wikipedia.org/wiki/Panjdeh_incident
Barrios' War of Reunification,1885,https://en.wikipedia.org/wiki/Barrios%27_War_of_Reunification
Third Anglo-Burmese War,1885,https://en.wikipedia.org/wiki/Third_Anglo-Burmese_War
Serbo-Bulgarian War,1885,https://en.wikipedia.org/wiki/Serbo-Bulgarian_War
Samoan Civil War,1886,https://en.wikipedia.org/wiki/Samoan_Civil_War
Pacification of Somalia,1889,https://en.wikipedia.org/wiki/Pacification_of_Somalia
Ghost Dance War,1890,https://en.wikipedia.org/wiki/Ghost_Dance_War
Bafut Wars,1891,https://en.wikipedia.org/wiki/Bafut_Wars
Anglo-Manipur War,1891,https://en.wikipedia.org/wiki/Anglo-Manipur_War
Second Franco-Dahomean War,1892,https://en.wikipedia.org/wiki/Second_Franco-Dahomean_War
1893 Franco-Siamese crisis,1893,https://en.wikipedia.org/wiki/1893_Franco-Siamese_crisis
Federalist Riograndense Revolution,1893,https://en.wikipedia.org/wiki/Federalist_Revolution
First Matabele War,1893,https://en.wikipedia.org/wiki/First_Matabele_War
First Matabele War,1894,https://en.wikipedia.org/wiki/First_Matabele_War
Revolution of the 44,1894,https://en.wikipedia.org/wiki/Revolution_of_the_44
First Sino-Japanese War,1894,https://en.wikipedia.org/wiki/First_Sino-Japanese_War
Peruvian Civil War of 1894–1895,1894,https://en.wikipedia.org/wiki/Peruvian_Civil_War_of_1894%E2%80%931895
Dutch intervention in Lombok and Karangasem,1894,https://en.wikipedia.org/wiki/Dutch_intervention_in_Lombok_and_Karangasem
First Italo-Ethiopian War,1894,https://en.wikipedia.org/wiki/First_Italo-Ethiopian_War
Japanese invasion of Taiwan,1895,https://en.wikipedia.org/wiki/Japanese_invasion_of_Taiwan_(1895)
First Sino-Japanese War,1895,https://en.wikipedia.org/wiki/First_Sino-Japanese_War
Japanese invasion of Taiwan,1895,https://en.wikipedia.org/wiki/Japanese_invasion_of_Taiwan_(1895)
Liberal Revolution of 1895,1895,https://en.wikipedia.org/wiki/Liberal_Revolution_of_1895
Franco-Hova Wars,1895,https://en.wikipedia.org/wiki/Franco-Hova_Wars
Philippine Revolution,1896,https://en.wikipedia.org/wiki/Philippine_Revolution
Philippine Revolution,1896,https://en.wikipedia.org/wiki/Philippine_Revolution
Second Matabele War,1896,https://en.wikipedia.org/wiki/Second_Matabele_War
Anglo-Zanzibar War,1896,https://en.wikipedia.org/wiki/Anglo-Zanzibar_War
anashe of 1897,1897,https://en.wikipedia.org/wiki/Revolution_of_1897
Tirah campaign,1897,https://en.wikipedia.org/wiki/Tirah_campaign
Greco-Turkish War of 1897,1897,https://en.wikipedia.org/wiki/Greco-Turkish_War_(1897)
Greco-Turkish War of 1897,1897,https://en.wikipedia.org/wiki/Greco-Turkish_War_(1897)
Second Matabele War,1897,https://en.wikipedia.org/wiki/Second_Matabele_War
Banana Wars,1898,https://en.wikipedia.org/wiki/Banana_Wars
Second Samoan Civil War,1898,https://en.wikipedia.org/wiki/Second_Samoan_Civil_War
Spanish–American War,1898,https://en.wikipedia.org/wiki/Spanish%E2%80%93American_War
Spanish–American War,1898,https://en.wikipedia.org/wiki/Spanish%E2%80%93American_War
Federal Revolution of 1899,1898,https://en.wikipedia.org/wiki/Bolivian_Civil_War
Restorative Liberal Revolution,1899,https://en.wikipedia.org/wiki/Restorative_Liberal_Revolution
Acre War,1899,https://en.wikipedia.org/wiki/Acre_War
Federal Revolution of 1899,1899,https://en.wikipedia.org/wiki/Bolivian_Civil_War
Philippine–American War,1899,https://en.wikipedia.org/wiki/Philippine%E2%80%93American_War
Restorative Liberal Revolution,1899,https://en.wikipedia.org/wiki/Restorative_Liberal_Revolution
Boer Wars,1899,https://en.wikipedia.org/wiki/Boer_Wars
Thousand Days' War,1899,https://en.wikipedia.org/wiki/Thousand_Days%27_War
Second Boer War,1899,https://en.wikipedia.org/wiki/Second_Boer_War
Thousand Days' War,1902,https://en.wikipedia.org/wiki/Thousand_Days%27_War
Uruguayan revolution of 1904,1904,https://en.wikipedia.org/wiki/Revolution_of_1904
Russo-Japanese War,1904,https://en.wikipedia.org/wiki/Russo-Japanese_War
Sasun Uprising,1904,https://en.wikipedia.org/wiki/1904_Sasun_uprising
Revolution in the Kingdom of Poland,1905,https://en.wikipedia.org/wiki/Revolution_in_the_Kingdom_of_Poland_(1905%E2%80%931907)
Persian Constitutional Revolution,1905,https://en.wikipedia.org/wiki/Persian_Constitutional_Revolution
Russian Revolution of 1905,1905,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905
South Sulawesi expedition,1905,https://en.wikipedia.org/wiki/South_Sulawesi_expeditions_of_1905
Russo-Japanese War,1905,https://en.wikipedia.org/wiki/Russo-Japanese_War
Wadai War,1906,https://en.wikipedia.org/wiki/Wadai_War
Ottoman Invasion of Persia,1906,https://en.wikipedia.org/wiki/Ottoman_invasion_of_Persia_(1906)
Hafidiya,1907,https://en.wikipedia.org/wiki/Hafidiya
French conquest of Morocco,1907,https://en.wikipedia.org/wiki/French_conquest_of_Morocco
Young Turk Revolution,1908,https://en.wikipedia.org/wiki/Young_Turk_Revolution
Second Melillan campaign,1909,https://en.wikipedia.org/wiki/Second_Melillan_campaign
Monegasque Revolution,1910,https://en.wikipedia.org/wiki/Mon%C3%A9gasque_Revolution
Mexican Border War,1910,https://en.wikipedia.org/wiki/Mexican_Border_War
Mexican Revolution,1910,https://en.wikipedia.org/wiki/Mexican_Revolution
Mexican Revolution,1910,https://en.wikipedia.org/wiki/Mexican_Revolution
Rif War,1911,https://en.wikipedia.org/wiki/Rif_War
1911 Paraguayan Civil War,1911,https://en.wikipedia.org/wiki/Paraguayan_Civil_War_(1911%E2%80%931912)
Italo-Turkish War,1911,https://en.wikipedia.org/wiki/Italo-Turkish_War
Xinhai Revolution,1911,https://en.wikipedia.org/wiki/1911_Revolution
Dominican Civil War of 1911–12,1911,https://en.wikipedia.org/wiki/Dominican_Civil_War_(1911%E2%80%931912)
War of the Generals,1911,https://en.wikipedia.org/wiki/War_of_the_Generals
Khost rebellion of 1912,1912,https://en.wikipedia.org/wiki/Khost_rebellion_(1912)
Khost rebellion of 1912,1912,https://en.wikipedia.org/wiki/Khost_rebellion_(1912)
First Balkan War,1912,https://en.wikipedia.org/wiki/First_Balkan_War
Ecuadorian Civil War of 1912–1914,1913,https://en.wikipedia.org/wiki/Ecuadorian_Civil_War_of_1913%E2%80%931916
First Balkan War,1913,https://en.wikipedia.org/wiki/First_Balkan_War
Second Balkan War,1913,https://en.wikipedia.org/wiki/Second_Balkan_War
Zaian War,1914,https://en.wikipedia.org/wiki/Zaian_War
Second Thirty Years' War,1914,https://en.wikipedia.org/wiki/Second_Thirty_Years%27_War
Dominican Civil War of 1914,1914,https://en.wikipedia.org/wiki/Dominican_Civil_War_(1914)
World War I,1914,https://en.wikipedia.org/wiki/World_War_I
Jungle Movement of Gilan,1915,https://en.wikipedia.org/wiki/Jungle_Movement_of_Gilan
National Protection War,1915,https://en.wikipedia.org/wiki/National_Protection_War
Russo-Finnish Wars,1917,https://en.wikipedia.org/wiki/Soviet-Finnish_wars
Ukrainian–Soviet War,1917,https://en.wikipedia.org/wiki/Ukrainian%E2%80%93Soviet_War
February Revolución,1917,https://en.wikipedia.org/wiki/February_Revolution
Russian Revolution,1917,https://en.wikipedia.org/wiki/Russian_Revolution
February Revolución,1917,https://en.wikipedia.org/wiki/February_Revolution
Russian Civil War,1917,https://en.wikipedia.org/wiki/Russian_Civil_War
October Revolution,1917,https://en.wikipedia.org/wiki/October_Revolution
Ukrainian–Soviet War,1917,https://en.wikipedia.org/wiki/Ukrainian%E2%80%93Soviet_War
War of the Insane,1918,https://en.wikipedia.org/wiki/Vue_Pa_Chay%27s_revolt
Georgian–Ossetian conflict of 1918–1920,1918,https://en.wikipedia.org/wiki/Georgian%E2%80%93Ossetian_conflict_(1918%E2%80%931920)
Finnish Civil War,1918,https://en.wikipedia.org/wiki/Finnish_Civil_War
Dagestan Campaign,1918,https://en.wikipedia.org/wiki/Dagestan_Campaign_(1918)
Finnish Civil War,1918,https://en.wikipedia.org/wiki/Finnish_Civil_War
German Revolution of 1918–1919,1918,https://en.wikipedia.org/wiki/German_revolution_of_1918%E2%80%931919
Aster Revolution,1918,https://en.wikipedia.org/wiki/Aster_Revolution
Hungarian–Romanian War,1918,https://en.wikipedia.org/wiki/Hungarian%E2%80%93Romanian_War
Polish–Ukrainian War,1918,https://en.wikipedia.org/wiki/Polish%E2%80%93Ukrainian_War
German Revolution of 1918–1919,1918,https://en.wikipedia.org/wiki/German_revolution_of_1918%E2%80%931919
Red Week,1918,https://en.wikipedia.org/wiki/Red_Week_(Netherlands)
World War I,1918,https://en.wikipedia.org/wiki/World_War_I
