event,date,articleLink
Anglo-Turkish War (1918–1923),1918,https://en.wikipedia.org/wiki/United_Kingdom_during_the_Turkish_War_of_Independence
Lithuanian Wars of Independence,1918,https://en.wikipedia.org/wiki/Lithuanian_Wars_of_Independence
Lithuanian–Soviet War,1918,https://en.wikipedia.org/wiki/Lithuanian%E2%80%93Soviet_War
Franco-Turkish War,1918,https://en.wikipedia.org/wiki/Franco-Turkish_War
Hungarian-Czechoslovak-România  War,1918,https://en.wikipedia.org/wiki/Hungarian%E2%80%93Czechoslovak_War
Polish–Lithuanian War,1919,https://en.wikipedia.org/wiki/Polish%E2%80%93Lithuanian_War
Egyptian revolution of 1919,1919,https://en.wikipedia.org/wiki/1919_Egyptian_revolution
Polish–Czechoslovak War,1919,https://en.wikipedia.org/wiki/Polish%E2%80%93Czechoslovak_War
Polish–Czechoslovak War,1919,https://en.wikipedia.org/wiki/Polish%E2%80%93Czechoslovak_War
Polish–Soviet War,1919,https://en.wikipedia.org/wiki/Polish%E2%80%93Soviet_War
Third Anglo-Afghan War,1919,https://en.wikipedia.org/wiki/Third_Anglo-Afghan_War
Greco-Turkish War,1919,https://en.wikipedia.org/wiki/Greco-Turkish_War_(1919%E2%80%931922)
Lithuanian–Bermontian War,1919,https://en.wikipedia.org/wiki/Lithuanian%E2%80%93Bermontian_War
First Honduran Civil War,1919,https://en.wikipedia.org/wiki/First_Honduran_Civil_War
Third Anglo-Afghan War,1919,https://en.wikipedia.org/wiki/Third_Anglo-Afghan_War
1920 Jabal al-Gharbi Civil War,1920,https://en.wikipedia.org/wiki/1920%E2%80%931922_Jabal_al-Gharbi_civil_war
Polish–Soviet War in 1920,1920,https://en.wikipedia.org/wiki/Polish%E2%80%93Soviet_War_in_1920
Franco-Syrian War,1920,https://en.wikipedia.org/wiki/Franco-Syrian_War
Tragic Week,1920,https://en.wikipedia.org/wiki/Tragic_Week_(Guatemala)
Mexican Revolution,1920,https://en.wikipedia.org/wiki/Mexican_Revolution
Mexican Revolution,1920,https://en.wikipedia.org/wiki/Mexican_Revolution
Zhili–Anhui War,1920,https://en.wikipedia.org/wiki/Zhili%E2%80%93Anhui_War
Turkish–Armenian War,1920,https://en.wikipedia.org/wiki/Turkish%E2%80%93Armenian_War
Polish–Soviet War,1920,https://en.wikipedia.org/wiki/Polish%E2%80%93Soviet_War
Polish–Lithuanian War,1920,https://en.wikipedia.org/wiki/Polish%E2%80%93Lithuanian_War
Turkish–Armenian War,1920,https://en.wikipedia.org/wiki/Turkish%E2%80%93Armenian_War
Coto War,1921,https://en.wikipedia.org/wiki/Coto_War
Outer Mongolian Revolution of 1921,1921,https://en.wikipedia.org/wiki/Mongolian_Revolution_of_1921
Coto War,1921,https://en.wikipedia.org/wiki/Coto_War
War over Mountainous Armenia,1921,https://en.wikipedia.org/wiki/War_over_Mountainous_Armenia
First Zhili–Fengtian War,1922,https://en.wikipedia.org/wiki/First_Zhili%E2%80%93Fengtian_War
Irish Civil War,1922,https://en.wikipedia.org/wiki/Irish_Civil_War
11 September 1922 Revolution,1922,https://en.wikipedia.org/wiki/11_September_1922_Revolution
Greco-Turkish War,1922,https://en.wikipedia.org/wiki/Greco-Turkish_War_(1919%E2%80%931922)
Paulista Revolution,1924,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo_Revolt_of_1924
Second Honduran Civil War,1924,https://en.wikipedia.org/wiki/Second_Honduran_Civil_War
Paulista Revolution,1924,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo_Revolt_of_1924
Second Zhili–Fengtian War,1924,https://en.wikipedia.org/wiki/Second_Zhili%E2%80%93Fengtian_War
Great Syrian Revolt,1925,https://en.wikipedia.org/wiki/Great_Syrian_Revolt
Colombian-Peruvian War,1925,https://en.wikipedia.org/wiki/Colombia%E2%80%93Peru_War
Anti-Fengtian War,1925,https://en.wikipedia.org/wiki/Anti-Fengtian_War
Urtatagai conflict,1925,https://en.wikipedia.org/wiki/Urtatagai_conflict_(1925%E2%80%931926)
Nicaraguan Civil War of 1926–1927,1926,https://en.wikipedia.org/wiki/Nicaraguan_Civil_War_(1926%E2%80%931927)
28 May 1926 coup d'état,1926,https://en.wikipedia.org/wiki/28_May_1926_coup_d%27%C3%A9tat
Chinese Civil War,1927,https://en.wikipedia.org/wiki/Chinese_Civil_War
Afghan Civil War (1928–1929),1928,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1928%E2%80%931929)
Central Plains War,1929,https://en.wikipedia.org/wiki/Central_Plains_War
Sino–Tibetan War,1930,https://en.wikipedia.org/wiki/Sino-Tibetan_War_of_1930%E2%80%931932
Castellammarese War,1930,https://en.wikipedia.org/wiki/Castellammarese_War
Central Plains War,1930,https://en.wikipedia.org/wiki/Central_Plains_War
Red River Bridge War,1931,https://en.wikipedia.org/wiki/Red_River_Bridge_War
Soviet–Japanese border conflicts,1932,https://en.wikipedia.org/wiki/Soviet%E2%80%93Japanese_border_conflicts
Constitutionalist Revolution,1932,https://en.wikipedia.org/wiki/Constitutionalist_Revolution
Siamese revolution of 1932,1932,https://en.wikipedia.org/wiki/Siamese_revolution_of_1932
Constitutionalist Revolution,1932,https://en.wikipedia.org/wiki/Constitutionalist_Revolution
Ecuadorian Civil War of 1932,1932,https://en.wikipedia.org/wiki/Ecuadorian_Civil_War_of_1932
Colombian-Peruvian War,1932,https://en.wikipedia.org/wiki/Colombia%E2%80%93Peru_War
Chaco War,1932,https://en.wikipedia.org/wiki/Chaco_War
Revolution of 1933,1933,https://en.wikipedia.org/wiki/Andorran_Revolution
Austrian Civil War,1934,https://en.wikipedia.org/wiki/Austrian_Civil_War
Saudi–Yemeni war,1934,https://en.wikipedia.org/wiki/Saudi%E2%80%93Yemeni_war_(1934)
Second Italo-Ethiopian War,1935,https://en.wikipedia.org/wiki/Second_Italo-Ethiopian_War
Spanish Civil War,1936,https://en.wikipedia.org/wiki/Spanish_Civil_War
Second Sino-Japanese War,1937,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
World War II in Albania,1939,https://en.wikipedia.org/wiki/World_War_II_in_Albania
Slovak–Hungarian War,1939,https://en.wikipedia.org/wiki/Slovak%E2%80%93Hungarian_War
Spanish Civil War,1939,https://en.wikipedia.org/wiki/Spanish_Civil_War
World War II,1939,https://en.wikipedia.org/wiki/World_War_II
Winter War,1939,https://en.wikipedia.org/wiki/Winter_War
1948 Arab–Israeli War,1940,https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War
1948 Palestine War,1940,https://en.wikipedia.org/wiki/1948_Palestine_war
1947–1948 Civil War in Mandatory Palestine,1940,https://en.wikipedia.org/wiki/1947%E2%80%931948_civil_war_in_Mandatory_Palestine
Franco-Thai War,1940,https://en.wikipedia.org/wiki/Franco-Thai_War
Greco-Italian War,1940,https://en.wikipedia.org/wiki/Greco-Italian_War
World War II in Yugoslavia,1941,https://en.wikipedia.org/wiki/World_War_II_in_Yugoslavia
Anglo-Iraqi War,1941,https://en.wikipedia.org/wiki/Anglo-Iraqi_War
World War II in Yugoslavia,1941,https://en.wikipedia.org/wiki/World_War_II_in_Yugoslavia
Greco-Italian War,1941,https://en.wikipedia.org/wiki/Greco-Italian_War
Anglo-Iraqi War,1941,https://en.wikipedia.org/wiki/Anglo-Iraqi_War
Eastern Front,1941,https://en.wikipedia.org/wiki/Eastern_Front_(World_War_II)
Continuation War,1941,https://en.wikipedia.org/wiki/Continuation_War
Ecuadorian–Peruvian War,1941,https://en.wikipedia.org/wiki/Ecuadorian%E2%80%93Peruvian_War
Seven Enemy Offensives,1941,https://en.wikipedia.org/wiki/Seven_Enemy_Offensives
National Liberation War of Macedonia,1941,https://en.wikipedia.org/wiki/World_War_II_in_Yugoslav_Macedonia
Yugoslav Partisan-Chetnik conflict,1941,https://en.wikipedia.org/wiki/Partisan%E2%80%93Chetnik_War_(1941%E2%80%931945)
Pacific War,1941,https://en.wikipedia.org/wiki/Pacific_War
World War II in Albania,1942,https://en.wikipedia.org/wiki/World_War_II_in_Albania
Ecuadorian–Peruvian War,1942,https://en.wikipedia.org/wiki/Ecuadorian%E2%80%93Peruvian_War
Lapland War,1944,https://en.wikipedia.org/wiki/Lapland_War
Continuation War,1944,https://en.wikipedia.org/wiki/Continuation_War
Kalimantan Physical Revolution,1945,https://en.wikipedia.org/wiki/Kalimantan_Physical_Revolution
Soviet–Japanese War,1945,https://en.wikipedia.org/wiki/Soviet%E2%80%93Japanese_War
Eastern Front,1945,https://en.wikipedia.org/wiki/Eastern_Front_(World_War_II)
Soviet–Japanese War,1945,https://en.wikipedia.org/wiki/Soviet%E2%80%93Japanese_War
August Revolution,1945,https://en.wikipedia.org/wiki/August_Revolution
Indonesian National Revolution,1945,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
Indonesian National Revolution,1945,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
World War II,1945,https://en.wikipedia.org/wiki/World_War_II
Second Sino-Japanese War,1945,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War
Pacific War,1945,https://en.wikipedia.org/wiki/Pacific_War
Operation Masterdom,1945,https://en.wikipedia.org/wiki/War_in_Vietnam_(1945%E2%80%931946)
Indochina Wars,1946,https://en.wikipedia.org/wiki/Indochina_Wars
Greek Civil War,1946,https://en.wikipedia.org/wiki/Greek_Civil_War
Chinese Civil War,1946,https://en.wikipedia.org/wiki/Chinese_Civil_War
First Indochina War,1946,https://en.wikipedia.org/wiki/First_Indochina_War
Indo-Pakistani war of 1947–1948,1947,https://en.wikipedia.org/wiki/Indo-Pakistani_war_of_1947%E2%80%931948
Paraguayan Civil War of 1947,1947,https://en.wikipedia.org/wiki/Paraguayan_Civil_War_(1947)
Kashmir conflict,1947,https://en.wikipedia.org/wiki/Kashmir_conflict
Paraguayan Civil War of 1947,1947,https://en.wikipedia.org/wiki/Paraguayan_Civil_War_(1947)
partition of India,1947,https://en.wikipedia.org/wiki/Partition_of_India
Kashmir conflict,1947,https://en.wikipedia.org/wiki/Kashmir_conflict
Indo-Pakistani war of 1947–1948,1947,https://en.wikipedia.org/wiki/Indo-Pakistani_war_of_1947%E2%80%931948
1947–1948 Civil War in Mandatory Palestine,1947,https://en.wikipedia.org/wiki/1947%E2%80%931948_civil_war_in_Mandatory_Palestine
1948 Palestine War,1947,https://en.wikipedia.org/wiki/1948_Palestine_war
Costa Rican Civil War,1948,https://en.wikipedia.org/wiki/Costa_Rican_Civil_War
Myanmar conflict,1948,https://en.wikipedia.org/wiki/Myanmar_conflict
Costa Rican Civil War,1948,https://en.wikipedia.org/wiki/Costa_Rican_Civil_War
1948 Arab–Israeli War,1948,https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War
Malayan Emergency,1948,https://en.wikipedia.org/wiki/Malayan_Emergency
La Violencia,1949,https://en.wikipedia.org/wiki/La_Violencia
La Violencia,1949,https://en.wikipedia.org/wiki/La_Violencia
Korean War,1950,https://en.wikipedia.org/wiki/Korean_War
"Revolution of 1951, Nepal",1951,https://en.wikipedia.org/wiki/1951_Nepalese_revolution
1952 raid on Beit Jala,1952,https://en.wikipedia.org/wiki/1952_raid_on_Beit_Jala
1952 Egyptian revolution,1952,https://en.wikipedia.org/wiki/1952_Egyptian_revolution
Cuban Revolution,1953,https://en.wikipedia.org/wiki/Cuban_Revolution
Korean War,1953,https://en.wikipedia.org/wiki/Korean_War
Bamileke War,1955,https://en.wikipedia.org/wiki/Cameroon_War
First Sudanese Civil War,1955,https://en.wikipedia.org/wiki/First_Sudanese_Civil_War
Suez Crisis,1956,https://en.wikipedia.org/wiki/Suez_Crisis
Suez Crisis,1957,https://en.wikipedia.org/wiki/Suez_Crisis
Ifni War,1957,https://en.wikipedia.org/wiki/Ifni_War
Cuban Revolution,1959,https://en.wikipedia.org/wiki/Cuban_Revolution
Laotian Civil War,1959,https://en.wikipedia.org/wiki/Laotian_Civil_War
Rwandan Revolution,1959,https://en.wikipedia.org/wiki/Rwandan_Revolution
April Revolution,1960,https://en.wikipedia.org/wiki/April_Revolution
Malayan Emergency,1960,https://en.wikipedia.org/wiki/Malayan_Emergency
Portuguese Colonial War,1961,https://en.wikipedia.org/wiki/Portuguese_Colonial_War
Kachin conflict,1961,https://en.wikipedia.org/wiki/Kachin_conflict
First Kurdisch–Iraqi War,1961,https://en.wikipedia.org/wiki/First_Iraqi%E2%80%93Kurdish_War
"Cold War, 1962–1979",1962,https://en.wikipedia.org/wiki/Cold_War_(1962%E2%80%931979)
North Yemen civil war,1962,https://en.wikipedia.org/wiki/North_Yemen_civil_war
Shifta War,1963,https://en.wikipedia.org/wiki/Shifta_War
Indonesia–Malaysia confrontation,1963,https://en.wikipedia.org/wiki/Indonesia%E2%80%93Malaysia_confrontation
Sand War,1963,https://en.wikipedia.org/wiki/Sand_War
Sand War,1963,https://en.wikipedia.org/wiki/Sand_War
1964 Ethiopian-Somali Border War,1964,https://en.wikipedia.org/wiki/1964_Ethiopian%E2%80%93Somali_Border_War
Zanzibar Revolution,1964,https://en.wikipedia.org/wiki/Zanzibar_Revolution
1964 Ethiopian-Somali Border War,1964,https://en.wikipedia.org/wiki/1964_Ethiopian%E2%80%93Somali_Border_War
Rhodesian Bush War,1964,https://en.wikipedia.org/wiki/Rhodesian_Bush_War
War over Water,1964,https://en.wikipedia.org/wiki/War_over_Water_(Jordan_River)
Chadian Civil War of 1965–1979,1965,https://en.wikipedia.org/wiki/Chadian_Civil_War_(1965%E2%80%931979)
Guatemalan Civil War,1965,https://en.wikipedia.org/wiki/Guatemalan_Civil_War
Indo-Pakistani War of 1965,1965,https://en.wikipedia.org/wiki/Indo-Pakistani_war_of_1965
Indo-Pakistani War of 1965,1965,https://en.wikipedia.org/wiki/Indo-Pakistani_war_of_1965
Chadian Civil War of 1965–1979,1965,https://en.wikipedia.org/wiki/Chadian_Civil_War_(1965%E2%80%931979)
Stanleyville Mutinies,1966,https://en.wikipedia.org/wiki/Stanleyville_mutinies
Cultural Revolution,1966,https://en.wikipedia.org/wiki/Cultural_Revolution
Naxalite–Maoist insurgency,1967,https://en.wikipedia.org/wiki/Naxalite%E2%80%93Maoist_insurgency
Naxalite–Maoist insurgency,1967,https://en.wikipedia.org/wiki/Naxalite%E2%80%93Maoist_insurgency
Cambodian Civil War,1967,https://en.wikipedia.org/wiki/Cambodian_Civil_War
Six-Day War,1967,https://en.wikipedia.org/wiki/Six-Day_War
Six-Day War,1967,https://en.wikipedia.org/wiki/Six-Day_War
War of Attrition,1967,https://en.wikipedia.org/wiki/War_of_Attrition
Nigerian Civil War,1967,https://en.wikipedia.org/wiki/Nigerian_Civil_War
Hundred Hour War,1967,https://en.wikipedia.org/wiki/Football_War
War of Attrition,1969,https://en.wikipedia.org/wiki/War_of_Attrition
Hundred Hour War,1969,https://en.wikipedia.org/wiki/Football_War
Iranian Revolution,1970,https://en.wikipedia.org/wiki/Iranian_revolution
Nigerian Civil War,1970,https://en.wikipedia.org/wiki/Nigerian_Civil_War
White September,1970,https://en.wikipedia.org/wiki/Black_September
Bangladesh Liberation War,1971,https://en.wikipedia.org/wiki/Bangladesh_Liberation_War
Indo-Pakistani War of 1971 edited by ANti-Muslim Dogs,1971,https://en.wikipedia.org/wiki/Indo-Pakistani_war_of_1971
Bangladesh Liberation War,1971,https://en.wikipedia.org/wiki/Bangladesh_Liberation_War
Indo-Pakistani War of 1971 edited by ANti-Muslim Dogs,1971,https://en.wikipedia.org/wiki/Indo-Pakistani_war_of_1971
1972 North and South Yemen War,1972,https://en.wikipedia.org/wiki/First_Yemenite_War
Yom Kippur War,1973,https://en.wikipedia.org/wiki/Yom_Kippur_War
Yom Kippur War,1973,https://en.wikipedia.org/wiki/Yom_Kippur_War
Second Kurdish–Iraqi War,1974,https://en.wikipedia.org/wiki/Second_Iraqi%E2%80%93Kurdish_War
Ethiopian Revolution,1974,https://en.wikipedia.org/wiki/Ethiopian_Revolution
Second Kurdish–Iraqi War,1974,https://en.wikipedia.org/wiki/Second_Iraqi%E2%80%93Kurdish_War
Carnation Revolution,1974,https://en.wikipedia.org/wiki/Carnation_Revolution
Ethiopian Civil War,1974,https://en.wikipedia.org/wiki/Ethiopian_Civil_War
Eritrean Civil Wars,1974,https://en.wikipedia.org/wiki/Eritrean_Civil_Wars
Lebanese Civil War,1975,https://en.wikipedia.org/wiki/Lebanese_Civil_War
Third Indochina War,1975,https://en.wikipedia.org/wiki/Third_Indochina_War
Civil War in East Timor in 1975,1975,https://en.wikipedia.org/wiki/East_Timorese_civil_war
Western Sahara War,1975,https://en.wikipedia.org/wiki/Western_Sahara_War
Angolan Civil War,1975,https://en.wikipedia.org/wiki/Angolan_Civil_War
Cambodian–Vietnamese War,1977,https://en.wikipedia.org/wiki/Cambodian%E2%80%93Vietnamese_War
First Shaba War,1977,https://en.wikipedia.org/wiki/Shaba_I
Mozambican Civil War,1977,https://en.wikipedia.org/wiki/Mozambican_Civil_War
Ogden War,1977,https://en.wikipedia.org/wiki/Ogaden_War
Libyan–Egyptian War,1977,https://en.wikipedia.org/wiki/Egyptian%E2%80%93Libyan_War
Ogden War,1977,https://en.wikipedia.org/wiki/Ogaden_War
Libyan–Egyptian War,1977,https://en.wikipedia.org/wiki/Egyptian%E2%80%93Libyan_War
Iranian Revolution,1978,https://en.wikipedia.org/wiki/Iranian_revolution
Nicaraguan Revolution,1978,https://en.wikipedia.org/wiki/Nicaraguan_Revolution
Chadian–Libyan War,1978,https://en.wikipedia.org/wiki/Chadian%E2%80%93Libyan_War
Saur Revolution,1978,https://en.wikipedia.org/wiki/Saur_Revolution
Afghan conflict,1978,https://en.wikipedia.org/wiki/Afghan_conflict
Shaba II,1978,https://en.wikipedia.org/wiki/Shaba_II
Hundred Days' War,1978,https://en.wikipedia.org/wiki/Hundred_Days%27_War
Uganda–Tanzania War,1978,https://en.wikipedia.org/wiki/Uganda%E2%80%93Tanzania_War
Sino-Vietnamese War,1979,https://en.wikipedia.org/wiki/Sino-Vietnamese_War
