event,eventLabel,start,category,heritage_designation,articleLink,rank
http://www.wikidata.org/entity/Q111938983,1987 South Africa floods,1987-09-01T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1987_South_Africa_floods,1
http://www.wikidata.org/entity/Q115898220,drought in Nigeria,1973-01-01T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/Drought_in_Nigeria,1
http://www.wikidata.org/entity/Q14628797,2013 China–Russia floods,2013-08-10T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2013_China%E2%80%93Russia_floods,1
http://www.wikidata.org/entity/Q20630431,2015 Gujarat flood,2015-06-23T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/Deep_Depression_ARB_02_(2015),1
http://www.wikidata.org/entity/Q24130513,2016 Sri Lankan floods,2016-05-14T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2016_Sri_Lankan_floods,1
http://www.wikidata.org/entity/Q25060463,Nigeria gully erosion crisis,1980-01-01T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/Nigeria_gully_erosion_crisis,1
http://www.wikidata.org/entity/Q30327722,2017 Pedrógão Grande Wildfire,2017-06-17T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/June_2017_Portugal_wildfires,1
http://www.wikidata.org/entity/Q48876710,1967 Portugal floods,1967-11-25T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1967_Portugal_floods,1
http://www.wikidata.org/entity/Q111938983,1987 South Africa floods,1987-09-25T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1987_South_Africa_floods,1
http://www.wikidata.org/entity/Q6796315,May 2004 Caribbean floods,2004-05-18T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/May_2004_Caribbean_floods,1
http://www.wikidata.org/entity/Q7257020,1972 Hong Kong rainstorm disasters,1972-06-16T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1972_Hong_Kong_landslides,1
http://www.wikidata.org/entity/Q10869269,Hong Kong Typhoon of 1906,1906-09-07T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1906_Hong_Kong_typhoon,1
http://www.wikidata.org/entity/Q86929,2002 European floods,2002-08-01T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2002_European_floods,1
http://www.wikidata.org/entity/Q130754,2004 Indian Ocean earthquake,2004-12-26T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2004_Indian_Ocean_earthquake_and_tsunami,1
http://www.wikidata.org/entity/Q86929,2002 European floods,2002-08-05T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2002_European_floods,1
http://www.wikidata.org/entity/Q152314,Cyclone Nargis,2008-04-25T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/Cyclone_Nargis,1
http://www.wikidata.org/entity/Q1434437,2012 Krasnodar Krai floods,2012-07-06T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2012_Krasnodar_Krai_floods,1
http://www.wikidata.org/entity/Q4557040,1896 Eastern North America heat wave,1896-08-03T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1896_Eastern_North_America_heat_wave,1
http://www.wikidata.org/entity/Q663850,Winter of Terror,1951-01-01T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/Winter_of_Terror,1
http://www.wikidata.org/entity/Q1434437,2012 Krasnodar Krai floods,2012-07-07T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2012_Krasnodar_Krai_floods,1
http://www.wikidata.org/entity/Q2215044,2011 Joplin tornado,2010-05-22T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2011_Joplin_tornado,1
http://www.wikidata.org/entity/Q4191059,2007 Nevelsk earthquake,2007-08-02T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2007_Nevelsk_earthquake,1
http://www.wikidata.org/entity/Q4579282,1980 Kalamazoo tornado,1980-05-13T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1980_Kalamazoo_tornado,1
http://www.wikidata.org/entity/Q4589514,1994 East Java earthquake,1994-06-03T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1994_Java_earthquake,1
http://www.wikidata.org/entity/Q5911717,1953 Paphos earthquake,1953-09-10T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1953_Paphos_earthquake,1
http://www.wikidata.org/entity/Q11737225,Lake Nyos disaster,1986-08-21T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/Lake_Nyos_disaster,1
http://www.wikidata.org/entity/Q45856423,Santa Lucía lands,2017-12-16T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2017_Villa_Santa_Luc%C3%ADa_mudflow,1
http://www.wikidata.org/entity/Q55404423,2018 European drought and heat wave,2018-01-01T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/2018_European_heatwave,1
http://www.wikidata.org/entity/Q94579933,1979 Dieng eruption,1979-02-20T00:00:00Z,natural disaster,,https://en.wikipedia.org/wiki/1979_eruption_of_Sinila_crater,1
