Date,Event Description
1913,"the 1913 Ottoman coup d'état, Ismail Enver comes to power."
1913,– 19: La Decena Trágica in Mexico City.
1913,Wilson is inaugurated as President of the United States.
1913,Stravinsky's The Rite of Spring infamously premiers in Paris which causes a riot.
1913,of London.
1913,Second Balkan War.
1913,of Bucharest.
1913,Motor Company introduces the first moving assembly line.
1913,Federal Reserve System is created.
1913,uses military force to dissolve China's parliament and rules as a dictator.
1913,"formulates the first cohesive model of the atomic nucleus, and in the process paves the way to quantum mechanics."
1914,"Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo, triggering the start of World War I that day."
1914,Canal opens.
1914,– 30: Battle of Tannenberg.
1914,", last known passenger pigeon, dies."
1914,XV becomes Pope.
1914,– 12: First Battle of the Marne.
1914,The Race to the Sea leaves Germany and the Allies entrenched along the Western Front.
1914,United Kingdom establishes the Sultanate of Egypt as a protectorate.
1914,Christmas truce is celebrated by the Germans and the British along the Western Front.
1915,"Battle of Ypres begins, first widespread use of poison gas."
1915,deportation of Armenian leaders and notables in Constantinople signals the onset of the Armenian genocide.
1915,of the RMS Lusitania.
1915,"the Banana Wars, the United States occupation of Haiti begins."
1915,"large scale use of poison gas by both sides in World War I occurs, first by the Germans at the Battle of Humin-Bolimów on the eastern front, and at the Second Battle of Ypres on the western front, and then by the British at the Battle of Loos."
1916,Allies' Gallipoli campaign ends in failure; heavy losses of Australian troops.
1916,Battle of Verdun.
1916,"Flugzeugwerke, later to become BMW, is founded in Germany."
1916,–30: Easter Rising in Ireland.
1916,first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary.
1916,Brusilov offensive by Russia.
1916,Warlord Era begins in China after the death of Yuan Shikai.
1916,Arab Revolt begins.
1916,Battle of the Somme on Western Front; massive casualties.
1916,–22: First use of tanks at the Battle of Flers–Courcelette.
1916,Pact is agreed upon by both the Congress and the Muslim League at the Indian city of Lucknow.
1916,David Lloyd George becomes Prime Minister of the United Kingdom.
1916,Rasputin is assassinated in Russia.
1916,", one of the earliest shopping malls, opens in the Chicago metropolitan area."
1917,Revolution ends the Russian Empire; beginning of Russian Civil War.
1917,joins the Entente for the last 17 months of World War I.
1917,"Apparitions of Our Lady of the Rosary in Fátima, Portugal."
1917,first Pulitzer Prizes announced.
1917,Battle of Passchendaele.
1917,Battle of Caporetto.
1917,–2: The Third Battle of Gaza ends in British victory.
1917,(O.S. 25): Revolution in the Russian Republic.
1917,Ukrainian–Soviet War begins.
1917,"National Hockey League is formed in Montreal, Canada."
1917,of Finland.
1917,known sale of Girl Scout Cookies begins.
1918,Finnish Civil War.
1918,declares independence from Russia.
1918,"of the Spanish flu pandemic, which lasts until 1920 and kills tens of millions."
1918,The German spring offensive.
1918,declares independence from Russia.
1918,Armenian–Azerbaijani War begins.
1918,Democratic Republic declared.
1918,VI becomes the last Sultan of the Ottoman Empire and the last Caliph.
1918,– 17: Assassination of Tsar Nicholas II and his family.
1918,– 12: Battle of Amiens.
1918,–November: The Hundred Days Offensive sends Germany into defeat.
1918,"State of Slovenes, Croats and Serbs is established."
1918,Revolution begins.
1918,Mutawakkilite Kingdom of Yemen founded. The Partition of the Ottoman Empire begins.
1918,Kingdom of Yemen founded.
1918,of the Ottoman Empire begins.
1918,declared in the West Ukrainian People's Republic. The Polish–Ukrainian War begins.
1918,in the West Ukrainian People's Republic.
1918,–Ukrainian War begins.
1918,of Wilhelm II.
1918,Armistice of 11 1918 ends World War I. Poland declares independence from Russia.
1918,of 11 1918 ends World War I.
1918,independence from Russia.
1918,"Kingdom of Iceland, a personal union with Denmark, is formed."
1918,occupy Palestine.
1918,Kingdom of Yemen founded.
1918,of the Ottoman Empire begins.
1918,in the West Ukrainian People's Republic.
1918,–Ukrainian War begins.
1918,of 11 1918 ends World War I.
1918,independence from Russia.
1919,Conference writes Treaty of Versailles that punishes Germany.
1919,First Red Scare in the United States. Irish War of Independence begins.
1919,–Soviet War begins.
1919,International established in the Kremlin to coordinate Communist parties worldwide.
1919,International Labour Organization is established.
1919,"Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500."
1919,War of Independence begins.
1919,Treaty of Versailles redraws European borders.
1919,19 Egyptian revolution erupts.
1919,of Polish–Ukrainian War.
1919,Revolution ends with the collapse of the German Empire and the establishment of the Weimar Republic.
1919,"date of Feline Follies, the first appearance of Felix the Cat (then known as Master Tom)."
1919,evidence for the General theory of relativity obtained by Arthur Eddington.
1919,discovers the proton.
1920,of Nations founded.
1920,in the United States begins.
1920,for Estonia in the Estonian War of Independence.
1920,Palestine established.
1920,– 28: Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.
1920,Gandhi launches Non-cooperation movement.
1920,Revolution ends.
1920,its monarchy after a referendum.
1921,of 1921–1922 begins.
1921,"of the science-fiction play R.U.R. (Rossum's Universal Robots), in which the word ""robot"" was first used."
1921,Russia invades Georgia and incorporates it into the Soviet Union.
1921,G. Harding is inaugurated as President of the United States.
1921,of the Polish–Soviet War.
1921,Hitler becomes Führer of the Nazi Party as hyperinflation in the Weimar Republic begins.
1921,Italian National Fascist Party is established by Benito Mussolini.
1921,of the Ukrainian–Soviet War.
1921,brings the Pahlavi dynasty to power in Iran.
1922,Joyce publishes Ulysses.
1922,XI becomes Pope. The Washington Naval Treaty is signed.
1922,becomes Pope.
1922,Naval Treaty is signed.
1922,"gains independence from the United Kingdom, though British forces still occupy the Suez Canal."
1922,Irish Civil War begins.
1922,Bonar Law becomes Prime Minister of the United Kingdom.
1922,on Rome brings Benito Mussolini to power in Italy.
1922,Sultanate abolished by the Grand National Assembly of Turkey; Sultan Mehmed VI is deposed.
1922,Carter discovers the Tomb of Tutankhamun.
1922,Broadcasting Corporation (BBC) established.
1922,"Free State is established, while the Province of Northern Ireland is created within The United Kingdom."
1922,"Narutowicz, President of Poland, is assassinated."
1922,"Union of Soviet Socialist Republics (USSR), the world's first officially Communist state, is formed."
1922,"of Costa Rica, Guatemala, Honduras and El Salvador is dissolved."
1922,calls off Non-cooperation movement.
1922,becomes Pope.
1922,Naval Treaty is signed.
1923,Italian reconquest of Libya begins.
1923,Magazine is first published.
1923,Baldwin becomes Prime Minister of the United Kingdom.
1923,Irish Civil War ends.
1923,military coup ousts and kills Bulgarian Prime Minister Aleksandar Stamboliyski.
1923,of Russian Civil War.
1923,of Warren G. Harding; Vice President Calvin Coolidge assumes office as President of the United States.
1923,"Great Kantō earthquake kills at least 105,000 people in Japan."
1923,War of Independence ends; Ankara replaces Istanbul as its capital.
1923,Walt Disney Company is founded.
1923,Kemal Atatürk becomes the first President of the newly established Republic of Turkey.
1923,"Beer Hall Putsch, an attempt to overthrow the Weimar Republic, ends in failure and brief imprisonment for Adolf Hitler but brings the Nazi Party to national attention."
1923,in the Weimar Republic ends with the introduction of the Rentenmark.
1924,death of Vladimir Lenin triggers power struggle between Leon Trotsky and Joseph Stalin.
1924,MacDonald becomes Prime Minister of the United Kingdom; first Labour Party prime minister.
1924,"5: The first edition of the Winter Olympic Games is hosted in Chamonix, France."
1924,in Blue by George Gershwin premieres in New York City.
1924,Caliphate is abolished by Kemal Atatürk.
1924,"Act of 1924 significantly restricts immigration from Asia, the Middle East, and Southern Europe to USA."
1924,Uprising in Georgia against Soviet rule.
1924,Stanley Baldwin becomes Prime Minister of the United Kingdom.
1925,Mussolini delivers a speech to begin his dictatorship.
1925,First televisual image introduced by John Logie Baird.
1925,'s Mein Kampf is published.
1925,– 16: Locarno Treaties signed.
1925,of Hejaz.
1925,to Nome.
1926,– 14: Coup in Poland.
1926,28 1926 coup d'état in Portugal.
1926,Broadcasting Company (NBC) founded in New York City.
1926,"Kuomintang begins the Northern Expedition, a military unification campaign in northern China."
1926,Georgios Kondylis overthrows General Theodoros Pangalos in Greece.
1926,"Taishō dies; his son, the Emperor Shōwa (Hirohito) becomes Emperor of Japan."
1927,BBC is granted a Royal charter in the United Kingdom.
1927,Parliament of Australia convenes in Canberra for the first time.
1927,United Kingdom of Great Britain and Ireland officially becomes the United Kingdom of Great Britain and Northern Ireland.
1927,"Bath School disaster, a series of violent attacks by Andrew Kehoe results in 45 deaths in Michigan, USA."
1927,Arabia gains independence.
1927,– 21: Charles Lindbergh performs the first nonstop flight from New York City to Paris; becomes a world hero.
1927,Chinese Civil War begins.
1927,Broadcasting System (CBS) founded in New York City.
1927,"Rushmore construction begins in South Dakota, U.S."
1927,"Jazz Singer, the first ""talkie"", is released."
1927,general secretary Joseph Stalin becomes dictator of the Soviet Union.
1927,reaches two billion.
1928,al-Banna founds the Muslim Brotherhood.
1928,Kellogg–Briand Pact is signed in Paris.
1928,Zog I is crowned in Albania.
1928,rediscovery of penicillin by Alexander Fleming.
1928,Civil War (1928–1929) begins.
1928,"Willie, is the first appearance of Mickey Mouse."
1928,Warlord Era ends in China.
1928,a British Dominion.
1928,of 1928–1930 begins.
1928,is invented.
1929,Trotsky is exiled.
1929,"Pius XI signs the Lateran Treaty with Italian leader Benito Mussolini, after which the Vatican City is recognised as a sovereign state."
1929,"Valentine's Day Massacre, the murder of seven members and associates of Chicago's North Side Gang."
1929,Hoover is inaugurated as President of the United States.
1929,first Academy Awards are presented.
1929,MacDonald becomes Prime Minister of the United Kingdom.
1929,– 29: Wall Street Crash of 1929 and the beginning of the Great Depression.
1929,sent to the gulag in the Soviet Union as Stalin assumes effective control.
1930,Tombaugh discovers Pluto.
1930,by Mohandas Gandhi and the official start of civil disobedience in British India.
1930,Selassie becomes Emperor of Abyssinia.
1930,"' in the Bathtub, the first Looney Tunes short, is released."
1930,of Chrysler Building completed.
1930,"Kullen, widely regarded as the first supermarket, opens in Queens, New York City."
1930,"by the Great Depression, the Nazi Party increases its share of the vote from 2.6% to 18.3%."
1930,"Round Table Conference between India and Great Britain, which goes until 1931."
1930,Vargas Era begins in Brazil.
1930,of 1930–1933 and Holodomor begin.
1931,Radio first began broadcasting.
1931,"The Star-Spangled Banner"" is adopted as the United States's national anthem."
1931,Second Spanish Republic is declared.
1931,State Building completed.
1931,in China kill up to 2.5 million people.
1931,"invades Manchuria, part of the chain of events leading to the start of World War II."
1931,"Pangborn and Hugh Herndon Jr. complete the first non-stop flight across the Pacific Ocean in their plane, Miss Veedol, in 41½ hours."
1931,Chinese Soviet Republic is proclaimed by Mao Zedong.
1931,of Westminster creates the British Commonwealth of Nations. Independence of South Africa.
1931,Westminster creates the British Commonwealth of Nations.
1931,South Africa.
1931,the Redeemer completed.
1931,Westminster creates the British Commonwealth of Nations.
1931,South Africa.
1932,kidnapping.
1932,Éamon de Valera becomes President of the Executive Council (prime minister) of the Irish Free State.
1932,coup in Chile.
1932,Revolution establishes a constitutional monarchy.
1932,Chaco War between Bolivia and Paraguay begins.
1932,Failed Emu War in Australia. Third Round Table Conference.
1932,Table Conference.
1932,World Service starts broadcasting.
1932,is discovered by James Chadwick.
1932,party becomes the largest single party in the German parliament.
1932,Table Conference.
1933,Hitler becomes Chancellor of Germany.
1933,D. Roosevelt is inaugurated as President of the United States
1933,announces it will leave the League of Nations.
1933,"announces its withdrawal from the League of Nations and the World Disarmament Conference, after the U.S., the U.K. and France deny its request to increase its defense armaments under the Versailles Treaty."
1933,in the United States is abolished.
1933,begins in America.
1933,occupation of Nicaragua ends.
1934,– 15: The Austrian Civil War results in Fascist victory.
1934,United States grants more autonomy to the Philippines.
1934,and Clyde are shot to death in a police ambush.
1934,"2: Adolf Hitler instigates the Night of the Long Knives, which cements his power over both the Nazi Party and Germany."
1934,Dillinger is gunned down by the FBI outside the Biograph Theater.
1934,"Dollfuss, Chancellor of Austria, is shot dead as part of a failed Nazi coup d'état."
1934,United States occupation of Haiti ends.
1934,"the death of Paul von Hindenburg, Hitler declares himself Führer of Germany."
1934,Zedong begins the Long March.
1934,Toro overthrows the government of Bolivia in a military coup.
1935,of 20th Century Fox.
1935,"Shah of Iran asks the international community to formally adopt the name ""Iran"" to refer to the country, instead of the name ""Persia""."
1935,War ends.
1935,of the Nuremberg racial laws.
1935,Second Italo-Ethiopian War begins and goes until 1937. It includes events such as the exile of Haile Selassie and the conquest of Abyssinia by Benito Mussolini.
1936,VIII becomes King of the British Commonwealth and Emperor of India.
1936,annexes Ethiopia.
1936,of the Spanish Civil War.
1936,"Benjamin"", the last known thylacine, dies in Hobart Zoo."
1936,Scouts of the Philippines is founded.
1936,"a reign shorter than one year, Edward VIII abdicates and hands the throne to his brother, George VI."
1936,Dam is completed.
1936,begins under Stalin.
1936,1936–1939 Arab revolt in Palestine against the British begins to oppose Jewish immigration.
1936,and Larry Griswold build the first modern trampoline.
1937,"zeppelin Hindenburg crashes in Lakehurst, New Jersey, ending the airship era."
1937,Chamberlain becomes Prime Minister of the United Kingdom.
1937,"invasion of China, and the beginning of World War II in the Far East."
1937,founded in Japan by Kiichiro Toyoda.
1937,. R. R. Tolkien publishes The Hobbit.
1937,"Nanjing Massacre begins, ending about a month later in 1938. It results in from 40,000 to 300,000 deaths according to various estimates."
1937,White and the Seven Dwarfs is the first feature-length animated movie released.
1937,Republican Army attempts to assassinate King George VI.
1937,by the German Labour Front.
1938,unifies Germany and Austria.
1938,Comics hero Superman has its first appearance.
1938,"newspaper editor László Bíró fills a British patent of the first commercially successful ballpoint pen. This would popularize the instrument, currently the most widely used for writing, after World War II."
1938,–15: Évian Conference ends with all attendee nations save the Dominican Republic refusing to accept more Jewish refugees from the Third Reich.
1938,Agreement hands Czechoslovakia to Nazi Germany.
1938,"– 10: Kristallnacht, a pogrom of over 90 Jews in Germany."
1938,Magazine declares Adolf Hitler as Man of the Year.
1938,"Purge ends after nearly 700,000 executions."
1939,XII becomes Pope.
1939,of Spanish Civil War; Francisco Franco becomes dictator of Spain.
1939,Molotov–Ribbentrop Pact between Germany and the Soviet Union.
1939,-Mayer releases The Wizard of Oz.
1939,Nazi invasion of Poland triggers World War II in Europe. Soviet invasion of Poland begins 16 days later.
1939,and France declare war on Germany; World War II begins.
1939,"founded in Modena, Italy (as Auto Avio Costruzioni) by Enzo Ferrari."
1939,revolt against the British ends.
1940,insurgency begins in Soviet Union.
1940,Winter War between Soviet Union and Finland ends with a costly victory for the USSR.
1940,The Katyn massacre of Polish soldiers in USSR and the Soviet occupation of the Baltic states.
1940,Churchill becomes Prime Minister of the United Kingdom.
1940,"'s founded in San Bernardino, California."
1940,"Nazis invade Denmark and Norway, followed by Belgium, the Netherlands and France; their governments (except Denmark) are exiled to the United Kingdom."
1940,Soviet Union annexes the Baltic states.
1940,"Battle of Britain, the first entirely aerial military campaign, becomes the first significant defeat for the Axis powers."
1940,Trotsky is assassinated in Mexico.
1940,"Blitz, a German bombing campaign against the United Kingdom, begins."
1940,synthesized.
1941,Hitler commences the Nazi invasion of the Soviet Union.
1941,War between Finland and the Soviet Union begins. Siege of Tobruk in North Africa is the first major defeat for Hitler's land forces.
1941,of Leningrad begins.
1941,Reinhard commences the main phase of The Holocaust.
1941,Japanese Attack on Pearl Harbor leads to the USA joining World War II.
1941,construction ends.
1942,Death March.
1942,– 8: Battle of the Coral Sea.
1942,– 6: Battle of Corregidor.
1942,– 7: Battle of Midway.
1942,– 27: First Battle of El Alamein.
1942,of Stalingrad and Guadalcanal Campaign begin. Internment of Japanese-American citizens in the US begins.
1942,Japanese-American citizens in the US begins.
1942,date of Disney's Bambi.
1942,–November: Second Battle of El Alamein.
1942,Project begins.
1942,Japanese-American citizens in the US begins.
1943,Pentagon is completed.
1943,of Stalingrad ends with over two million casualties and the retreat of the German Army.
1943,Warsaw Ghetto uprising fails.
1943,Broadcasting Company (ABC) founded in New York City.
1943,The failed Battle of Kursk becomes the last Nazi offensive on the Eastern Front.
1943,é P. Laurel takes the oath of office as President of the Second Philippine Republic.
1943,"Tehran Conference between Franklin Roosevelt, Winston Churchill and Joseph Stalin agrees to launch Operation Overlord."
1943,in Bengal kills up to 3 million people.
1944,Siege of Leningrad ends with Soviet victory after over a million deaths.
1944,Chechen insurgency ends with deportation of the entire Chechen population.
1944,"operational electronic computer, Colossus, comes online."
1944,landings in Normandy.
1944,"Soviet forces launch Operation Bagration on the Eastern Front, the biggest defeat in German military history."
1944,Hitler survives the 20 plot to assassinate him led by Claus von Stauffenberg.
1944,– 25: Liberation of Paris.
1944,Continuation War ends.
1944,American and Filipino troops begin the Battle of Leyte in the Philippines.
1945,– 11: Yalta Conference.
1945,– 15: Allied bombing of Dresden.
1945,of Anne Frank.
1945,3: Battle of Manila.
1945,Battle of Okinawa.
1945,of Franklin D. Roosevelt; Vice President Harry Truman assumes office as President of the United States.
1945,Battle of Berlin.
1945,of Benito Mussolini.
1945,Suicide of Adolf Hitler in Berlin as Nazi Germany collapses.
1945,"of World War II in Europe. The Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,"ends after ~12 million deaths, including 6 million Jews."
1945,Nations founded (UN Charter).
1945,Attlee becomes Prime Minister of the United Kingdom.
1945,The Potsdam Conference divides Europe into Western and Soviet blocs.
1945,– 9: Harry S. Truman orders the atomic bombings of Hiroshima and Nagasaki.
1945,over Japan Day.
1945,of Indonesia proclaimed begin Indonesian National Revolution.
1945,of World War II in Asia with the beginning of the Surrender of Japan. Related subsequent announcement of the Proclamation of Independence of the Democratic Republic of Vietnam.
1945,announcement of the Proclamation of Independence of the Democratic Republic of Vietnam.
1945,"microwave cooking oven is patented, with the one of the first prototypes placed at a Boston restaurant for testing."
1945,"Brazil, Getúlio Vargas is deposed in a coup."
1945,"ends after ~12 million deaths, including 6 million Jews."
1945,announcement of the Proclamation of Independence of the Democratic Republic of Vietnam.
1946,Civil War resumes between Communist and Nationalist forces.
1946,of Jordan.
1946,Civil War begins.
1946,becomes a republic.
1946,Adulyadej becomes King of Thailand.
1946,Treaty of Manila declares Philippines independent.
1946,Barzani founds the Kurdistan Democratic Party.
1946,1: Nuremberg trials end.
1946,Fourth Republic established.
1946,Indochina War begins.
1946,of the Earth taken from space.
1947,Truman establishes the Truman Doctrine of containment of Communism.
1947,Robinson becomes the first African American baseball player to play modern Major League Baseball.
1947,of the U.S. Central Intelligence Agency.
1947,– 15: Partition of India. Independence of India and Pakistan and beginning of First Indo-Pakistani War.
1947,"Three Bell Labs engineers give the first public demonstration of the transistor, an electrical component that could control, amplify, and generate current."
1947,the sound barrier by Chuck Yeager in Bell X-1.
1947,"founded by Chung Ju-yung in Seoul, South Korea."
1948,of Mahatma Gandhi.
1948,of Burma and Ceylon (Sri Lanka) from Britain.
1948,"Marshall Plan, an American initiative for foreign aid of $13 billion to 16 Western European countries, comes into effect."
1948,World Health Organization (WHO) founded.
1948,Organisation for Economic Co-operation and Development (OECD) founded.
1948,Soviet Sever-2 expedition become the first party to indisputably set foot on the North Pole.
1948,Nations establishes Israeli Independence and the formation of the official State of Israel.
1948,Arab–Israeli War begins.
1948,Blockade begins.
1948,Division of North and South Korea.
1948,"founded in Hamamatsu, Japan by Soichiro Honda and Takeo Fujisawa."
1948,Universal Declaration of Human Rights adopted by the United Nations General Assembly.
1948,apartheid in South Africa.
1949,First Indo-Pakistani War ends.
1949,– 8: COMECON founded by USSR and the Eastern Bloc.
1949,Arab–Israeli War ends.
1949,Creation of NATO.
1949,Blockade ends.
1949,of NATO-backed Federal Republic of Germany (West Germany).
1949,Orwell publishes Nineteen Eighty-Four.
1949,II became the first mammal launched into space
1949,Communist Revolution: Establishment of the People's Republic of China under CCP Chairman Mao Zedong; The Republic of China relocates to Taiwan.
1949,of the socialist German Democratic Republic (East Germany).
1949,Kashmir.
1949,tests an atomic bomb.
1950,Constitution of India comes into effect.
1950,date of Disney's Cinderella.
1950,Korean invasion of South Korea begins the Korean War.
1950,The Bodo League Massacre of prisoners during the Korean War.
1950,"North Korean forces capture most of Korea, to the Pusan Perimeter."
1950,"the Brain, one of the first computer games, is released."
1950,UN forces reclaim Seoul and invade North Korea.
1950,"Turing publishes the Turing test, one of the most influential yet controversial concepts in artificial intelligence research."
1950,Dondrub assumes full political powers as the 14th Dalai Lama of Tibet.
1950,in the Landing Operation on Hainan Island (March–May) and Wanshan Archipelago Campaign end the Chinese Civil War (May–August).
1951,"Plan, a regional organisation of 27 countries designed to strengthen economic and social development of member countries in the Asia-Pacific region, commences."
1951,Treaty of San Francisco ends the Occupation of Japan and formally concludes hostilities between Japan and the US.
1951,date of the acclaimed science fiction film The Day the Earth Stood Still.
1951,Churchill becomes Prime Minister of the United Kingdom.
1952,Elizabeth II becomes Monarch of the Commonwealth realms.
1952,–Paris conventions end allied occupation of West Germany.
1952,first passenger jet flight route opens between London and Johannesburg.
1952,of Miss Universe.
1952,Revolution under Gamal Abdel Nasser overthrows King Farouk and ends British occupation.
1952,of Eva Perón.
1952,"United States successfully detonates the first hydrogen bomb, codenamed ""Ivy Mike"", at Eniwetok Atoll in the Marshall Islands in the central Pacific Ocean, with a yield of 10.4 megatons."
1952,the first effective polio vaccine by Jonas Salk.
1952,Mau Uprising begins in Kenya.
1952,Trial in Czechoslovakia.
1953,D. Eisenhower is inaugurated as President of the United States.
1953,of Stalin.
1953,of the three-dimensional structure of DNA.
1953,ascent of Mount Everest.
1953,of Elizabeth II.
1953,– 17: An East German Uprising leads to the arrest and execution of Lavrentiy Beria; power struggle begins between Georgy Malenkov and Nikita Khrushchev.
1953,of the Korean War.
1953,Mossadeq deposed in Iran.
1953,first began broadcasting.
1953,of Cambodia.
1953,color television is produced.
1954,"song Rock Around the Clock, by Bill Haley and His Comets, brings rock and roll to the American mainstream."
1954,"Supreme Court of the United States decides Brown v. Board of Education, ordering an end to racial segregation in public schools."
1954,". R. R. Tolkien publishes The Fellowship of the Ring, the first volume of The Lord of the Rings."
1954,Indochina War ends.
1954,Taiwan Strait Crisis begins.
1954,Soviet Union generates first electricity by nuclear power.
1954,Western European Union is established.
1954,War begins.
1954,is released in Japan.
1954,"franchisees, David Edgerton and James McLamore, purchase the company ""Insta-Burger King"" and rename it ""Burger King""."
1955,of the Central Treaty Organization.
1955,"Salk polio vaccine having passed large-scale trials earlier in the United States, receives full approval by the Food and Drug Administration."
1955,of Albert Einstein.
1955,– 24: Bandung Conference.
1955,Taiwan Strait Crisis ends.
1955,of the Warsaw Pact.
1955,Sudanese Civil War begins.
