Date,Event Description
1901,Australian colonies federate.
1901,VII became King of England and India after Queen Victoria's death.
1901,Platt Amendment provides for Cuban independence in exchange for the withdrawal of American troops.
1901,Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa.
1901,assassination of William McKinley ushered in office Vice President Theodore Roosevelt after McKinley's death on 14.
1901,"Eight-Nation Alliance defeats the Boxer Rebellion, and imposes heavy financial penalties on China."
1901,Nobel Prizes awarded.
1901,Marconi received the first transatlantic radio signal.
1902,Unification of Saudi Arabia begins.
1902,given independence by the United States.
1902,Boer War ends in British victory.
1902,Balfour becomes Prime Minister of the United Kingdom.
1902,Carrier invents the first modern electrical air conditioning unit.
1902,"of 1902–1903, in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims."
1903,first teddy bear is invented.
1903,Alexander I of Serbia and his wife Queen Draga are assassinated in a military coup.
1903,first Tour de France is held.
1903,In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party.
1903,X becomes Pope.
1903,"of Panama, the Hay–Bunau-Varilla Treaty is signed by the United States and Panama."
1903,controlled heavier-than-air flight of the Wright brothers.
1903,Empire and the German Empire sign an agreement to build the Constantinople-Baghdad Railway.
1904,Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War.
1904,Cordiale signed between Britain and France.
1904,.S. begins construction of the Panama Canal and eradication of yellow fever.
1904,Railway is completed.
1904,"Nama genocide, the first genocide of the 20th century, begins in German South West Africa."
1904,publishes his account of Belgian atrocities in the Congo Free State.
1905,Revolution of 1905 in Russia erupts.
1905,"First Moroccan Crisis begins, going until 1906."
1905,"Norwegian Parliament declares the union with Sweden dissolved, and Norway achieves full independence."
1905,Russo-Japanese War ends in Japanese victory.
1905,Einstein's formulation of special relativity.
1905,"British Indian Province of Bengal, partitioned by the Viceroy of India, Lord Curzon, despite strong opposition."
1905,Henry Campbell-Bannerman becomes Prime Minister of the United Kingdom.
1905,proposed in Berlin to defeat France.
1905,Constitutional Revolution begins.
1906,"earthquake in San Francisco, California, magnitude 7.9, kills 3,000."
1906,Dreyfus is exonerated and reinstated as a major in the French Army; the Dreyfus affair ends.
1906,"earthquake in Valparaíso, Chile, magnitude 8.2, kills 20,000."
1906,US begins the Second Occupation of Cuba.
1906,inventor Alberto Santos-Dumont takes off and flies his 14-bis to a crowd in Paris.
1906,Muslim League is formed by Nawab Salimullah Khan of Dacca.
1906,reform in Russia creates a new class of affluent kulaks.
1907,"A peasants' revolt in Romania kills roughly 11,000."
1907,"– 16: Elections to the new Parliament of Finland are the first in the world with woman candidates, as well as the first elections in Europe where universal suffrage is applied."
1907,–Korea Treaty of 1907.
1907,Anglo-Russian Entente bring an end to the Great Game in Central Asia.
1907,"National Congress splits into two factions at its Surat session, presided by Rash Behari Bose."
1907,Revolution ends with the establishment of a parliament.
1907,"world's first fully synthetic plastic, invented in New York by Leo Baekeland, who coins the term ""plastics""."
1908,H. H. Asquith becomes Prime Minister of the United Kingdom.
1908,"commercial Middle Eastern oilfield established, at Masjed Soleyman in southwest Persia."
1908,Tunguska event devastates thousands of square kilometres of Siberia.
1908,Turk Revolution in the Ottoman Empire.
1908,of the Bureau of Investigation (BOI)
1908,Ford Motor Company invents the Model T.
1908,"Austria-Hungary annexes Bosnia-Herzegovina, triggering the Bosnian Crisis."
1908,of Bulgaria.
1908,", the last Emperor of China, assumes the throne."
1908,"08 Messina earthquake in southern Italy, magnitude 7.1, kills 70,000 people."
1908,Nama genocide ends.
1908,radio transmissions.
1908,year since 1880 according to NASA.
1909,Howard Taft is inaugurated as President of the United States; deep divisions in his Republican Party over tariffs.
1909,Treaty of 1909 signed (effective on 9).
1909,Councils Act passed.
1909,Peary claims to have reached the North Pole though the claim is subsequently heavily contested.
1909,countercoup fails in the Ottoman Empire.
1909,"revolution forces Mohammad Ali Shah Qajar, Persian Shah of the Qajar dynasty to abdicate in favor of his son Ahmad Shah Qajar."
1909,China sign the Jiandao/Gando Treaty.
1909,troops leave Cuba.
1910,Scouts of America is founded.
1910,'s Comet returns.
1910,Albanian revolt of 1910.
1910,V becomes King of the United Kingdom and the British Dominions and Emperor of India upon the death of Edward VII.
1910,of South Africa is created.
1910,of Montenegro is proclaimed independent.
1910,Japan annexes Korea.
1910,1910 revolution in Portugal and proclamation of the First Portuguese Republic.
1910,of the Mexican Revolution (Plan of San Luis Potosí).
1911,"Burton Ely lands on the deck of the USS Pennsylvania stationed in San Francisco harbor, marking the first time an aircraft lands on a ship."
1911,Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.
1911,Agadir Crisis.
1911,"Italo-Turkish war which led to the capture of Libya by Italy, begins."
1911,"1911 Revolution, which overthrew the Qing dynasty of China, begins."
1911,"race car driver and automotive engineer Louis Chevrolet co-founds the Chevrolet Motor Company in Detroit with his brother Arthur Chevrolet, William C. Durant and others."
1911,Delhi becomes the capital of British India.
1911,Amundsen first reaches the South Pole.
1911,identifies the atomic nucleus.
1912,African National Congress is founded.
1912,of the Chinese Empire. Republic of China established.
1912,becomes the last state to be admitted to the continental Union.
1912,Scott and his companions die in a blizzard on their way back from the South Pole.
1912,becomes a protectorate of France.
1912,of the RMS Titanic.
1912,"Meiji dies, ending the Meiji era; his son, the Emperor Taishō, becomes Emperor of Japan."
1912,"Kuomintang, the Chinese nationalist party, is founded."
1912,First Balkan War begins.
1912,United States occupation of Nicaragua begins.
