Date,Event Description
1916,30: The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary.
1916,– September: Brusilov offensive by Russia.
1916,6: The Warlord Era begins in China after the death of Yuan Shikai.
1916,10: The Arab Revolt begins.
1916,– November: Battle of the Somme on Western Front; massive casualties.
1916,15–22: First use of tanks at the Battle of Flers–Courcelette.
1916,The Pact is agreed upon by both the Congress and the Muslim League at the Indian city of Lucknow.
1916,6: Liberal David Lloyd George becomes Prime Minister of the United Kingdom.
1916,30: Grigori Rasputin is assassinated in Russia.
1916,"Market Square, one of the earliest shopping malls, opens in the Chicago metropolitan area."
1917,8: Russian Revolution ends the Russian Empire; beginning of Russian Civil War.
1917,6: USA joins the Entente for the last 17 months of World War I.
1917,"– October: Apparitions of Our Lady of the Rosary in Fátima, Portugal."
1917,4: The first Pulitzer Prizes announced.
1917,– November: Battle of Passchendaele.
1917,– November: Battle of Caporetto.
1917,1–2: The Third Battle of Gaza ends in British victory.
1917,7 (O.S. October 25): October Revolution in the Russian Republic.
1917,8: The Ukrainian–Soviet War begins.
1917,"26: The National Hockey League is formed in Montreal, Canada."
1917,6: Independence of Finland.
1917,The first known sale of Girl Scout Cookies begins.
1918,– May: Finnish Civil War.
1918,22: Ukraine declares independence from Russia.
1918,"11: Beginning of the Spanish flu pandemic, which lasts until April 1920 and kills tens of millions."
1918,– July: The German spring offensive.
1918,25: Belarus declares independence from Russia.
1918,30: The Armenian–Azerbaijani War begins.
1918,28: Azerbaijan Democratic Republic declared.
1918,4: Mehmed VI becomes the last Sultan of the Ottoman Empire and the last Caliph.
1918,16 – 17: Assassination of Tsar Nicholas II and his family.
1918,8 – 12: Battle of Amiens.
1918,–November: The Hundred Days Offensive sends Germany into defeat.
1918,"the State of Slovenes, Croats and Serbs is established."
1918,29: German Revolution begins.
1918,"30:
The Mutawakkilite Kingdom of Yemen founded.
The Partition of the Ottoman Empire begins."
1918,The Mutawakkilite Kingdom of Yemen founded.
1918,The Partition of the Ottoman Empire begins.
1918,"1:
Independence declared in the West Ukrainian People's Republic.
The Polish–Ukrainian War begins."
1918,Independence declared in the West Ukrainian People's Republic.
1918,The Polish–Ukrainian War begins.
1918,9: Abdication of Wilhelm II.
1918,"11:
The Armistice of 11 November 1918 ends World War I.
Poland declares independence from Russia."
1918,The Armistice of 11 November 1918 ends World War I.
1918,Poland declares independence from Russia.
1918,"1: The Kingdom of Iceland, a personal union with Denmark, is formed."
1918,The British occupy Palestine.
1918,The Mutawakkilite Kingdom of Yemen founded.
1918,The Partition of the Ottoman Empire begins.
1918,Independence declared in the West Ukrainian People's Republic.
1918,The Polish–Ukrainian War begins.
1918,The Armistice of 11 November 1918 ends World War I.
1918,Poland declares independence from Russia.
1919,Paris Peace Conference writes Treaty of Versailles that punishes Germany.
1919,21: The First Red Scare in the United States. Irish War of Independence begins.
1919,14: Polish–Soviet War begins.
1919,2: Communist International established in the Kremlin to coordinate Communist parties worldwide.
1919,11: The International Labour Organization is established.
1919,"13: The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500."
1919,19: Turkish War of Independence begins.
1919,28: The Treaty of Versailles redraws European borders.
1919,The 1919 Egyptian revolution erupts.
1919,18: End of Polish–Ukrainian War.
1919,11: German Revolution ends with the collapse of the German Empire and the establishment of the Weimar Republic.
1919,"19: Release date of Feline Follies, the first appearance of Felix the Cat (then known as Master Tom)."
1919,First experimental evidence for the General theory of relativity obtained by Arthur Eddington.
1919,Ernest Rutherford discovers the proton.
1920,10: League of Nations founded.
1920,17: Prohibition in the United States begins.
1920,2: Victory for Estonia in the Estonian War of Independence.
1920,25: Mandatory Palestine established.
1920,27 – 28: Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.
1920,5: Mahatma Gandhi launches Non-cooperation movement.
1920,1: Mexican Revolution ends.
1920,Greece restores its monarchy after a referendum.
1921,Russian famine of 1921–1922 begins.
1921,"25: Premiere of the science-fiction play R.U.R. (Rossum's Universal Robots), in which the word robot was first used."
1921,– March: Russia invades Georgia and incorporates it into the Soviet Union.
1921,4: Warren G. Harding is inaugurated as President of the United States.
1921,18: End of the Polish–Soviet War.
1921,29: Adolf Hitler becomes Führer of the Nazi Party as hyperinflation in the Weimar Republic begins.
1921,9: The Italian National Fascist Party is established by Benito Mussolini.
1921,17: End of the Ukrainian–Soviet War.
1921,15: Coup brings the Pahlavi dynasty to power in Iran.
1922,2: James Joyce publishes Ulysses.
1922,"6:
Pius XI becomes Pope.
The Washington Naval Treaty is signed."
1922,Pius XI becomes Pope.
1922,The Washington Naval Treaty is signed.
1922,"28: Egypt gains independence from the United Kingdom, though British forces still occupy the Suez Canal."
1922,28: The Irish Civil War begins.
1922,23: Conservative Bonar Law becomes Prime Minister of the United Kingdom.
1922,28: March on Rome brings Benito Mussolini to power in Italy.
1922,1: Ottoman Sultanate abolished by the Grand National Assembly of Turkey; Sultan Mehmed VI is deposed.
1922,4: Howard Carter discovers the Tomb of Tutankhamun.
1922,14: British Broadcasting Corporation (BBC) established.
1922,"6: Irish Free State is established, while the Province of Northern Ireland is created within The United Kingdom."
1922,"16: Gabriel Narutowicz, President of Poland, is assassinated."
1922,"30: The Union of Soviet Socialist Republics (USSR), the world's first officially Communist state, is formed."
1922,"The union of Costa Rica, Guatemala, Honduras and El Salvador is dissolved."
1922,Mohandas Gandhi calls off Non-cooperation movement.
1922,Pius XI becomes Pope.
1922,The Washington Naval Treaty is signed.
1923,26: The Italian reconquest of Libya begins.
1923,3: Time Magazine is first published.
1923,22: Stanley Baldwin becomes Prime Minister of the United Kingdom.
1923,24: The Irish Civil War ends.
1923,9: A military coup ousts and kills Bulgarian Prime Minister Aleksandar Stamboliyski.
1923,16: End of Russian Civil War.
1923,2: Death of Warren G. Harding; Vice President Calvin Coolidge assumes office as President of the United States.
1923,"1: The Great Kantō earthquake kills at least 105,000 people in Japan."
1923,11: Turkish War of Independence ends; Ankara replaces Istanbul as its capital.
1923,16: The Walt Disney Company is founded.
1923,29: Mustafa Kemal Atatürk becomes the first President of the newly established Republic of Turkey.
1923,"8: The Beer Hall Putsch, an attempt to overthrow the Weimar Republic, ends in failure and brief imprisonment for Adolf Hitler but brings the Nazi Party to national attention."
1923,15: Hyperinflation in the Weimar Republic ends with the introduction of the Rentenmark.
1924,21: The death of Vladimir Lenin triggers power struggle between Leon Trotsky and Joseph Stalin.
1924,22: Ramsay MacDonald becomes Prime Minister of the United Kingdom; first Labour Party prime minister.
1924,"25 – February 5: The first edition of the Winter Olympic Games is hosted in Chamonix, France."
1924,12: Rhapsody in Blue by George Gershwin premieres in New York City.
1924,3: The Caliphate is abolished by Kemal Atatürk.
1924,"24: Immigration Act of 1924 significantly restricts immigration from Asia, the Middle East, and Southern Europe to USA."
1924,28: The August Uprising in Georgia against Soviet rule.
1924,4: Conservative Stanley Baldwin becomes Prime Minister of the United Kingdom.
1925,3: Benito Mussolini delivers a speech to begin his dictatorship.
1925,– April: First televisual image introduced by John Logie Baird.
1925,18: Hitler's Mein Kampf is published.
1925,5 – 16: Locarno Treaties signed.
1925,Saudi conquest of Hejaz.
1925,Serum run to Nome.
1926,12 – 14: May Coup in Poland.
1926,28: 28 May 1926 coup d'état in Portugal.
1926,19: National Broadcasting Company (NBC) founded in New York City.
1926,"1: The Kuomintang begins the Northern Expedition, a military unification campaign in northern China."
1926,22: General Georgios Kondylis overthrows General Theodoros Pangalos in Greece.
1926,"25: Emperor Taishō dies; his son, the Emperor Shōwa (Hirohito) becomes Emperor of Japan."
1927,1: The BBC is granted a Royal charter in the United Kingdom.
1927,The Parliament of Australia convenes in Canberra for the first time.
1927,13: The United Kingdom of Great Britain and Ireland officially becomes the United Kingdom of Great Britain and Northern Ireland.
1927,"18: The Bath School disaster, a series of violent attacks by Andrew Kehoe results in 45 deaths in Michigan, USA."
1927,20: Saudi Arabia gains independence.
1927,20 – 21: Charles Lindbergh performs the first nonstop flight from New York City to Paris; becomes a world hero.
1927,1: The Chinese Civil War begins.
1927,18: Columbia Broadcasting System (CBS) founded in New York City.
1927,"4: Mount Rushmore construction begins in South Dakota, U.S."
1927,"6: The Jazz Singer, the first talkie, is released."
1927,12: Soviet general secretary Joseph Stalin becomes dictator of the Soviet Union.
1927,World population reaches two billion.
1928,22: Hassan al-Banna founds the Muslim Brotherhood.
1928,24: The Kellogg–Briand Pact is signed in Paris.
1928,1: King Zog I is crowned in Albania.
1928,3: Accidental rediscovery of penicillin by Alexander Fleming.
1928,14: Afghan Civil War (1928–1929) begins.
1928,"18: Steamboat Willie, is the first appearance of Mickey Mouse."
1928,29: The Warlord Era ends in China.
1928,Malta becomes a British Dominion.
1928,Chinese famine of 1928–1930 begins.
1928,Bubble gum is invented.
1929,Leon Trotsky is exiled.
1929,"11: Pope Pius XI signs the Lateran Treaty with Italian leader Benito Mussolini, after which the Vatican City is recognised as a sovereign state."
1929,"14: Saint Valentine's Day Massacre, the murder of seven members and associates of Chicago's North Side Gang."
1929,4: Herbert Hoover is inaugurated as President of the United States.
1929,16: The first Academy Awards are presented.
1929,5: Ramsay MacDonald becomes Prime Minister of the United Kingdom.
1929,24 – 29: Wall Street Crash of 1929 and the beginning of the Great Depression.
1929,First people sent to the gulag in the Soviet Union as Stalin assumes effective control.
1930,18: Clyde Tombaugh discovers Pluto.
1930,12: Salt March by Mohandas Gandhi and the official start of civil disobedience in British India.
1930,2: Haile Selassie becomes Emperor of Abyssinia.
1930,"19: Sinkin' in the Bathtub, the first Looney Tunes short, is released."
1930,27: Construction of Chrysler Building completed.
1930,"4: King Kullen, widely regarded as the first supermarket, opens in Queens, New York City."
1930,"14: Aided by the Great Depression, the Nazi Party increases its share of the vote from 2.6% to 18.3%."
1930,"First Round Table Conference between India and Great Britain, which goes until January 1931."
1930,3: The Vargas Era begins in Brazil.
1930,Soviet famine of 1930–1933 and Holodomor begin.
1931,12: Vatican Radio first began broadcasting.
1931,3: The Star-Spangled Banner is adopted as the United States's national anthem.
1931,14: The Second Spanish Republic is declared.
1931,1: Empire State Building completed.
1931,Floods in China kill up to 2.5 million people.
1931,"Japan invades Manchuria, part of the chain of events leading to the start of World War II."
1931,"5: Clyde Pangborn and Hugh Herndon Jr. complete the first non-stop flight across the Pacific Ocean in their plane, Miss Veedol, in 41½ hours."
1931,7: The Chinese Soviet Republic is proclaimed by Mao Zedong.
1931,"11:
Statute of Westminster creates the British Commonwealth of Nations.
Independence of South Africa."
1931,Statute of Westminster creates the British Commonwealth of Nations.
1931,Independence of South Africa.
1931,12: Christ the Redeemer completed.
1931,Statute of Westminster creates the British Commonwealth of Nations.
1931,Independence of South Africa.
1932,1: Lindbergh kidnapping.
1932,9: Éamon de Valera becomes President of the Executive Council (prime minister) of the Irish Free State.
1932,4: Military coup in Chile.
1932,24: Siamese Revolution establishes a constitutional monarchy.
1932,9: The Chaco War between Bolivia and Paraguay begins.
1932,"– December: Failed Emu War in Australia.
Third Round Table Conference."
1932,Third Round Table Conference.
1932,19: BBC World Service starts broadcasting.
1932,The neutron is discovered by James Chadwick.
1932,The Nazi party becomes the largest single party in the German parliament.
1932,Third Round Table Conference.
1933,30: Adolf Hitler becomes Chancellor of Germany.
1933,4: Franklin D. Roosevelt is inaugurated as President of the United States
1933,27: Japan announces it will leave the League of Nations.
1933,"14: Germany announces its withdrawal from the League of Nations and the World Disarmament Conference, after the U.S., the U.K. and France deny its request to increase its defense armaments under the Versailles Treaty."
1933,5: Prohibition in the United States is abolished.
1933,New Deal begins in America.
1933,United States occupation of Nicaragua ends.
1934,12 – 15: The Austrian Civil War results in Fascist victory.
1934,24: The United States grants more autonomy to the Philippines.
1934,23: Bonnie and Clyde are shot to death in a police ambush.
1934,"30 – July 2: Adolf Hitler instigates the Night of the Long Knives, which cements his power over both the Nazi Party and Germany."
1934,22: John Dillinger is gunned down by the FBI outside the Biograph Theater.
1934,"25: Engelbert Dollfuss, Chancellor of Austria, is shot dead as part of a failed Nazi coup d'état."
1934,1: The United States occupation of Haiti ends.
1934,"2: With the death of Paul von Hindenburg, Hitler declares himself Führer of Germany."
1934,16: Mao Zedong begins the Long March.
1934,David Toro overthrows the government of Bolivia in a military coup.
1935,31: Establishment of 20th Century Fox.
1935,"21: Reza Shah of Iran asks the international community to formally adopt the name Iran to refer to the country, instead of the name Persia."
1935,12: Chaco War ends.
1935,15: Enactment of the Nuremberg racial laws.
1935,3: The Second Italo-Ethiopian War begins and goes until February 1937. It includes events such as the exile of Haile Selassie and the conquest of Abyssinia by Benito Mussolini.
1936,20: Edward VIII becomes King of the British Commonwealth and Emperor of India.
1936,9: Italy annexes Ethiopia.
1936,17: Beginning of the Spanish Civil War.
1936,"7: Benjamin, the last known thylacine, dies in Hobart Zoo."
1936,31: Boy Scouts of the Philippines is founded.
1936,"11: After a reign shorter than one year, Edward VIII abdicates and hands the throne to his brother, George VI."
1936,The Hoover Dam is completed.
1936,Great Purge begins under Stalin.
1936,1936–1939 Arab revolt in Palestine against the British begins to oppose Jewish immigration.
1936,George Nissen and Larry Griswold build the first modern trampoline.
1937,"6: German zeppelin Hindenburg crashes in Lakehurst, New Jersey, ending the airship era."
1937,28: Neville Chamberlain becomes Prime Minister of the United Kingdom.
1937,"7: Japanese invasion of China, and the beginning of World War II in the Far East."
1937,28: Toyota founded in Japan by Kiichiro Toyoda.
1937,21: J. R. R. Tolkien publishes The Hobbit.
1937,"13: The Nanjing Massacre begins, ending about a month later in January 1938. It results in from 40,000 to 300,000 deaths according to various estimates."
1937,21: Snow White and the Seven Dwarfs is the first feature-length animated movie released.
1937,The Irish Republican Army attempts to assassinate King George VI.
1937,Volkswagen founded by the German Labour Front.
1938,12: Anschluss unifies Germany and Austria.
1938,18: DC Comics hero Superman has its first appearance.
1938,"15: Hungarian newspaper editor László Bíró fills a British patent of the first commercially successful ballpoint pen. This would popularize the instrument, currently the most widely used for writing, after World War II."
1938,6–15: Évian Conference ends with all attendee nations save the Dominican Republic refusing to accept more Jewish refugees from the Third Reich.
1938,30: Munich Agreement hands Czechoslovakia to Nazi Germany.
1938,"9 – 10: Kristallnacht, a pogrom of over 90 Jews in Germany."
1938,Time Magazine declares Adolf Hitler as Man of the Year.
1938,"The Great Purge ends after nearly 700,000 executions."
1939,2: Pius XII becomes Pope.
1939,1: End of Spanish Civil War; Francisco Franco becomes dictator of Spain.
1939,23: The Molotov–Ribbentrop Pact between Germany and the Soviet Union.
1939,25: Metro-Goldwyn-Mayer releases The Wizard of Oz.
1939,1 – October: Nazi invasion of Poland triggers World War II in Europe. Soviet invasion of Poland begins 16 days later.
1939,3: Britain and France declare war on Germany; World War II begins.
1939,"13: Ferrari founded in Modena, Italy (as Auto Avio Costruzioni) by Enzo Ferrari."
1939,The Palestinian revolt against the British ends.
1940,Chechen insurgency begins in Soviet Union.
1940,13: The Winter War between Soviet Union and Finland ends with a costly victory for the USSR.
1940,– May: The Katyn massacre of Polish soldiers in USSR and the Soviet occupation of the Baltic states.
1940,10: Winston Churchill becomes Prime Minister of the United Kingdom.
1940,"15: McDonald's founded in San Bernardino, California."
1940,"– June: Nazis invade Denmark and Norway, followed by Belgium, the Netherlands and France; their governments (except Denmark) are exiled to the United Kingdom."
1940,The Soviet Union annexes the Baltic states.
1940,"– October: Battle of Britain, the first entirely aerial military campaign, becomes the first significant defeat for the Axis powers."
1940,20: Leon Trotsky is assassinated in Mexico.
1940,"7: The Blitz, a German bombing campaign against the United Kingdom, begins."
1940,Neptunium is synthesized.
1941,– December: Hitler commences the Nazi invasion of the Soviet Union.
1941,25: Continuation War between Finland and the Soviet Union begins. Siege of Tobruk in North Africa is the first major defeat for Hitler's land forces.
1941,8: Siege of Leningrad begins.
1941,Operation Reinhard commences the main phase of The Holocaust.
1941,7: The Japanese Attack on Pearl Harbor leads to the USA joining World War II.
1941,Mount Rushmore construction ends.
1942,9: Bataan Death March.
1942,4 – 8: Battle of the Coral Sea.
1942,5 – 6: Battle of Corregidor.
1942,4 – 7: Battle of Midway.
1942,1 – 27: First Battle of El Alamein.
1942,"Battle of Stalingrad and Guadalcanal Campaign begin.
Internment of Japanese-American citizens in the US begins."
1942,Internment of Japanese-American citizens in the US begins.
1942,13: Release date of Disney's Bambi.
1942,–November: Second Battle of El Alamein.
1942,The Manhattan Project begins.
1942,Internment of Japanese-American citizens in the US begins.
1943,15: The Pentagon is completed.
1943,2: Battle of Stalingrad ends with over two million casualties and the retreat of the German Army.
1943,– May: Warsaw Ghetto uprising fails.
1943,15: American Broadcasting Company (ABC) founded in New York City.
1943,– August: The failed Battle of Kursk becomes the last Nazi offensive on the Eastern Front.
1943,14: José P. Laurel takes the oath of office as President of the Second Philippine Republic.
1943,"– December: Tehran Conference between Franklin Roosevelt, Winston Churchill and Joseph Stalin agrees to launch Operation Overlord."
1943,A famine in Bengal kills up to 3 million people.
1944,27: The Siege of Leningrad ends with Soviet victory after over a million deaths.
1944,– March: Chechen insurgency ends with deportation of the entire Chechen population.
1944,"1: First operational electronic computer, Colossus, comes online."
1944,6: D-Day landings in Normandy.
1944,"– August: Soviet forces launch Operation Bagration on the Eastern Front, the biggest defeat in German military history."
1944,20: Adolf Hitler survives the 20 July plot to assassinate him led by Claus von Stauffenberg.
1944,19 – 25: Liberation of Paris.
1944,19: The Continuation War ends.
1944,– December: American and Filipino troops begin the Battle of Leyte in the Philippines.
1945,4 – 11: Yalta Conference.
1945,13 – 15: Allied bombing of Dresden.
1945,Death of Anne Frank.
1945,3 – March 3: Battle of Manila.
1945,– July: Battle of Okinawa.
1945,12: Death of Franklin D. Roosevelt; Vice President Harry Truman assumes office as President of the United States.
1945,– May: Battle of Berlin.
1945,28: Execution of Benito Mussolini.
1945,30: The Suicide of Adolf Hitler in Berlin as Nazi Germany collapses.
1945,"End of World War II in Europe.
The Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,"The Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,26: United Nations founded (UN Charter).
1945,26: Clement Attlee becomes Prime Minister of the United Kingdom.
1945,– August: The Potsdam Conference divides Europe into Western and Soviet blocs.
1945,6 – 9: Harry S. Truman orders the atomic bombings of Hiroshima and Nagasaki.
1945,15: Victory over Japan Day.
1945,17: Independence of Indonesia proclaimed begin Indonesian National Revolution.
1945,"2: End of World War II in Asia with the beginning of the Surrender of Japan.
Related subsequent announcement of the Proclamation of Independence of the Democratic Republic of Vietnam."
1945,Related subsequent announcement of the Proclamation of Independence of the Democratic Republic of Vietnam.
1945,"8: The microwave cooking oven is patented, with the one of the first prototypes placed at a Boston restaurant for testing."
1945,"29: In Brazil, Getúlio Vargas is deposed in a coup."
1945,"The Holocaust ends after ~12 million deaths, including 6 million Jews."
1945,Related subsequent announcement of the Proclamation of Independence of the Democratic Republic of Vietnam.
1946,Chinese Civil War resumes between Communist and Nationalist forces.
1946,22: Independence of Jordan.
1946,30: Greek Civil War begins.
1946,2: Italy becomes a republic.
1946,9: Bhumibol Adulyadej becomes King of Thailand.
1946,4: The Treaty of Manila declares Philippines independent.
1946,16: Mustafa Barzani founds the Kurdistan Democratic Party.
1946,30 – October 1: Nuremberg trials end.
1946,27: French Fourth Republic established.
1946,19: First Indochina War begins.
1946,First images of the Earth taken from space.
1947,12: Harry Truman establishes the Truman Doctrine of containment of Communism.
1947,15: Jackie Robinson becomes the first African American baseball player to play modern Major League Baseball.
1947,26: Creation of the U.S. Central Intelligence Agency.
1947,14 – 15: Partition of India. Independence of India and Pakistan and beginning of First Indo-Pakistani War.
