Date,Event Description
1901,1: The Australian colonies federate.
1901,22: Edward VII became King of England and India after Queen Victoria's death.
1901,2: The Platt Amendment provides for Cuban independence in exchange for the withdrawal of American troops.
1901,Emily Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa.
1901,6: The assassination of William McKinley ushered in office Vice President Theodore Roosevelt after McKinley's death on September 14.
1901,"7: The Eight-Nation Alliance defeats the Boxer Rebellion, and imposes heavy financial penalties on China."
1901,10: First Nobel Prizes awarded.
1901,12: Guglielmo Marconi received the first transatlantic radio signal.
1902,13: The Unification of Saudi Arabia begins.
1902,20: Cuba given independence by the United States.
1902,31: Second Boer War ends in British victory.
1902,12: Arthur Balfour becomes Prime Minister of the United Kingdom.
1902,17: Willis Carrier invents the first modern electrical air conditioning unit.
1902,"Venezuelan crisis of 1902–1903, in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims."
1903,15: The first teddy bear is invented.
1903,11: King Alexander I of Serbia and his wife Queen Draga are assassinated in a military coup.
1903,1: The first Tour de France is held.
1903,– August: In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party.
1903,4: Pius X becomes Pope.
1903,"18: Independence of Panama, the Hay–Bunau-Varilla Treaty is signed by the United States and Panama."
1903,17: First controlled heavier-than-air flight of the Wright brothers.
1903,The Ottoman Empire and the German Empire sign an agreement to build the Constantinople-Baghdad Railway.
1904,8: A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War.
1904,8: Entente Cordiale signed between Britain and France.
1904,U.S. begins construction of the Panama Canal and eradication of yellow fever.
1904,21: Trans-Siberian Railway is completed.
1904,"Herero and Nama genocide, the first genocide of the 20th century, begins in German South West Africa."
1904,Roger Casement publishes his account of Belgian atrocities in the Congo Free State.
1905,22: The Revolution of 1905 in Russia erupts.
1905,"The First Moroccan Crisis begins, going until May 1906."
1905,"7: The Norwegian Parliament declares the union with Sweden dissolved, and Norway achieves full independence."
1905,5: The Russo-Japanese War ends in Japanese victory.
1905,26: Albert Einstein's formulation of special relativity.
1905,"16: The British Indian Province of Bengal, partitioned by the Viceroy of India, Lord Curzon, despite strong opposition."
1905,5: Liberal Henry Campbell-Bannerman becomes Prime Minister of the United Kingdom.
1905,Schlieffen Plan proposed in Berlin to defeat France.
1905,The Persian Constitutional Revolution begins.
1906,"18: An earthquake in San Francisco, California, magnitude 7.9, kills 3,000."
1906,13: Alfred Dreyfus is exonerated and reinstated as a major in the French Army; the Dreyfus affair ends.
1906,"16: An earthquake in Valparaíso, Chile, magnitude 8.2, kills 20,000."
1906,28: The US begins the Second Occupation of Cuba.
1906,23: Brazilian inventor Alberto Santos-Dumont takes off and flies his 14-bis to a crowd in Paris.
1906,30: The Muslim League is formed by Nawab Salimullah Khan of Dacca.
1906,The Stolypin reform in Russia creates a new class of affluent kulaks.
1907,"– April: A peasants' revolt in Romania kills roughly 11,000."
1907,"15 – 16: Elections to the new Parliament of Finland are the first in the world with woman candidates, as well as the first elections in Europe where universal suffrage is applied."
1907,24: Japan–Korea Treaty of 1907.
1907,The Anglo-Russian Entente bring an end to the Great Game in Central Asia.
1907,"The Indian National Congress splits into two factions at its Surat session, presided by Rash Behari Bose."
1907,Persian Constitutional Revolution ends with the establishment of a parliament.
1907,"Bakelite, the world's first fully synthetic plastic, invented in New York by Leo Baekeland, who coins the term plastics."
1908,8: Liberal H. H. Asquith becomes Prime Minister of the United Kingdom.
1908,"26: First commercial Middle Eastern oilfield established, at Masjed Soleyman in southwest Persia."
1908,30: The Tunguska event devastates thousands of square kilometres of Siberia.
1908,Young Turk Revolution in the Ottoman Empire.
1908,26: Founding of the Bureau of Investigation (BOI)
1908,1: The Ford Motor Company invents the Model T.
1908,"early October: Austria-Hungary annexes Bosnia-Herzegovina, triggering the Bosnian Crisis."
1908,5: Independence of Bulgaria.
1908,"2: Puyi, the last Emperor of China, assumes the throne."
1908,"28: The 1908 Messina earthquake in southern Italy, magnitude 7.1, kills 70,000 people."
1908,Herero and Nama genocide ends.
1908,First commercial radio transmissions.
1908,The coldest year since 1880 according to NASA.
1909,4: William Howard Taft is inaugurated as President of the United States; deep divisions in his Republican Party over tariffs.
1909,10: Anglo-Siamese Treaty of 1909 signed (effective on July 9).
1909,12: Indian Councils Act passed.
1909,6: Robert Peary claims to have reached the North Pole though the claim is subsequently heavily contested.
1909,13: A countercoup fails in the Ottoman Empire.
1909,"16: A revolution forces Mohammad Ali Shah Qajar, Persian Shah of the Qajar dynasty to abdicate in favor of his son Ahmad Shah Qajar."
1909,Japan and China sign the Jiandao/Gando Treaty.
1909,United States troops leave Cuba.
1910,8: Boy Scouts of America is founded.
1910,Halley's Comet returns.
1910,– July: Albanian revolt of 1910.
1910,6: George V becomes King of the United Kingdom and the British Dominions and Emperor of India upon the death of Edward VII.
1910,31: Union of South Africa is created.
1910,28: Kingdom of Montenegro is proclaimed independent.
1910,29: Imperial Japan annexes Korea.
1910,5: The 5 October 1910 revolution in Portugal and proclamation of the First Portuguese Republic.
1910,20: Beginning of the Mexican Revolution (Plan of San Luis Potosí).
1911,"18: Eugene Burton Ely lands on the deck of the USS Pennsylvania stationed in San Francisco harbor, marking the first time an aircraft lands on a ship."
1911,25: Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.
1911,– November: Agadir Crisis.
1911,"29: The Italo-Turkish war which led to the capture of Libya by Italy, begins."
1911,"10: 1911 Revolution, which overthrew the Qing dynasty of China, begins."
1911,"3: Swiss race car driver and automotive engineer Louis Chevrolet co-founds the Chevrolet Motor Company in Detroit with his brother Arthur Chevrolet, William C. Durant and others."
1911,12: New Delhi becomes the capital of British India.
1911,14: Roald Amundsen first reaches the South Pole.
1911,Ernest Rutherford identifies the atomic nucleus.
1912,8: The African National Congress is founded.
1912,12: End of the Chinese Empire. Republic of China established.
1912,14: Arizona becomes the last state to be admitted to the continental Union.
1912,Captain Scott and his companions die in a blizzard on their way back from the South Pole.
1912,30: Morocco becomes a protectorate of France.
1912,15: Sinking of the RMS Titanic.
1912,"30: Emperor Meiji dies, ending the Meiji era; his son, the Emperor Taishō, becomes Emperor of Japan."
1912,"25: The Kuomintang, the Chinese nationalist party, is founded."
1912,8: The First Balkan War begins.
1912,Banana Wars: United States occupation of Nicaragua begins.
1913,"23: In the 1913 Ottoman coup d'état, Ismail Enver comes to power."
1913,9 – 19: La Decena Trágica in Mexico City.
1913,4: Woodrow Wilson is inaugurated as President of the United States.
1913,29: Igor Stravinsky's The Rite of Spring infamously premiers in Paris which causes a riot.
1913,30: Treaty of London.
1913,– August: Second Balkan War.
1913,10: Treaty of Bucharest.
1913,7: Ford Motor Company introduces the first moving assembly line.
1913,23: The Federal Reserve System is created.
1913,Yuan Shikai uses military force to dissolve China's parliament and rules as a dictator.
1913,"Niels Bohr formulates the first cohesive model of the atomic nucleus, and in the process paves the way to quantum mechanics."
1914,"28: Gavrilo Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo, triggering the start of World War I that day."
1914,15: Panama Canal opens.
1914,26 – 30: Battle of Tannenberg.
1914,"1: Martha, last known passenger pigeon, dies."
1914,3: Benedict XV becomes Pope.
1914,6 – 12: First Battle of the Marne.
1914,– October: The Race to the Sea leaves Germany and the Allies entrenched along the Western Front.
1914,19: The United Kingdom establishes the Sultanate of Egypt as a protectorate.
1914,25: The Christmas truce is celebrated by the Germans and the British along the Western Front.
1915,"22: Second Battle of Ypres begins, first widespread use of poison gas."
1915,24: The deportation of Armenian leaders and notables in Constantinople signals the onset of the Armenian genocide.
1915,7: Sinking of the RMS Lusitania.
1915,"28: In the Banana Wars, the United States occupation of Haiti begins."
1915,"The first large scale use of poison gas by both sides in World War I occurs, first by the Germans at the Battle of Humin-Bolimów on the eastern front, and at the Second Battle of Ypres on the western front, and then by the British at the Battle of Loos."
1916,9: The Allies' Gallipoli campaign ends in failure; heavy losses of Australian troops.
1916,– December: Battle of Verdun.
1916,"7: Bayerische Flugzeugwerke, later to become BMW, is founded in Germany."
1916,24–30: Easter Rising in Ireland.
