date,label
1892,"Grover Cleveland presidential campaign, 1892"
1892,Congo–Arab War
1893,"solar eclipse of April 16, 1893"
1894,Slavery and States' Rights
1894,Peruvian Civil War of 1894–1895
1895,Cuban War of Independence
1896,"William Jennings Bryan presidential campaign, 1896"
1896,Cross of Gold speech
1896,"solar eclipse of August 9, 1896"
1896,Adibo dali
1898,"solar eclipse of January 22, 1898"
1899,Federal Revolution of 1899
1900,"solar eclipse of May 28, 1900"
1900,Hun speech
1901,state funeral of Queen Victoria
1901,"solar eclipse of May 18, 1901"
1901,"solar eclipse of November 11, 1901"
1902,"solar eclipse of April 8, 1902"
1902,"solar eclipse of May 7, 1902"
1902,"solar eclipse of October 31, 1902"
1902,Thousand Days' War
1903,"solar eclipse of March 29, 1903"
1903,"solar eclipse of September 21, 1903"
1904,Herero Wars
1904,"solar eclipse of March 17, 1904"
1904,"solar eclipse of September 9, 1904"
1905,"solar eclipse of March 6, 1905"
1905,"solar eclipse of August 30, 1905"
1906,"solar eclipse of February 23, 1906"
1906,"solar eclipse of July 21, 1906"
1906,"solar eclipse of August 20, 1906"
1907,"solar eclipse of January 14, 1907"
1907,"solar eclipse of July 10, 1907"
1908,"solar eclipse of January 3, 1908"
1908,"solar eclipse of June 28, 1908"
1908,"solar eclipse of December 23, 1908"
1909,"solar eclipse of June 17, 1909"
1909,"solar eclipse of December 12, 1909"
1910,"solar eclipse of May 9, 1910"
1910,Death and state funeral of Edward VII
1910,May 1910 lunar eclipse
1910,"solar eclipse of November 2, 1910"
1911,"solar eclipse of April 28, 1911"
1911,"solar eclipse of October 22, 1911"
1911,Dominican Civil War of 1911–12
1912,"solar eclipse of April 17, 1912"
1912,Balkan Wars
1912,"solar eclipse of October 10, 1912"
1913,"solar eclipse of April 6, 1913"
1913,"solar eclipse of August 31, 1913"
1913,September 1913 lunar eclipse
1913,"solar eclipse of September 30, 1913"
1914,Courtyard Speech
1914,"solar eclipse of February 25, 1914"
1914,March 1914 lunar eclipse
1914,Tampico Affair
1914,To my peoples
1914,"solar eclipse of August 21, 1914"
1914,"solar eclipse of August 21, 1914"
1915,"solar eclipse of February 14, 1915"
1915,"solar eclipse of August 10, 1915"
1915,National Protection War
1916,"solar eclipse of February 3, 1916"
1916,July 1916 lunar eclipse
