date,label
1916,"solar eclipse of July 30, 1916"
1916,"solar eclipse of December 24, 1916"
1917,"solar eclipse of January 23, 1917"
1917,"solar eclipse of June 19, 1917"
1917,"solar eclipse of July 19, 1917"
1917,Ukrainian War of Independence
1917,"solar eclipse of December 14, 1917"
1918,Finnish Civil War
1918,"solar eclipse of June 8, 1918"
1918,World War I
1918,Estonian War of Independence
1918,"solar eclipse of December 3, 1918"
1919,Adam v Ward
1919,Irish War of Independence
1919,"solar eclipse of May 29, 1919"
1919,"solar eclipse of May 29, 1919"
1919,"solar eclipse of November 22, 1919"
1920,May 1920 lunar eclipse
1920,"solar eclipse of May 18, 1920"
1920,Mexican Revolution
1920,"solar eclipse of November 10, 1920"
1921,Charles IV of Habsburg's attempts to retake the throne of Hungary
1921,"solar eclipse of April 8, 1921"
1921,"solar eclipse of October 1, 1921"
1922,"solar eclipse of March 28, 1922"
1922,Irish Civil War
1922,"solar eclipse of September 21, 1922"
1922,Turkish War of Independence
1923,1923 Ohio state highway renumbering
1923,1923 Virginia state highway renumbering
1923,Klaipėda Revolt
1923,"solar eclipse of March 17, 1923"
1923,"solar eclipse of September 10, 1923"
1924,"solar eclipse of March 5, 1924"
1924,"solar eclipse of July 31, 1924"
1924,"solar eclipse of August 30, 1924"
1925,"solar eclipse of January 24, 1925"
1925,"solar eclipse of July 20, 1925"
1926,1926 Missouri highway renumbering
1926,1926 Iowa highway renumbering
1926,"solar eclipse of January 14, 1926"
1926,Nicaraguan Civil War of 1926–1927
1926,"solar eclipse of July 9, 1926"
1927,1927 New Jersey state highway renumbering
1927,1927 state highway renumbering
1927,1927 Ohio state highway renumbering
1927,"solar eclipse of January 3, 1927"
1927,"solar eclipse of June 29, 1927"
1927,"solar eclipse of December 24, 1927"
1928,1928 Virginia state highway renumbering
1928,"solar eclipse of May 19, 1928"
1928,June 1928 lunar eclipse
1928,"solar eclipse of June 17, 1928"
1928,"solar eclipse of November 12, 1928"
1929,"solar eclipse of May 9, 1929"
1929,Central Plains War
1929,"solar eclipse of November 1, 1929"
1930,1930 state highway renumbering
1930,"solar eclipse of April 28, 1930"
1930,"solar eclipse of October 21, 1930"
1931,"solar eclipse of April 18, 1931"
1931,"solar eclipse of September 12, 1931"
1931,"solar eclipse of October 11, 1931"
1932,1932 state highway renumbering
1932,"solar eclipse of March 7, 1932"
1932,March 1932 lunar eclipse
1932,"solar eclipse of August 31, 1932"
1933,1933 Virginia state highway renumbering
1933,February 1933 lunar eclipse
1933,"solar eclipse of February 24, 1933"
1933,March 1933 lunar eclipse
1933,August 1933 lunar eclipse
1933,"solar eclipse of August 21, 1933"
1933,September 1933 lunar eclipse
1934,Austrian Civil War
1934,"solar eclipse of February 14, 1934"
1934,"solar eclipse of August 10, 1934"
1935,"solar eclipse of January 5, 1935"
1935,"solar eclipse of February 3, 1935"
1935,"solar eclipse of June 30, 1935"
1935,"solar eclipse of July 30, 1935"
1935,"solar eclipse of December 25, 1935"
1936,"solar eclipse of June 19, 1936"
1936,Actions in Inner Mongolia
1936,"solar eclipse of December 13, 1936"
1936,December 1936 lunar eclipse
1937,May 1937 lunar eclipse
1937,"solar eclipse of June 8, 1937"
1937,Quarantine Speech
1937,"solar eclipse of December 2, 1937"
1938,"solar eclipse of May 29, 1938"
1938,"solar eclipse of May 29, 1938"
1938,"solar eclipse of November 21, 1938"
1939,Stalin's alleged speech of 19 August 1939
1939,Spanish Civil War
1939,"solar eclipse of April 19, 1939"
1939,May 1939 lunar eclipse
1939,1 September 1939 Reichstag speech
1939,"solar eclipse of October 12, 1939"
1940,1947–1948 Civil War in Mandatory Palestine
1940,The Exodus
1940,1940 Virginia state highway renumbering
1940,March 1940 lunar eclipse
1940,"solar eclipse of April 7, 1940"
1940,1940 Norwegian coup d'état
1940,April 1940 lunar eclipse
1940,"blood, toil, tears, and sweat"
1940,We shall fight on the beaches
1940,This was their finest hour
1940,Appeal of 18 June
1940,October 1940 lunar eclipse
1941,"solar eclipse of March 27, 1941"
1941,"solar eclipse of September 21, 1941"
1941,Infamy Speech
1941,Italian declaration of war on the United States
1942,Pope Pius XII's 1942 Christmas address
1942,Farrer Park address
1942,"solar eclipse of March 16, 1942"
1942,Quit India speech
1942,"solar eclipse of August 12, 1942"
1942,"solar eclipse of September 10, 1942"
1942,Operation Basalt
1943,"solar eclipse of February 4, 1943"
1943,Sportpalast speech
1943,"solar eclipse of August 1, 1943"
1943,Posen speeches
1943,Aktion Erntefest
1944,"solar eclipse of January 25, 1944"
1944,February 1944 lunar eclipse
1944,The Bayeux speeches
1944,July 1944 lunar eclipse
1944,Operation Mascot
1944,"solar eclipse of July 20, 1944"
1944,August 1944 lunar eclipse
1944,December 1944 lunar eclipse
1945,"solar eclipse of January 14, 1945"
1945,Bleiburg repatriations
1945,June 1945 lunar eclipse
1945,"solar eclipse of July 9, 1945"
1945,World War II
1945,December 1945 lunar eclipse
1946,Cold War
1946,"solar eclipse of January 3, 1946"
1946,Chinese Civil War
1946,"solar eclipse of May 30, 1946"
1946,June 1946 lunar eclipse
1946,The Bayeux speeches
1946,"solar eclipse of June 29, 1946"
1946,"solar eclipse of November 23, 1946"
1946,December 1946 lunar eclipse
1947,Paraguayan Civil War of 1947
1947,Tangier Speech
1947,"solar eclipse of May 20, 1947"
1947,June 1947 lunar eclipse
1947,partition of India
1947,"solar eclipse of November 12, 1947"
1947,November 1947 lunar eclipse
1948,Kråkerøy speech
1948,April 1948 lunar eclipse
1948,Costa Rican Civil War
1948,"solar eclipse of May 9, 1948"
1948,October 1948 lunar eclipse
1948,"solar eclipse of November 1, 1948"
1949,La Violencia
1949,April 1949 lunar eclipse
1949,"solar eclipse of April 28, 1949"
1949,October 1949 lunar eclipse
1949,"solar eclipse of October 21, 1949"
1950,"solar eclipse of March 18, 1950"
1950,Schuman Declaration
1950,"solar eclipse of September 12, 1950"
1950,September 1950 lunar eclipse
1951,February 1951 lunar eclipse
1951,"solar eclipse of March 7, 1951"
1951,March 1951 lunar eclipse
1951,Relief of Douglas MacArthur
1951,August 1951 lunar eclipse
1951,"solar eclipse of September 1, 1951"
1951,September 1951 lunar eclipse
1952,February 1952 lunar eclipse
1952,death and state funeral of George VI
1952,"solar eclipse of February 25, 1952"
1953,1953 Puerto Rico highway renumbering
1953,1953 New Jersey state highway renumbering
1953,History Will Absolve Me
1953,January 1953 lunar eclipse
1953,"solar eclipse of February 14, 1953"
1953,Chance for Peace speech
1953,"solar eclipse of July 11, 1953"
1953,July 1953 lunar eclipse
1953,"solar eclipse of August 9, 1953"
1953,Atoms for Peace
1954,January 1954 lunar eclipse
1954,Brown v. Board of Education
1954,"solar eclipse of June 30, 1954"
1954,July 1954 lunar eclipse
1954,Algerian War
1954,"solar eclipse of December 25, 1954"
1955,January 1955 lunar eclipse
1955,June 1955 lunar eclipse
1955,"solar eclipse of June 20, 1955"
1955,"solar eclipse of December 14, 1955"
1956,Moshe Dayan's eulogy for Ro'i Rothberg
1956,May 1956 lunar eclipse
1956,"solar eclipse of June 8, 1956"
1956,This Is Tomorrow
1956,"solar eclipse of December 2, 1956"
1957,Milton Torres 1957 UFO Encounter
1957,"solar eclipse of April 30, 1957"
1957,May 1957 lunar eclipse
1957,"solar eclipse of October 23, 1957"
1958,1958 Virginia state highway renumbering
1958,"solar eclipse of April 19, 1958"
1958,"solar eclipse of October 12, 1958"
1958,October 1958 lunar eclipse
1959,March 1959 lunar eclipse
1959,"solar eclipse of April 8, 1959"
1959,September 1959 lunar eclipse
1959,"solar eclipse of October 2, 1959"
1960,March 1960 lunar eclipse
1960,"solar eclipse of March 27, 1960"
1960,September 1960 lunar eclipse
1960,"solar eclipse of September 20, 1960"
1961,Campanha da Legalidade
1961,"solar eclipse of February 15, 1961"
1961,"solar eclipse of February 15, 1961"
1961,March 1961 lunar eclipse
1961,"solar eclipse of August 11, 1961"
1961,August 1961 lunar eclipse
1962,1962 Ohio state highway renumbering
1962,"solar eclipse of February 5, 1962"
1962,February 1962 lunar eclipse
1962,July 1962 lunar eclipse
1962,"solar eclipse of July 31, 1962"
1962,August 1962 lunar eclipse
1962,We choose to go to the Moon
1963,January 1963 lunar eclipse
1963,"solar eclipse of January 25, 1963"
1963,Ich bin ein Berliner
1963,July 1963 lunar eclipse
1963,"solar eclipse of July 20, 1963"
1963,I Have a Dream
1963,Let Us Continue
1963,December 1963 lunar eclipse
1964,I Am Prepared to Die
1964,1964 state highway renumbering
1964,Dirty War
1964,"solar eclipse of January 14, 1964"
1964,"solar eclipse of June 10, 1964"
1964,June 1964 lunar eclipse
1964,"solar eclipse of July 9, 1964"
1964,Costa v ENEL
1964,A Time for Choosing
1964,"solar eclipse of December 4, 1964"
1964,December 1964 lunar eclipse
1965,"How Long, Not Long"
1965,"solar eclipse of May 30, 1965"
1965,June 1965 lunar eclipse
1965,Chadian Civil War of 1965–1979
1965,"solar eclipse of November 23, 1965"
1965,December 1965 lunar eclipse
1966,May 1966 lunar eclipse
1966,"solar eclipse of May 20, 1966"
1966,October 1966 lunar eclipse
1966,"solar eclipse of November 12, 1966"
1967,New Documents
1967,Down to the Countryside Movement
1967,"solar eclipse of May 9, 1967"
1967,Loving v. Virginia
1967,October 1967 lunar eclipse
1967,"solar eclipse of November 2, 1967"
1968,"George Wallace presidential campaign, 1968"
1968,Opening of the South-North route
1968,"solar eclipse of March 28, 1968"
1968,I've Been to the Mountaintop
1968,"Robert F. Kennedy's speech on the assassination of Martin Luther King, Jr."
1968,On the Mindless Menace of Violence
1968,Rivers of Blood speech
1968,Ceaușescu's speech of 21 August 1968
1968,October 1968 lunar eclipse
1969,1969 Iowa highway renumbering
1969,"solar eclipse of March 18, 1969"
1969,August 1969 lunar eclipse
1969,"solar eclipse of September 11, 1969"
1969,September 1969 lunar eclipse
1970,Years of Lead
1970,Nigerian Civil War
1970,February 1970 lunar eclipse
1970,"solar eclipse of March 7, 1970"
1970,August 1970 lunar eclipse
1970,"solar eclipse of August 31, 1970"
1971,February 1971 lunar eclipse
1971,"solar eclipse of February 25, 1971"
1971,7th March Speech of Bangabandhu
1971,Address to the Women of America
1971,"solar eclipse of July 22, 1971"
1971,August 1971 lunar eclipse
1971,"solar eclipse of August 20, 1971"
1971,Baker v. Nelson
1972,"George McGovern presidential campaign, 1972"
1972,January 1972 lunar eclipse
1972,"solar eclipse of July 10, 1972"
1972,July 1972 lunar eclipse
1973,1973 enlargement of the European Communities
1973,accession of the United Kingdom to the European Communities
1973,accession of the United Kingdom to the European Communities
1973,"solar eclipse of January 4, 1973"
1973,January 1973 lunar eclipse
1973,June 1973 lunar eclipse
1973,"solar eclipse of June 30, 1973"
1973,July 1973 lunar eclipse
1973,December 1973 lunar eclipse
1973,"solar eclipse of December 24, 1973"
1974,death and state tangi of Norman Kirk
1974,June 1974 lunar eclipse
1974,"solar eclipse of June 20, 1974"
1974,Richard Nixon's resignation speech
1974,Ethiopian Civil War
1974,Eritrean Civil Wars
1974,November 1974 lunar eclipse
1974,"solar eclipse of December 13, 1974"
1975,Great Storm of 1975
1975,"solar eclipse of May 11, 1975"
1975,"solar eclipse of November 3, 1975"
1975,Angolan Civil War
1976,"Milton Shapp presidential campaign, 1976"
1976,"solar eclipse of April 29, 1976"
1976,"solar eclipse of October 23, 1976"
1976,Women Artists: 1550-1950
1977,Xinjiang 61st Regiment Farm fire
1977,April 1977 lunar eclipse
1977,"solar eclipse of April 18, 1977"
1977,September 1977 lunar eclipse
1977,"solar eclipse of October 12, 1977"
1977,Women Artists: 1550-1950
1978,March 1978 lunar eclipse
1978,"solar eclipse of April 7, 1978"
1978,September 1978 lunar eclipse
1978,"solar eclipse of October 2, 1978"
1979,Iran–Saudi Arabia proxy conflict
1979,Rewe-Zentral AG v Bundesmonopolverwaltung für Branntwein
1979,"solar eclipse of February 26, 1979"
1979,March 1979 lunar eclipse
1979,Restoration of Taiwan strait shipping
1979,"solar eclipse of August 22, 1979"
1979,September 1979 lunar eclipse
1979,Rhodesian Bush War
1980,"Ronald Reagan presidential campaign, 1980"
1980,Sanctuary movement
1980,"solar eclipse of February 16, 1980"
1980,March 1980 lunar eclipse
1980,July 1980 lunar eclipse
1980,"Reagan's Neshoba County Fair ""states' rights"" speech"
1980,"solar eclipse of August 10, 1980"
1980,August 1980 lunar eclipse
1980,Ugandan Bush War
1980,The lady's not for turning
1981,1981 enlargement of the European Communities
1981,January 1981 lunar eclipse
1981,"solar eclipse of February 4, 1981"
1981,July 1981 lunar eclipse
1982,January 1982 lunar eclipse
1982,"solar eclipse of June 21, 1982"
1982,July 1982 lunar eclipse
1982,"solar eclipse of July 20, 1982"
1982,"solar eclipse of December 15, 1982"
1982,December 1982 lunar eclipse
1983,"solar eclipse of June 11, 1983"
1983,June 1983 lunar eclipse
1983,Sri Lankan civil war
1983,"solar eclipse of December 4, 1983"
1983,December 1983 lunar eclipse
1984,"Jesse Jackson presidential campaign, 1984"
1984,1984 Soviet Union tornado outbreak
1984,"solar eclipse of May 30, 1984"
1984,June 1984 lunar eclipse
1984,"solar eclipse of November 22, 1984"
1985,accession of Spain to the European Economic Community
1985,withdrawal of Greenland from the European Communities
1985,"solar eclipse of May 19, 1985"
1985,1985 United States – Canadian tornado outbreak
1985,October 1985 lunar eclipse
1985,"solar eclipse of November 12, 1985"
1986,Baxter v. United States
1986,1986 enlargement of the European Communities
1986,South Yemen civil war
1986,"solar eclipse of April 9, 1986"
1986,"solar eclipse of October 3, 1986"
1986,October 1986 lunar eclipse
1986,Suriname Guerrilla War
1987,Tear down this wall!
1987,Edmonton tornado
1987,October 1987 lunar eclipse
1988,"Ron Paul presidential campaign, 1988"
1988,"Jesse Jackson presidential campaign, 1988"
1988,"Michael Dukakis presidential campaign, 1988"
1988,March 1988 lunar eclipse
1988,"solar eclipse of March 18, 1988"
1988,August 1988 lunar eclipse
1988,"solar eclipse of September 11, 1988"
1988,Bougainville conflict
1989,George Herbert Walker Bush's First State of the Union Address
1989,February 1989 lunar eclipse
1989,"solar eclipse of March 7, 1989"
1989,Death and state funeral of Ruhollah Khomeini
1989,June 9 Deng Speech
1989,Gazimestan speech
1989,August 1989 lunar eclipse
1989,"solar eclipse of August 31, 1989"
1989,Ceaușescu's final speech
1989,First Liberian Civil War
1990,Prawn Cocktail Offensive
1990,February 1990 lunar eclipse
1990,1990 Mecca tunnel tragedy
1990,August 1990 lunar eclipse
1990,Rwandan Civil War
1991,Childless Hundred Days
1991,"solar eclipse of January 15, 1991"
1991,January 1991 lunar eclipse
1991,June 1991 lunar eclipse
1991,"solar eclipse of July 11, 1991"
1991,July 1991 lunar eclipse
1991,Chicken Kiev speech
1991,December 1991 lunar eclipse
1991,Georgian Civil War of 1991-1993
1992,Attorney General of Botswana v Unity Dow
1992,"Ross Perot presidential campaign, 1992"
1992,1991-92 Georgian coup d'état
1992,Algerian Civil War
1992,Salvadoran Civil War
1992,1992 State of the Union Address
1992,June 1992 lunar eclipse
1992,"solar eclipse of June 30, 1992"
1992,Mozambican Civil War
1992,December 1992 lunar eclipse
1992,Redfern Park speech
1992,"solar eclipse of December 24, 1992"
1993,"solar eclipse of May 21, 1993"
1993,June 1993 lunar eclipse
1993,Burundi Civil War
1993,"solar eclipse of November 13, 1993"
1994,death and funeral of Richard Nixon
1994,"solar eclipse of May 10, 1994"
1994,"solar eclipse of November 3, 1994"
1994,November 1994 lunar eclipse
1995,1995 enlargement of the European Union
1995,October 1995 lunar eclipse
1995,"solar eclipse of October 24, 1995"
1996,"Ralph Nader presidential campaign, 1996"
1996,"solar eclipse of April 17, 1996"
1996,September 1996 lunar eclipse
1996,"solar eclipse of October 12, 1996"
1997,1997 Western Plains winter storms
1997,"solar eclipse of March 9, 1997"
1997,"solar eclipse of March 9, 1997"
1997,March 1997 lunar eclipse
1997,1997 Central Texas tornado outbreak
1997,Tajikistani Civil War
1997,"solar eclipse of September 2, 1997"
1997,"funeral of Diana, Princess of Wales"
1997,September 1997 lunar eclipse
1997,Iraqi Kurdish Civil War
1998,Late-May 1998 tornado outbreak and derecho
1998,"solar eclipse of February 26, 1998"
1998,"solar eclipse of February 26, 1998"
1998,March 1998 lunar eclipse
1998,Bissau-Guinean Civil War
1998,August 1998 lunar eclipse
1998,"solar eclipse of August 22, 1998"
1998,September 1998 lunar eclipse
1998,New York State Labor Day derechos
1999,January 1999 lunar eclipse
1999,"solar eclipse of February 16, 1999"
1999,Second Liberian Civil War
1999,July 1999 lunar eclipse
1999,1999 Russian apartment bombings
1999,2000 millennium attack plots
1999,Republica oficina the Congo Civil War
2000,Jewish exodus from the Muslim world
2000,Jewish exodus from the Muslim world
2000,"Harry Browne presidential campaign, 2000"
2000,Guerrilla phase of the Second Chechen War
2000,20th century departures of foreign nationals from Egypt
2000,"Ralph Nader presidential campaign, 2000"
2000,"Pat Buchanan presidential campaign, 2000"
2000,January 2000 lunar eclipse
2000,"solar eclipse of February 5, 2000"
2000,2000 Easter Sunday tornado outbreak
2000,"solar eclipse of July 1, 2000"
2000,July 2000 lunar eclipse
2000,"solar eclipse of December 25, 2000"
2000,Rizal Day bombings
2001,January 2001 lunar eclipse
2001,July 2001 lunar eclipse
2001,Ignatāne v. Latvia
2001,"solar eclipse of December 14, 2001"
2001,December 2001 lunar eclipse
2002,Podkolzina v. Latvia
2002,May 2002 lunar eclipse
2002,June 2002 lunar eclipse
2002,November 2002 lunar eclipse
2002,2002 Mombasa attacks
2003,Umehara ga kimeta
2003,Mission Accomplished speech
2003,"solar eclipse of May 31, 2003"
2003,Lawrence v. Texas
2003,Slivenko v. Latvia
2003,Funeral of Alija Izetbegović
2003,"solar eclipse of November 23, 2003"
2004,"Ralph Nader presidential campaign, 2004"
2004,"Michael Badnarik presidential campaign, 2004"
2004,"solar eclipse of April 19, 2004"
2004,2004 enlargement of the European Union
2004,accession of Cyprus to the European Union
2004,accession of Estonia to the European Union
2004,accession of Hungary to the European Union
2004,accession of Lithuania to the European Union
2004,accession of Latvia to the European Union
2004,accession of Czech Republic to the European Union
2004,accession of Slovakia to the European Union
2004,accession of Slovenia to the European Union
2004,accession of Poland to the European Union
2004,accession of Malta to the European Union
2004,"solar eclipse of October 14, 2004"
2004,October 2004 lunar eclipse
2005,Southern Ontario Tornado Outbreak of 2005
2005,Second Sudanese Civil War
2005,"solar eclipse of April 8, 2005"
2005,April 2005 lunar eclipse
2005,Israeli disengagement from Gaza
2005,2005 Baghdad bridge stampede
2005,Mangold v Helm
2005,Chad–Sudan Conflict
2006,Calciopoli
2006,Iraqi Civil War of 2006–2008
2006,"Solar eclipse of March 29, 2006"
2006,Őszöd speech
2006,Regensburg lecture
2006,2006 Chávez speech at the United Nations
2006,solar eclipse of September 22 2006
2006,Nepalese Civil War
2006,death and state funeral of Gerald Ford
2007,accession of Bulgaria to the European Union
2007,2007 enlargement of the European Union
2007,2007 enlargement of the European Union
2007,accession of Romania to the European Union
2007,accession of Bulgaria to the European Union
2007,accession of Romania to the European Union
2007,2007 Munich speech of Vladimir Putin
2007,"solar eclipse of March 19, 2007"
2007,Insurgency in Ingushetia
2007,Nicolas Sarkozy Dakar address
2007,August 2007 lunar eclipse
2007,"solar eclipse of September 11, 2007"
2008,"Stephen Colbert presidential campaign, 2008"
2008,"Ralph Nader presidential campaign, 2008"
2008,"Bob Barr presidential campaign, 2008"
2008,"Chuck Baldwin presidential campaign, 2008"
2008,"solar eclipse of February 7, 2008"
2008,WannaCry ransomware attack
2008,2008 Poland tornado outbreak
2008,"Barack Obama election victory speech, 2008"
2008,26/11 Mumbai attacks
2009,"solar eclipse of January 26, 2009"
2009,Somali Civil War 2009-present
2009,Andrejeva v. Latvia
2009,"solar eclipse of July 22, 2009"
2009,Southern Ontario Tornado Outbreak of 2009
2010,Raihman v. Latvia
2010,Arab Spring
2011,"solar eclipse of January 4, 2011"
2011,2011 New England tornado outbreak
2011,"solar eclipse of June 1, 2011"
2011,death and state funeral of Jack Layton
2011,"solar eclipse of November 25, 2011"
2011,Cambodian–Thai border dispute
2012,"Virgil Goode presidential campaign, 2012"
2012,"Jill Stein presidential campaign, 2012"
2012,"Stewart Alexander presidential campaign, 2012"
2012,Mali War
2012,2012 State of the Union Address
2012,Atala Riffo and Daughters v. Chile
2012,misogyny speech
2012,"solar eclipse of November 13, 2012"
2013,"Alexei Navalny mayoral campaign, 2013"
2013,May 2013 lunar eclipse
2013,2013 enlargement of the European Union
2013,2013 enlargement of the European Union
2013,October 2013 lunar eclipse
2013,"solar eclipse of November 3, 2013"
2014,Crimean speech of Vladimir Putin
2014,2014 Valdai speech of Vladimir Putin
2014,La Salida
2014,"solar eclipse of April 29, 2014"
2014,Casamance conflict
2014,Death of Ms Dhu
2014,Yemeni civil war
2014,"solar eclipse of October 23, 2014"
2014,State funeral of Michael Sata
2015,"Endorsements in the Greek bailout referendum, 2015"
2015,September 2015 Marib Toshka missile attack
2015,"solar eclipse of March 20, 2015"
2015,"solar eclipse of March 20, 2015"
2015,death of Sandra Bland
2015,2015 Mina stampede
2015,September 2015 lunar eclipse
2015,November 2015 Paris attacks
2016,"Rodrigo Duterte presidential campaign, 2016"
2016,Bangladesh Bank heist
2016,"solar eclipse of March 9, 2016"
2016,March 2016 lunar eclipse
2016,death of Adama Traoré
2016,August 2016 lunar eclipse
2016,"solar eclipse of September 1, 2016"
2016,September 2016 lunar eclipse
2017,2017 Turkish constitutional referendum 'No' campaign
2017,"Mostafa Hashemitaba presidential campaign, 2017"
2017,2017 Turkish constitutional referendum 'Yes' campaign
2017,February 2017 lunar eclipse
2017,"Donald Trump speech to joint session of Congress, February 2017"
2017,dismissal of FBI Director James Comey
2017,August 2017 lunar eclipse
2018,Museum of Pizza
2018,January 2018 lunar eclipse
2018,"solar eclipse of February 15, 2018"
2018,"solar eclipse of July 13, 2018"
2018,"solar eclipse of August 11, 2018"
2018,death and state funeral of George H. W. Bush
2019,"solar eclipse of January 6, 2019"
2019,January 2019 Oval Office address
2019,January 2019 lunar eclipse
2019,"Tornado outbreak of March 3, 2019"
2019,"solar eclipse of July 2, 2019"
2019,July 2019 lunar eclipse
2019,death of Jeffrey Epstein
2019,death of Chow Tsz-lok
