,Computer,Assassination,Space,Pope,Music
Ocean,-0.042642456,-0.053714406,0.08727864,0.043123595,0.07958153
Politics,0.14777297,0.1312818,0.14305422,0.28976983,0.24393214
Warrior,0.10520184,0.1459575,0.3358841,0.16354951,0.29712144
Warrior,0.36840472,0.09888797,0.21497428,0.11087068,0.4126629
Countess,0.16292688,-0.022528965,-0.026152026,0.20181708,0.073697805
