,Footwear,Revolution,Moon,Movement,Counterculture
Warrior,0.34807664,0.16065308,0.11229016,0.34056664,0.2449449
Family,0.5320549,0.3117047,0.07603258,0.31252053,0.5262842
Monsters,0.30333096,0.060287222,0.12653944,0.13890918,0.3348257
Warfare,0.24519953,0.1613842,0.44830644,0.30106848,0.29165265
Politics,0.2781765,0.04117403,-0.039384007,0.082240984,0.13123158
