,Kingdom,Depression,War,War,Music
Bankruptcy,0.029956428,-0.0014093518,-0.0499947,0.03221191,0.2192086
Comet,-0.02789364,0.2970361,0.095427714,0.112052456,0.2910818
Apocalypse,0.012543802,0.050832435,-0.030777737,0.11533785,0.36167327
Romance,0.02956775,-0.103864506,-0.06335402,0.020347893,0.17986473
Murder,0.11026939,0.12309146,0.17173356,0.1405133,0.36106032
