,Reform,1980s,Disaster,Fashion,Launch
Family,0.02722942,-0.12354746,-0.031106457,0.1309182,0.03225168
Summary,0.19601767,-0.08089729,0.2903217,0.24498677,0.049793456
Survival,0.2508273,0.13438392,0.40836987,0.3716553,0.24583519
Mafia,0.06892523,0.0085738385,-0.06190767,0.4235136,0.10412754
Father,0.14158241,-0.11904215,-0.053401716,0.15578444,0.056734305
