,Rights,Famine,Fashion,Tennis,Sports
Queen,0.27164805,0.20639974,0.39986408,0.41021675,0.26610303
Family,0.3363134,0.022038821,0.14969447,0.10414796,-0.0052648326
Experiment,0.4022392,-0.039664514,0.22676072,0.26125282,0.1374178
Child,0.17369978,0.076398194,0.14784929,0.1745336,0.05057233
Betrayal,0.33205172,0.22797814,0.11871925,0.24189505,0.14919055
