,Movie,Assassination,War,Revolution,Toaster
Man,0.17889132,0.11551277,-0.11095445,-0.02488048,0.11719012
Studio,0.39651936,0.29187486,0.19725163,0.11035548,0.1929845
Class,0.094220266,0.06903311,-0.08348622,-0.029207256,0.099681154
Mystery,0.2587529,0.15713663,0.031234138,0.018737048,0.3237313
Fiction,0.22140408,0.042093933,-0.042546764,-0.0037626699,0.1981054
