,Nationality,Repression,Rock,Actors,Entertainment
Loyalty,0.0041022003,0.057567213,0.060748402,0.17453074,0.10543275
Genre,0.183444,0.15084839,0.28498644,0.40627792,0.2710923
Western,-0.03115862,-0.13678321,0.009338018,0.057625506,0.3387037
Crime,-0.01647558,-0.050688274,0.023085402,0.06858257,0.15318887
Names,-0.07885838,-0.07408168,-0.0044950247,0.0149991065,0.35370672
