,Transfer,Election,Scandal,Trends,Sports
Trauma,0.0028735679,0.33114883,0.19904679,-0.12410659,0.24966395
Relationships,0.023149377,0.14624764,0.46581408,0.044492066,0.12719716
Adventure,-0.017981615,0.19231026,0.2045529,0.020883618,0.3968816
Romance,-0.0012321249,-0.050864257,0.13141143,-0.16577417,-0.01932653
Friendship,0.14796527,0.031371053,0.25120905,-0.124714985,0.027012346
