,Materials,Computer,WWII,Victims,Navy
Horror,0.053039327,0.21020633,0.35037574,0.07463503,0.23465274
Romance,0.14882411,0.03257801,0.31958738,-0.113965034,-0.03139317
Train,0.026927406,0.30871683,0.41837814,-0.037716985,0.19350642
Summary,0.10715264,0.032025047,0.22767755,-0.18874857,0.05340989
Spy,0.08446926,0.007819101,0.15668213,-0.080590956,0.03842649
