,Terrorism,Postmodern,Music,Expenses,Murder
Thriller,-0.027258534,0.22086549,0.09627098,-0.07946655,0.3066078
Airplane,0.17913847,0.3424827,0.14629588,0.16742775,0.45461103
None, None, None, None, None, None
Lovers,-0.0250111,0.082696915,0.04715685,-0.10815784,0.5151317
