PCA Component 1,PCA Component 2
-1.1641628,-0.32810894
-0.50864637,-0.7200346
-0.75103647,0.12042193
0.54699403,-0.31836632
-0.86341006,-0.24844965
0.0999001,-0.021203347
0.71934646,-0.46328983
0.25168657,-0.4820209
-1.4555345,-0.6522866
0.4023756,-0.031049475
0.2159019,0.048185296
0.16788976,0.08811026
0.49256983,-0.1356614
0.8662564,-0.60628647
0.65051484,-0.2724416
-0.5998688,-0.57961524
-0.5341495,1.030798
0.00056788046,0.374547
0.061155308,-0.20165126
-0.616967,-0.41400057
0.0015648624,-0.08867868
0.44546708,0.16925137
-0.42599827,0.14420743
0.40264925,-0.27813908
0.45081654,-0.52915376
-0.8228175,-0.5620439
-0.9188649,-0.34677753
0.10232058,0.011958468
0.16612013,-0.39633346
-1.1430342,-0.32972258
-0.65558565,-0.29017708
0.061705336,0.69080544
-0.16372497,0.57564485
-0.48145762,-0.49030247
-0.026580077,-0.5065048
-1.0684924,-0.6091559
-0.06546155,0.8158659
-0.0813251,0.1609706
0.0624794,0.4479117
0.32773775,0.1979031
-0.21954782,-0.079812504
-0.2140964,0.029915715
0.3652753,0.10965508
0.67781734,0.16456734
0.11900892,-0.5706731
-0.7706206,-0.40343738
-0.06331634,0.6001282
0.35999787,0.10552203
0.46692988,-0.5117073
0.3395788,0.04836998
0.18273047,-0.12800872
0.7328117,-0.29887617
-0.004467906,-0.39106873
0.03919178,0.32249242
0.42896608,-0.29252806
0.36842975,-0.029628582
-0.7436513,-0.61030453
0.14195138,0.471921
-0.270742,0.66920525
-0.009119825,0.5823833
0.3254599,0.500094
0.16786464,0.36804008
0.13166879,-0.012242018
0.3962599,-0.36071947
0.4249965,-0.3209288
0.5197411,-0.30014616
-0.7996602,-0.5478833
0.4156199,0.11691962
-0.36655167,-0.52844733
-1.0064311,-0.7185367
-0.1967309,-0.1475209
0.38381138,-0.5402893
-0.5827491,-0.22770086
0.4386908,-0.258476
-0.7658547,0.013908979
0.19195445,0.38539198
-0.7543014,-0.8974442
0.7176134,-0.52075654
-0.35983607,0.6442284
-0.67602736,0.36140236
-0.08006235,0.4904062
-0.07104073,0.43298066
0.48270306,-0.16566567
0.42123693,-0.25838196
0.08111165,0.1807205
0.023064962,0.14795984
-0.05523503,0.4640536
0.45182177,-0.46161845
0.7639175,0.111502744
0.45294324,-0.06806428
-0.18842745,-0.5859733
-0.7228987,0.8339374
0.01892859,0.34479403
-0.22654454,-0.41078663
-1.1912979,0.11397806
-0.80185395,-0.4495816
-1.0762882,-0.6765347
-1.0006877,-0.20346126
-0.3470872,-0.67817354
0.0068360195,0.25875115
-0.04035318,0.44364405
-0.3839507,0.34545302
0.7698212,-0.009996849
-0.120979294,-0.47029516
0.41302752,0.4597658
0.6119461,0.019940687
0.50307024,0.24934372
0.6203786,0.2382566
0.16245072,0.113765
0.13277969,-0.1320008
0.114604235,-0.061682258
0.4667552,-0.4173369
-0.7883838,-0.8322368
0.48641154,0.2223136
0.28011274,0.20250095
-0.21241759,0.88471586
0.23236702,-0.1849239
0.18328013,0.5778522
0.04126702,0.5167434
0.46866986,-0.13738266
0.16621432,-0.47829586
-0.07561923,0.5028725
-0.08085924,-0.8827655
-0.1542807,0.58711106
-0.1119137,0.37357074
-0.98143756,-0.29751384
0.45829293,-0.17698404
0.6400911,-0.25791052
-0.44275254,0.15068385
0.31199393,-0.0720613
-0.07386354,0.8630265
0.56195784,-0.021878362
0.37141085,-0.25883886
-0.033879105,0.45257238
0.08657735,0.70703137
0.23990184,-0.43227774
-1.0574247,-0.8699291
-0.13634613,0.409155
-1.5582365,-0.76184344
1.0740684,-0.29120854
-0.8885776,-1.1395236
-0.14882323,0.35279456
-0.45848235,-0.27568263
-1.0127597,-0.40484324
0.124904275,0.6374145
0.2897686,0.7153967
-0.20455712,0.15085945
0.34910753,0.23746623
0.29995936,0.16628042
0.4190604,-0.45188114
-0.07733779,0.17849708
-0.16990022,0.15611976
-0.11298734,0.33364347
-0.22593756,0.5969686
0.42625323,0.2940239
-1.0180322,-0.39301983
0.56846565,0.12230821
0.33391008,-0.00018963215
0.33288023,-0.09686696
0.2226031,-0.4498663
-0.15074088,-0.1889396
0.0532883,0.008606716
0.32328945,-0.13484526
0.54217243,-0.070369996
-0.5862816,-0.8329717
-0.20102651,0.32572982
-0.00080100726,0.3553945
-0.57568187,0.26971406
-0.5676622,-0.55695504
-0.34932572,0.20778343
0.0948085,-0.548184
-0.3037348,0.90057623
-0.17932239,0.19818725
0.37734228,0.12539417
0.35088524,0.09874891
-1.0884244,-0.9538375
-0.8109436,-0.7039474
-0.0123500675,0.44658014
-0.2066883,-0.08503718
-0.32237732,0.44499886
-0.0827276,0.35799414
-0.19578642,0.6966055
-0.30181667,0.106506914
0.12888466,-0.39724967
-0.60568464,0.3091162
-0.060834967,0.1671064
-0.17050362,-0.44101316
-0.1926672,0.47936004
-0.108867705,0.3081552
0.11766729,-0.43648916
0.8984302,-0.39922184
-0.123092204,0.58903277
0.5551928,-0.087144546
0.42551476,-0.121785305
0.5075095,-0.344017
0.43111372,0.15240955
-0.24404757,-0.4422133
-0.07844062,0.5831794
-0.3682666,-0.4219392
-0.5395519,0.2757618
-0.050182663,0.040248368
-0.048465177,0.89157677
-0.32153693,-0.66290087
-0.7800792,-0.49469686
-0.057430726,0.78478765
-0.8819047,0.014366872
0.25583115,-0.0058776597
0.18980926,-0.1587199
0.13219427,-0.5201611
0.32409772,0.03260961
