PCA Component 1,PCA Component 2
0.211571,0.20190132
0.17484911,0.18238354
0.965056,0.5368601
0.18831712,-0.28692052
0.4225775,-0.3548197
-0.04382722,0.21059504
0.4201872,-0.18246792
-0.23128171,-0.14085263
-0.1208256,0.09470434
0.08513277,-0.28003883
-0.6929858,-0.07188607
-0.5151165,0.4346041
0.20855914,-0.30144334
-0.30120137,0.64638823
0.6728494,0.16117874
-0.3527317,0.09796802
-0.11172138,0.52762663
0.456501,-0.9370607
-0.43232068,-0.10730315
-0.12107829,-0.43847823
-0.50823253,-0.22754227
-0.7482586,-0.0013828545
-0.77869105,-0.24988648
0.04688013,-0.6137305
-0.14678283,0.15719359
-0.042418327,-0.9004511
0.4095588,-0.29934815
0.26117107,0.39055318
-0.073739536,-0.36016017
0.07173736,-0.68960166
0.8184921,0.49994746
0.19200286,-0.51302207
-0.1893024,-0.9728076
-0.16092643,-0.09418794
-0.37622195,0.2799442
0.75543696,0.21964861
-0.4906714,-0.2617627
0.035046466,-0.18354404
0.012131883,-0.019888647
0.14157102,0.0511121
0.14747417,-0.2752198
0.33344668,0.762945
0.45597437,-0.6028155
0.26238957,-0.08314626
0.2195093,0.32481667
0.08170194,-0.14275138
0.74108624,-0.11091243
0.07583637,-0.53751427
-0.16924682,0.04608972
-0.7932794,-0.036555286
-0.12787782,0.043630216
-0.35285166,0.09043232
0.09067236,0.07201575
-0.050987706,-0.6941713
0.2775268,-0.08908087
0.07010403,0.26627502
-0.31875053,-0.41217148
-0.5758802,0.2634221
0.26915866,-0.7292435
0.13359523,-0.23165664
-0.41279474,0.15222688
-0.33662298,-0.16144246
0.14553691,-0.21194921
0.58447534,-0.26880366
-0.99418557,0.18688904
0.97922474,0.09341014
-0.7005768,0.2254038
-0.5584925,-0.34577066
-0.31327808,-0.47063893
-0.21699135,-0.426369
0.033303577,-0.8235876
-0.10641081,0.816868
0.4829955,0.1749439
-0.07884344,-0.6156456
-0.499274,-0.68366313
0.4129185,0.28875932
0.89538187,0.3559322
0.48703325,-0.075114466
-0.19303171,-0.3410435
0.43836933,0.09681319
-0.0090675345,-0.28744528
-0.28091985,-0.34501755
0.2230601,0.001807499
0.45948324,-0.090377696
0.11629093,0.22285807
0.35836807,0.68326724
-0.7985026,0.60231066
0.16147344,-0.37660536
-0.37526596,0.5815757
-0.27406755,-0.24444197
-0.22364211,0.6500632
0.82452655,0.275537
-0.5813851,0.018505726
-0.85232276,0.3972159
-0.1805006,-0.04258771
-0.1125156,0.30203533
-0.15146002,0.1654911
-0.2608751,-0.31355613
1.0076896,-0.8043996
-0.13838436,-0.55066746
0.33157432,-0.35422122
-0.3128802,-0.18961515
0.17757927,-0.36755064
0.3287701,-0.23063298
0.89099365,0.07063038
0.43333107,0.3813059
1.3451099,0.79402524
0.44222483,-0.22175848
0.21980287,-0.7769602
-0.07127927,-0.42927775
-0.40390268,0.51475513
-0.6163702,0.45670387
-0.25777376,-0.47616714
-0.5501372,0.45990545
-0.29367334,-0.07324723
0.33850387,-0.33502018
-0.34008306,-0.08102392
0.26212996,0.041013565
-0.32161325,-0.18705077
0.039159916,0.028527912
1.2862087,0.3283629
0.74771076,-0.27702925
