PCA Component 1,PCA Component 2
0.44109458,0.02857786
-0.04284359,1.043164
-0.17874864,-0.501984
0.15556948,0.53017485
-0.7115467,0.20901026
0.28234726,-0.09953063
1.0456057,-0.8188453
-0.42745352,0.414709
-0.024108492,-0.39088592
0.18331341,0.06564902
-0.8832348,-0.83200264
-0.59360635,-0.30454203
-0.30902314,0.416103
0.8600628,-0.44355053
0.25284752,0.8358553
0.5546788,0.767077
-0.6915412,-0.13061213
-0.578701,-0.3187074
0.9009339,0.20087856
0.011247447,0.0660417
0.50754523,-0.45651993
0.5311377,-0.59832644
0.59635496,-0.7610791
1.0643702,-0.14586864
-0.19098346,-0.23156184
0.19324021,0.18933707
0.18579808,0.16527951
-0.10511344,-0.34807235
-0.7685147,0.3076135
-0.88414997,-0.20026344
0.29987887,-0.30144426
0.14712921,0.034476407
0.21120234,0.5828183
0.42111638,-0.64845353
0.103278644,-0.262747
0.66758925,-0.63868886
-0.924312,-0.12694034
-0.17650501,-0.21452425
-0.47268504,-0.20878893
0.08960335,-0.014409582
0.4384962,-0.59764427
0.514696,0.07601738
0.33145583,0.36729142
-1.0656197,0.14003529
0.20707014,0.5106428
0.09140638,0.09587677
-0.47909412,-0.40538678
0.04389481,0.20591202
0.4181425,0.71021533
-0.08141751,-0.16712376
0.19692633,0.47489476
0.48098502,0.15509203
0.5240059,1.2342514
-0.20490092,-0.18364827
-0.3692353,0.16615683
-0.2439156,0.7588809
0.4039845,-0.73474336
0.0212615,0.9233181
0.15693624,-0.021632804
0.28378215,-0.7910487
-0.15128821,0.22107609
-0.44002357,0.18383527
0.03430691,0.528603
-0.010864877,-0.12997414
-0.6471101,-0.14071082
-0.10128651,-0.05991953
0.12342292,-0.58409965
0.19735894,0.015868446
0.5243265,-0.91461545
-0.21119215,0.16692656
-0.4930247,-0.1944379
0.24794982,0.732427
0.3341469,-0.41284344
0.626986,-0.83990324
-0.08803997,0.12527452
0.4049472,0.23200117
0.5589133,-0.45577523
-0.6740441,0.059121232
-0.05723996,-0.08418366
-0.3403802,0.015502907
-0.84475935,-0.5199933
0.19231361,0.037799224
-0.26928222,-0.081171654
-0.45321628,-0.14849795
-0.17768826,-0.1526879
1.0967466,-0.6830015
0.47364643,0.10643108
-0.85368794,-0.5775424
-0.29616034,0.043295983
0.08870774,0.14376698
0.27726102,0.33292994
-0.12572685,-0.19587775
0.9019498,-0.9162001
-0.036848236,-0.4070412
0.33279142,0.085806414
-0.40719327,-0.23703574
0.29617697,-0.123231746
0.13106008,0.59444577
0.33365214,0.4585859
0.2643093,-0.03493138
0.47076488,-0.56195
-0.4965132,-0.07366942
0.14833707,-0.15404604
-0.60738325,-0.27021495
0.13407385,0.969508
0.23961352,0.91478413
-0.34956628,-0.18373114
-0.46161914,0.033175245
-0.5860368,-0.17472996
-0.58123124,0.023171918
-0.23043625,-0.14819129
-0.1211461,-0.47908068
-0.030060912,0.22332159
0.40968934,0.45945075
0.16059287,-0.035835
-0.033167783,-0.37546578
-0.6347533,-0.26981115
-0.1109103,0.699547
-0.17181091,-0.0063783494
0.20361203,0.09368494
-0.6054522,0.23973383
-0.18086825,0.027391404
-0.035820767,0.6667184
0.06359373,-0.12006281
0.09405851,0.11062883
-0.6213127,-0.04149911
0.21067396,0.5936429
-0.38027185,-0.003408797
-0.22055031,-0.27439156
-0.2696507,-0.35049987
0.0923974,0.589406
0.12130235,-0.20875889
-0.46502846,-0.24057125
0.40012556,-0.59608275
0.060043197,0.648154
-0.43450123,1.1898391
0.7357635,-0.16854139
-0.5360349,0.25220302
0.25623107,0.4894825
-0.122298606,0.35848525
-0.11022001,0.17216301
0.111309685,-0.42239833
0.0317802,-0.4312297
-0.22043434,0.51498306
0.046230774,-0.40151682
-0.25196144,0.16660087
0.22890824,0.32551283
-0.38741687,-0.79337823
0.34685898,-0.2640824
-0.54013956,0.13172798
0.9590912,-1.0005594
-0.24284269,0.40830323
-0.6223203,-0.07123696
-0.108794436,0.53753823
0.52248114,0.51792616
-0.021371463,0.1668809
0.55467373,0.5917126
-0.6066105,-0.2793535
-0.14095338,-0.20404729
0.3161093,-0.075612776
-0.22201708,-0.14553104
-0.16570672,-0.21066779
0.3892292,0.25981566
-0.6518518,-0.1844713
0.88948953,-0.541613
0.071394295,0.21721949
0.40734136,-0.11158449
-0.10937375,-0.6569557
-0.31997186,-0.2324427
-0.23783849,-0.23611242
0.9874202,-0.3903842
0.79306024,-0.049517944
0.46992958,-0.07678636
-0.5257671,-0.47411963
0.35622963,-0.51144266
-1.1455358,-0.2598517
0.158436,0.13736118
0.073318936,0.6108808
0.61633205,0.17428325
-0.59473294,-0.1262256
0.22284168,-0.12670232
-0.57166165,-0.25178742
-0.0636566,-0.20509456
0.40268746,-0.17515129
-0.6521153,-0.12516008
-0.32244563,-0.47104296
0.4242892,0.38697296
0.24249752,0.22876698
-0.37139034,-0.44033116
1.1847359,-0.46043643
-0.52637565,-0.26023522
0.014447773,0.09873751
-0.26727703,0.39774662
-0.307878,-0.58539987
0.48455724,0.20832023
0.32228133,0.788952
0.7431959,-0.91135997
