PCA Component 1,PCA Component 2
0.48423252,-0.2922569
0.578033,0.2868046
-0.25448954,-0.32233834
0.1362115,-0.027086878
-0.01988102,-0.44649485
-1.7692719,0.2180791
-0.77645236,-0.45622122
-0.47349736,-0.49723342
0.7756178,0.20319721
0.42330256,-0.1572612
-0.32042775,0.06368143
0.5122551,-0.016803103
-0.585029,0.29601824
-0.65810126,-0.16132571
0.27324477,-0.29277524
-0.08316955,-0.012208786
0.30744192,-0.14285773
-0.55738586,0.052113622
0.20224838,-0.42938998
-0.34522733,-0.14351071
0.10370703,-0.70703447
-0.067902334,-0.13443439
-0.52375335,0.24135028
-0.6310605,0.63908917
-0.81200355,-0.07999214
-0.09737502,0.117152505
0.39215723,0.11665153
0.20331767,-0.6148593
-0.60489094,0.48716667
-0.4807931,-0.013580182
-0.81565195,0.69534177
0.8401845,0.46182537
0.28138134,0.3791061
0.2286315,-0.6734086
0.39968723,-0.4117362
-0.329732,-0.6638102
0.59896445,0.5299298
0.19793874,-1.0486969
0.6826275,-0.3396994
-0.6195255,-0.016169278
-0.020486476,-0.53510016
0.3511332,0.32910025
0.74814904,0.5134393
-0.22100736,0.33102497
0.0890514,-0.52880025
0.4918858,-0.016538732
-0.8993856,0.70985484
-0.6397625,0.13442829
0.54173094,1.1422684
0.0949312,-0.49535528
-1.9262145,0.67301524
0.09495384,0.6701254
-0.2557284,-0.65659964
-0.83463943,0.06025506
0.22111082,0.035185203
-0.06686668,0.3035071
-0.25765538,0.3053069
0.45328182,0.1702093
-0.32502103,0.26631114
-0.18902837,-0.1080377
0.76528174,0.46545544
0.48842865,0.2612386
0.76318353,0.5739891
-0.8347728,-0.19272214
-1.0309085,0.2946241
-0.5071343,-0.37539148
0.007801546,-0.23324457
-0.7230731,0.13133098
0.57428354,0.2813307
-0.09969507,0.274329
-0.14918877,0.3023981
0.5790672,0.13509752
0.04275079,0.31858674
-0.10998416,-0.39313805
-0.013033593,-0.3439164
0.4459387,-0.023149252
-0.5499255,-0.1566662
0.33846217,0.21190007
0.22731546,-0.064796165
-0.12308494,-0.7322397
-0.03709596,-0.36647502
0.039942645,0.3206269
-0.23229983,0.46200344
-0.083622925,0.4732249
-0.60781413,0.6401137
0.2296822,0.7781182
0.02678976,-0.83754534
0.96679366,-0.15472943
-0.32162833,-0.5144671
0.68781275,0.12354002
0.19708218,-0.3218975
0.6052776,0.0138464235
-0.49343914,-0.14727226
-0.81449515,-0.62346244
-0.18701169,-0.018634327
0.20261669,0.40170252
-0.53640926,0.24150458
-0.63951933,-0.15545689
0.42550212,-0.070330195
-0.03004967,-0.37058467
0.42187205,0.2922532
0.30664557,0.18141021
-0.050080188,-0.08233198
-0.6598409,-0.11869825
0.12861353,0.6568294
-0.25734875,0.59705323
-0.15381739,-0.05204511
0.37074313,-0.3483111
0.4776162,-0.07353378
-1.0830837,0.22603776
-0.14554758,-0.03907141
0.7260959,-0.19697557
0.27108708,-0.6348636
0.55016124,-0.16468059
0.21498187,-0.31734228
-0.26381543,-0.28217107
-0.1237307,-0.3730549
0.39353287,-0.027036387
1.0823781,0.06423879
-0.13019945,-0.33405992
-1.0566504,0.57061255
0.29315126,-0.14092912
-0.06754727,0.138065
0.16838704,-0.18787879
0.3963715,0.576138
0.97040325,0.073545165
-0.02243921,0.28021988
-1.0242981,0.22326809
-0.9357553,0.2705569
-0.5041496,-0.20610952
0.3441843,-0.2305967
0.012490255,0.10360067
0.4266797,-0.09219579
-0.99177647,0.37196034
0.08424971,0.47772193
0.38239828,-0.7867273
-0.5085321,0.08893873
-0.2713726,-0.6914626
0.13058454,-0.33007243
0.08118437,-0.5080465
0.15507011,0.25224948
-1.2022697,0.59287244
-0.82999754,0.111527026
-0.22076756,-0.7278485
0.11852206,0.13136646
-0.35802296,-0.13489714
1.4387771,0.626877
0.50522643,0.52223
-0.22443762,-0.38531944
0.66360104,-0.21992798
0.48429736,-0.06990891
-0.2953241,-0.16774009
0.6281696,0.20844676
-0.37247607,0.105264015
0.22341065,0.098154925
-0.53221244,0.07003666
-0.07252891,0.1673877
-0.07641075,-0.050711673
-0.70810694,0.010605633
-0.3677771,0.22214228
0.25419936,0.49129656
-0.13534018,0.22131425
0.6536225,-0.40295103
0.43747702,0.08066157
0.08724148,0.09010596
-0.42845094,-0.7385962
0.0809329,0.31630054
-0.1403363,-0.6304517
-1.1638657,1.1994479
-0.5282446,0.35699204
0.38719732,0.0028774024
-0.36894965,-0.3615598
0.17192054,1.5674084
-0.46429473,-0.6748911
-0.1125961,-0.3049395
0.21023335,-0.61377907
-0.056162845,-0.90023977
0.41445547,0.46788427
-0.22074798,0.045908637
-0.24740076,0.6706472
-0.21439242,0.1477802
0.033429276,-0.14392973
0.24496092,0.31765768
0.30197144,-0.37758932
0.5653817,1.2998081
0.4534053,-0.5096922
0.18821257,0.32248476
-0.00065837044,-0.28492728
0.30518493,-1.344206
0.47202575,0.2934442
-0.68690455,0.5724989
0.30150723,-0.27955827
0.30811018,-0.09861675
-0.44846666,-0.366872
-1.7161313,0.92548937
-0.014659829,0.118559755
-1.5201,0.60023564
0.24798936,-0.035586655
0.6677962,0.1875147
-0.55303127,0.4817657
-0.53539306,0.034863565
-0.42352322,0.48288265
-0.25789744,0.08384749
-0.30918905,0.2878236
-0.26928788,-0.016789192
0.50992894,-0.055303983
-0.60516703,-0.5464641
0.081280395,-0.48585674
-0.6255561,-0.030816643
0.4208565,0.7287131
0.43709522,0.14180276
0.05391103,0.20028953
0.25500244,-1.1460052
-0.3514742,-0.5988716
0.632013,-0.4065007
0.1245199,0.15094094
-0.30155864,-0.5848151
0.7467604,-0.03544838
-0.7760043,0.033340268
0.68783754,-0.18575484
-1.3695761,0.12462985
-0.6709193,0.28349084
0.19756415,0.027990444
0.69280964,0.027173704
-0.5327374,-0.4337834
-0.7397241,0.37423903
1.0905256,1.3774714
0.15468228,0.13504784
-0.09683257,-0.058698986
-0.5922511,0.2298631
-0.45076755,0.055340566
0.2616395,0.1222347
0.73480445,0.22373997
0.1547635,0.25692004
-0.32837343,0.8590448
-0.13578014,-0.18595712
-0.036572292,0.3157688
0.24953945,-0.33225578
-0.06757302,-0.095709234
0.6931524,0.22217895
-0.1845715,-0.04291018
0.26129746,0.08873794
-0.10448527,-0.22556414
0.1207845,-0.10472029
-0.17302462,-0.022107266
0.03333079,-0.41330108
0.1723683,-0.7385166
