PCA Component 1,PCA Component 2
0.7284159,-0.0904394
-0.20766202,0.53071165
0.23545112,0.56522983
-0.40355775,0.6518042
1.0073442,-0.54557437
-0.43447337,0.103708185
-0.43834302,-0.084526286
0.7394224,-0.50663584
-0.17304718,-0.43174267
0.20872621,0.3777485
-0.06320635,0.536601
0.02401647,0.51014054
0.06441654,0.37211233
-1.1961446,-0.13612437
0.3945969,-0.13843329
0.59494066,-0.20883265
-0.0011997595,-0.3044482
-0.7806538,-0.3717109
-0.03049054,0.03607408
0.42940086,-0.218732
-0.15547562,-0.20861837
0.17377794,0.014649726
0.2088254,0.47219682
0.11610644,-0.6070717
0.44064513,0.036062777
0.29496443,0.03831517
0.077879496,-0.6150577
-0.15385082,0.6520413
0.30936334,-0.047313437
-0.3218908,0.3586713
0.5646064,-0.15381402
0.32701337,0.15138376
-0.19636095,-0.039186954
-0.2472029,-0.24339795
0.1112657,-0.19639796
-0.72040886,-0.4011065
0.16859777,0.6723414
0.2639715,0.00940188
0.060201596,-0.067173235
0.24991632,-0.061585017
0.29025707,-0.08556639
0.47037494,-0.34880883
-0.06891928,-0.1240745
0.44431594,0.32809335
0.11853568,0.53720343
-0.41799107,0.4080282
0.3906081,-0.14163256
0.23925248,0.29909068
0.3415296,-0.45233816
0.32267445,-0.06851811
0.52081776,-0.13166699
0.29049346,0.18436375
0.73126847,-0.17910486
-0.47442123,0.4672156
-0.5558096,0.28330445
0.55933553,-0.23693776
0.05005724,-0.34529674
0.112981424,0.7465893
0.32118767,-0.22553575
-0.5648378,0.42417312
0.12944424,0.017218776
-0.019412272,0.4910223
0.23449382,0.31522495
0.61248815,-0.04490342
0.03310705,0.61301786
0.39618552,0.015218414
-0.49265036,-0.07275261
-0.50060505,-0.5237803
0.30672655,0.67559403
-0.34526044,-0.2751943
0.3509257,-0.5070787
0.19723698,0.5011192
-0.41726038,-0.3122468
0.19781512,-0.37339035
-0.5375314,0.29726407
-0.19818297,0.53918064
-0.36789975,-0.27518526
-0.355728,-0.7771566
-0.038121484,0.5868832
-0.16728511,0.5960803
-0.31594542,0.058275647
-0.21400881,-0.19983843
0.3949431,0.2530684
-0.98767763,-0.23407748
-0.06603598,0.20791134
0.26629978,0.20710433
-0.099550195,-0.35380888
-0.557163,-0.28611684
0.14959021,-0.298843
0.08692081,0.029983923
-0.07469105,0.5081872
0.08883235,0.19982442
0.55630046,-0.2597314
0.39506733,-0.17404646
-0.686985,-0.54942244
0.14421237,-0.17546737
0.78057283,-0.28366217
-0.014064737,0.10276351
-0.15894476,0.20522237
0.44887945,-0.34862
0.005046807,0.14627391
0.26049244,-0.0038983747
-0.16723326,-0.044148654
0.96548074,-0.3165313
-0.016055621,0.49261284
-0.9978941,-0.6320428
-0.073976226,-0.19549158
0.16853479,-0.22688344
-0.5604264,0.59954405
-0.22248915,-0.49514136
0.60568804,-0.28488788
0.46626928,-0.28267992
0.32759815,-0.72398484
-0.005565308,0.55608445
-0.12560913,-0.40173617
0.65987813,0.025917687
0.34658036,0.21483162
-0.31837606,-0.018571332
0.030768268,0.38307357
0.61783254,0.25231883
-0.8260694,0.09289778
-0.36261436,-0.14714451
0.29112923,0.12932166
0.48675555,-0.37071025
0.016107209,-0.14883326
0.0030322894,-0.04294485
-0.025530256,0.13233298
-0.49764916,0.4350623
-0.01457303,0.20233518
-0.08995602,0.74472284
0.2823109,-0.025321066
0.59531,0.39927378
0.49027014,-0.046397757
-0.1230173,0.07211291
0.35262316,-0.86748564
-0.15559229,0.00038285553
-0.5377488,0.52543956
-1.0020963,-0.3255057
0.43463603,0.08001164
0.10746601,0.26427025
0.4861575,0.15551856
0.21018171,-0.083842024
0.5069871,0.039908767
-0.89355296,0.01749181
0.39380005,0.012954481
-0.45891508,0.05280231
0.110484004,-0.17641127
0.61270255,0.029418431
0.14672552,-0.44699174
0.0911318,0.950349
-0.34436068,0.27762753
0.39512885,-0.33920056
-0.34042516,0.31977895
0.017918326,1.1600603
-0.20012417,0.50046253
-0.2071198,0.28113198
0.45835462,-0.92260206
0.05143451,0.19118217
0.54982585,0.33678162
-0.8471649,0.22731358
0.34941298,0.018248983
0.33452544,0.35008872
0.30692106,-0.41132647
0.49634627,0.00448218
0.60736024,-0.7118745
0.34442917,-0.3164052
0.03280499,-0.08743885
-0.113878034,0.3494639
-0.09997887,-0.039775986
-0.05427409,0.33306557
0.13583584,0.32608446
-1.1597595,0.24831805
0.899588,-0.80158377
0.011395559,0.49130857
-0.21744397,-0.025134295
-0.7889723,0.20313579
0.3107359,-0.04672939
0.008923538,-0.16009234
-0.08878016,0.068527184
0.3799943,0.58977544
0.017954096,-0.38238212
-0.30980924,-0.3378049
-0.4277139,0.2563168
0.065356426,-0.3535804
-0.014842771,0.3386276
0.12618794,0.10640048
0.1046127,-0.36240536
0.71506506,0.23506463
-0.029203884,-0.09348789
-0.3561939,-0.27973655
-0.82376885,-0.34365672
0.9324231,-0.37396076
-0.25835505,0.061493896
-0.3656001,0.48089612
-0.31075552,0.99803054
0.7079913,0.50003946
0.117576726,0.33355725
-0.41828468,0.6274563
-0.045783974,-0.348145
-0.78020656,0.30072975
-0.071753226,-0.48396945
-1.1616938,0.03789524
-0.42047974,-0.20654243
0.24422646,0.42044824
0.11134946,-0.1769683
-0.4301022,-0.1298716
-0.71827525,0.09892697
0.27476242,-0.66638255
0.008760251,-0.0038153492
0.13921925,-0.68179953
0.62205577,-0.47492486
-0.7306803,0.57835764
-0.24553922,-0.1550911
0.19480133,0.33715335
