PCA Component 1,PCA Component 2
0.18973866,-0.26321566
0.041392405,0.48996317
-0.095573105,-0.30491683
0.38911322,-0.13293348
-0.8417996,-0.005681595
0.7878945,-0.24209365
0.050236817,0.51340234
-0.1460603,0.51583123
-0.023766173,-0.06079066
0.29215217,0.68794066
0.29111445,-0.62388706
-0.76729596,0.073748164
-0.048701756,-0.6677967
0.53043294,-0.2726058
-0.45891228,0.7408337
0.044608828,-0.39135462
-0.24237871,-0.16714413
0.022145933,0.3174339
0.26472446,-0.26908177
0.1944764,0.28067207
0.94588196,-0.4660281
-0.6390577,0.035608638
0.5847301,0.1498735
-0.05925486,0.89335203
0.101858415,-0.4720064
0.7480347,-0.12692073
0.8801886,0.20618741
-0.31482357,0.0069946893
-0.103283,0.25585502
-0.447167,-0.06916816
-0.19260584,0.0011769363
0.24012007,0.64442694
-0.9772927,-0.5694963
0.09068903,0.5106775
-0.21573266,-0.42621607
-0.8461374,-0.009209723
-0.36736846,0.51977885
-0.5168818,-0.10973232
0.42029053,0.563104
-0.31737047,0.1031867
-0.6287705,0.5547727
-0.17248659,-0.25854057
0.3709294,-0.54820585
-0.34812123,0.37771034
-0.14921893,0.13249755
-0.52373815,-0.55919147
0.23802404,0.08278511
-0.2715164,0.12249811
-0.035223372,-0.40430403
0.1833352,0.23706688
-0.8215787,-0.80852115
0.17722538,0.6905904
0.28022748,-0.19475038
0.72529244,-0.029929454
0.16195305,0.43019205
0.8549593,-0.6529505
0.31020668,0.19596545
-0.7216205,-0.07629376
-0.13813348,0.47753602
0.35337275,-0.022849089
0.40210727,-0.0047275927
0.7911982,-0.1328394
-0.9946009,-0.5257133
0.2832537,-0.13544148
0.6326699,-0.18052773
0.20114267,0.58249795
-0.08528937,0.17502658
-0.16104689,0.15267226
0.2555592,0.26834592
0.26074275,0.003285043
-0.53291893,0.074513815
0.39137524,0.4217915
-0.05202217,0.55333966
0.5063702,0.18951286
0.20997924,-0.73245144
0.16231912,-0.55791396
-0.7963422,-0.33254975
-0.2948357,0.40468878
-0.22311284,0.47168738
-0.34723648,-0.15214986
-0.55670804,0.5526277
0.21301696,-0.1231013
0.1118315,0.009976676
-0.4788355,-0.42793334
0.5856842,-0.73167646
0.27172306,-0.76010305
0.09988139,0.3830851
-0.558615,0.103234544
0.46839213,-0.87302935
-0.23613718,0.11327957
0.37397516,0.91787845
0.46787214,0.51590914
0.34845492,0.305787
0.4982673,0.42130825
0.43367618,0.030466277
0.6992651,0.101973735
0.46980524,-0.014811812
