,film,Pedro,girl,travelers,Mr,astronomers,shot,man,train,Hyde,Jekyll,submarine,police,sequence,help,ice,Selenite,space,Ned,front,journey,version,scene,town,time,moves,woman,capsule,border,men,de,building,explode,begins,rescuer,proposes,store,fight,crash,capture,end,films,Story,board,cannon,mountains,face,hair,automobile,shows,love,father,finds,daughter,wife,house,home,tries,family,money,room,returns,becomes,day,falls,life,mother,Ossi,leaves,wealthy,marry,way,herself,Chaplin,son,child,children,years,husband,story,Josef,night,Jane,turns,meets,doesnt,tells,runs,boy,sees,decides,Stan,friend,asks,become,death,return,marriage,refuses,show,ship,Marie,Mrs,Betty,Dr,gang,work,arrives,party,Bugs,Jerry,Daffy,head,escape,job,Joe,Sylvester,car,kill,group,plan,discovers,friends,kills,meet,school,body,attempts,ends,reveals,team,people
1900,0.017,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.003,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.003,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.004,0.003,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.0,0.002,0.0,0.003,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.002,0.0,0.0,0.002,0.0,0.002,0.001,0.0,0.004,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.002,0.0,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.002,0.0,0.0,0.002,0.0,0.001,0.002,0.0,0.004,0.0,0.0,0.001,0.002,0.0,0.002,0.002,0.001,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.003,0.0,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.002,0.0,0.002,0.0,0.0,0.004,0.001,0.0,0.001,0.002,0.0,0.002,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.001,0.0,0.003,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.0,0.002,0.002,0.002,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.001,0.0,0.0,0.003,0.001,0.0,0.002,0.002,0.0,0.001,0.002,0.0,0.002,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.003,0.003,0.0,0.001,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.0,0.002,0.002,0.002,0.001,0.002,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.001,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.001,0.001,0.001,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.003,0.001,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.003,0.002,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.001,0.0,0.002,0.0,0.0,0.002,0.0,0.003,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.0,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.003,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.003,0.001,0.002,0.003,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.0,0.003,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.001,0.0,0.002,0.0,0.0,0.001,0.0,0.003,0.0,0.0,0.001,0.002,0.0,0.002,0.001,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.001,0.001,0.001,0.0,0.0,0.0
1990,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.0,0.001,0.002,0.002,0.0,0.003,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.001,0.002,0.0,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.004,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.001,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.001,0.002,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0
2000,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.001,0.002,0.003,0.0,0.003,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.004,0.0,0.0,0.002,0.002,0.0,0.002,0.002,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.001,0.001,0.001
