Decade,History cluster,Similarity
1900,Flight,0.4691099
1910,Movie,0.39651936
1920,Tennis,0.41021675
1930,Music,0.36167327
1940,WWII,0.41837814
1950,Actors,0.40627792
1960,Footwear,0.5320549
1970,Music,0.4126629
1980,Fashion,0.4235136
1990,Murder,0.5151317
2000,Scandal,0.46581408
