,film,Pedro,girl,Mr,astronomers,travelers,train,Hyde,shot,submarine,Jekyll,man,police,sequence,front,time,moves,space,journey,version,Ned,town,woman,capsule,border,Selenite,scene,ice,help,players,vehicles,store,films,explode,baggage,rescues,ends,Henri,shows,curtain,cash,plot,attacks,capture,vows,land,automobile,fight,streets,begins,love,father,finds,daughter,wife,house,home,tries,family,money,room,becomes,returns,day,falls,life,mother,Ossi,leaves,marry,wealthy,way,herself,Chaplin,son,child,children,years,story,husband,night,Josef,Jane,doesnt,meets,turns,men,tells,runs,boy,Quaker,decides,Stan,friend,asks,sees,end,become,death,return,marriage,refuses,show,ship,Marie,Mrs,Betty,gang,Dr,work,arrives,party,Bugs,Jerry,Daffy,head,escape,job,Joe,Sylvester,car,kill,group,plan,discovers,friends,meet,kills,school,body,attempts,reveals,team,people
1900,0.017,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.004,0.003,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.002,0.0,0.002,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.002,0.002,0.0,0.0,0.0,0.001,0.002,0.002,0.004,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.002,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.002,0.002,0.0,0.0,0.0,0.002,0.001,0.002,0.004,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.001,0.0,0.001,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.002,0.003,0.0,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.001,0.002,0.0,0.0,0.0,0.0,0.002,0.002,0.004,0.001,0.0,0.0,0.002,0.0,0.002,0.001,0.001,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.003,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.0,0.002,0.002,0.002,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.001,0.003,0.003,0.001,0.0,0.0,0.002,0.0,0.001,0.002,0.002,0.002,0.0,0.002,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.003,0.003,0.0,0.001,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.0,0.002,0.002,0.002,0.001,0.002,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.001,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.0,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.001,0.001,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.003,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.003,0.001,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.003,0.002,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.003,0.003,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.001,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.0,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.003,0.003,0.001,0.002,0.003,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.0,0.003,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.001,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.002,0.003,0.0,0.0,0.0,0.002,0.0,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.001,0.001,0.0,0.0,0.0
1990,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.0,0.002,0.001,0.002,0.0,0.003,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.001,0.002,0.002,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.002,0.004,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.0,0.0,0.001,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.001,0.002,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0
2000,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.004,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.001,0.003,0.0,0.003,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.002,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.001,0.004,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.002,0.002,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.001,0.001,0.001
