,film,Pedro,girl,astronomers,travelers,Mr,shot,man,train,Jekyll,submarine,Hyde,police,town,version,moves,front,time,Ned,border,ice,woman,capsule,Selenite,scene,journey,sequence,help,space,Dr,plot,bar,phone,ends,store,sheriff,streets,vows,saloon,Alice,capture,Henri,shows,flirts,fire,home,thug,Sherritt,fight,films,love,father,finds,daughter,wife,house,tries,family,money,becomes,room,returns,day,falls,life,mother,Ossi,leaves,wealthy,marry,way,herself,Chaplin,child,son,children,years,husband,story,Josef,night,turns,men,Jane,doesnt,meets,tells,boy,runs,job,decides,Stan,friend,asks,sees,end,become,death,marriage,return,show,refuses,ship,Marie,begins,Mrs,Betty,gang,work,arrives,party,Bugs,Jerry,Daffy,head,escape,Joe,Sylvester,car,kill,group,plan,discovers,friends,meet,kills,school,body,attempts,reveals,team,people
1900,0.017,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.002,0.0,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.005,0.004,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.002,0.0,0.002,0.0,0.003,0.002,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.001,0.004,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930,0.002,0.0,0.0,0.0,0.0,0.002,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.004,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.002,0.0,0.002,0.002,0.0,0.0,0.0,0.002,0.0,0.001,0.002,0.0,0.0,0.002,0.001,0.002,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.001,0.0,0.001,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.003,0.002,0.003,0.0,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.002,0.0,0.002,0.002,0.002,0.0,0.0,0.0,0.004,0.0,0.001,0.001,0.002,0.0,0.002,0.001,0.001,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.001,0.0,0.003,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.0,0.002,0.002,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.002,0.001,0.003,0.0,0.0,0.0,0.003,0.0,0.001,0.0,0.002,0.0,0.001,0.002,0.002,0.002,0.0,0.002,0.0,0.002,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.001,0.001,0.0,0.003,0.003,0.0,0.001,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.001,0.0,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.0,0.002,0.002,0.001,0.002,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.001,0.0,0.002,0.001,0.002,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.001,0.001,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.002,0.003,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.003,0.002,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.001,0.0,0.002,0.0,0.003,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.001,0.001,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.002,0.001,0.0,0.0,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.003,0.003,0.001,0.002,0.003,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.0,0.003,0.002,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.001,0.0,0.002,0.0,0.002,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.002,0.0,0.002,0.001,0.001,0.001,0.001,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.001,0.001,0.0,0.0,0.0
1990,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.001,0.0,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.0,0.001,0.002,0.0,0.003,0.003,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.002,0.001,0.002,0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.0,0.0,0.001,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.002,0.001,0.0,0.001,0.002,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0
