event,date,label,image
http://www.wikidata.org/entity/Q4427813,1936-06-19T00:00:00Z,"solar eclipse of June 19, 1936",
http://www.wikidata.org/entity/Q4427822,1945-07-09T00:00:00Z,"solar eclipse of July 9, 1945",
http://www.wikidata.org/entity/Q276506,2009-07-22T00:00:00Z,"solar eclipse of July 22, 2009",
http://www.wikidata.org/entity/Q1144017,2007-03-19T00:00:00Z,"solar eclipse of March 19, 2007",
http://www.wikidata.org/entity/Q1144023,2004-04-19T00:00:00Z,"solar eclipse of April 19, 2004",
http://www.wikidata.org/entity/Q1164503,2011-01-04T00:00:00Z,"solar eclipse of January 4, 2011",
http://www.wikidata.org/entity/Q1304184,2013-11-03T00:00:00Z,"solar eclipse of November 3, 2013",
http://www.wikidata.org/entity/Q934366,2006-03-29T00:00:00Z,"Solar eclipse of March 29, 2006",
http://www.wikidata.org/entity/Q978836,2019-01-06T00:00:00Z,"solar eclipse of January 6, 2019",
http://www.wikidata.org/entity/Q1029040,2018-08-11T00:00:00Z,"solar eclipse of August 11, 2018",
http://www.wikidata.org/entity/Q1107678,1973-06-30T00:00:00Z,"solar eclipse of June 30, 1973",
http://www.wikidata.org/entity/Q1131426,2001-12-14T00:00:00Z,"solar eclipse of December 14, 2001",
http://www.wikidata.org/entity/Q1144034,2004-10-14T00:00:00Z,"solar eclipse of October 14, 2004",
http://www.wikidata.org/entity/Q1145898,2007-09-11T00:00:00Z,"solar eclipse of September 11, 2007",
http://www.wikidata.org/entity/Q1146422,1997-09-02T00:00:00Z,"solar eclipse of September 2, 1997",
http://www.wikidata.org/entity/Q1146462,1993-11-13T00:00:00Z,"solar eclipse of November 13, 1993",
http://www.wikidata.org/entity/Q1146469,1996-04-17T00:00:00Z,"solar eclipse of April 17, 1996",
http://www.wikidata.org/entity/Q1146483,1991-01-15T00:00:00Z,"solar eclipse of January 15, 1991",
http://www.wikidata.org/entity/Q1146497,1992-12-24T00:00:00Z,"solar eclipse of December 24, 1992",
http://www.wikidata.org/entity/Q60372,2015-03-20T00:00:00Z,"solar eclipse of March 20, 2015",
http://www.wikidata.org/entity/Q153325,1943-11-03T00:00:00Z,Aktion Erntefest,
http://www.wikidata.org/entity/Q249308,2008-02-07T00:00:00Z,"solar eclipse of February 7, 2008",
http://www.wikidata.org/entity/Q255688,1956-12-02T00:00:00Z,"solar eclipse of December 2, 1956",
http://www.wikidata.org/entity/Q1314098,2016-09-01T00:00:00Z,"solar eclipse of September 1, 2016",
http://www.wikidata.org/entity/Q1329886,2011-11-25T00:00:00Z,"solar eclipse of November 25, 2011",
http://www.wikidata.org/entity/Q1368046,2019-07-02T00:00:00Z,"solar eclipse of July 2, 2019",
http://www.wikidata.org/entity/Q1409455,1992-06-30T00:00:00Z,"solar eclipse of June 30, 1992",
http://www.wikidata.org/entity/Q1472163,1998-08-22T00:00:00Z,"solar eclipse of August 22, 1998",
http://www.wikidata.org/entity/Q1490443,1994-05-10T00:00:00Z,"solar eclipse of May 10, 1994",
http://www.wikidata.org/entity/Q3577541,1961-02-15T00:00:00Z,"solar eclipse of February 15, 1961",
http://www.wikidata.org/entity/Q929952,1912-04-17T00:00:00Z,"solar eclipse of April 17, 1912",
http://www.wikidata.org/entity/Q384457,1945-01-14T00:00:00Z,"solar eclipse of January 14, 1945",
http://www.wikidata.org/entity/Q473566,2005-04-08T00:00:00Z,"solar eclipse of April 8, 2005",
http://www.wikidata.org/entity/Q492942,2006-09-22T00:00:00Z,solar eclipse of September 22 2006,
http://www.wikidata.org/entity/Q609193,2018-02-15T00:00:00Z,"solar eclipse of February 15, 2018",
http://www.wikidata.org/entity/Q618333,1984-05-30T00:00:00Z,"solar eclipse of May 30, 1984",
http://www.wikidata.org/entity/Q618677,1913-04-06T00:00:00Z,"solar eclipse of April 6, 1913",
http://www.wikidata.org/entity/Q841551,2003-05-31T00:00:00Z,"solar eclipse of May 31, 2003",
http://www.wikidata.org/entity/Q10859,1939-04-01T00:00:00Z,Spanish Civil War,
http://www.wikidata.org/entity/Q43378,1902-11-21T00:00:00Z,Thousand Days' War,
http://www.wikidata.org/entity/Q129053,1947-08-15T00:00:00Z,partition of India,
http://www.wikidata.org/entity/Q362,1945-09-02T00:00:00Z,World War II,
http://www.wikidata.org/entity/Q33761,2010-12-17T00:00:00Z,Arab Spring,
http://www.wikidata.org/entity/Q1859834,1997-03-09T00:00:00Z,"solar eclipse of March 9, 1997",
http://www.wikidata.org/entity/Q2035756,1919-05-29T00:00:00Z,"solar eclipse of May 29, 1919",
http://www.wikidata.org/entity/Q2063825,2014-04-29T00:00:00Z,"solar eclipse of April 29, 2014",
http://www.wikidata.org/entity/Q2301896,2018-07-13T00:00:00Z,"solar eclipse of July 13, 2018",
http://www.wikidata.org/entity/Q2301900,1914-08-21T00:00:00Z,"solar eclipse of August 21, 1914",
http://www.wikidata.org/entity/Q3084791,1938-05-29T00:00:00Z,"solar eclipse of May 29, 1938",
http://www.wikidata.org/entity/Q1513462,1991-07-11T00:00:00Z,"solar eclipse of July 11, 1991",
http://www.wikidata.org/entity/Q1516937,2003-11-23T00:00:00Z,"solar eclipse of November 23, 2003",
http://www.wikidata.org/entity/Q1549112,2016-03-09T00:00:00Z,"solar eclipse of March 9, 2016",
http://www.wikidata.org/entity/Q1556090,2009-01-26T00:00:00Z,"solar eclipse of January 26, 2009",
http://www.wikidata.org/entity/Q1580486,2014-10-23T00:00:00Z,"solar eclipse of October 23, 2014",
http://www.wikidata.org/entity/Q1859159,2000-12-25T00:00:00Z,"solar eclipse of December 25, 2000",
http://www.wikidata.org/entity/Q1859295,1998-02-26T00:00:00Z,"solar eclipse of February 26, 1998",
http://www.wikidata.org/entity/Q1859795,2000-02-05T00:00:00Z,"solar eclipse of February 5, 2000",
http://www.wikidata.org/entity/Q1859810,2000-07-01T00:00:00Z,"solar eclipse of July 1, 2000",
http://www.wikidata.org/entity/Q361,1918-11-11T00:00:00Z,World War I,
http://www.wikidata.org/entity/Q1584023,1999-02-16T00:00:00Z,"solar eclipse of February 16, 1999",
http://www.wikidata.org/entity/Q1584078,1994-11-03T00:00:00Z,"solar eclipse of November 3, 1994",
http://www.wikidata.org/entity/Q1584094,1993-05-21T00:00:00Z,"solar eclipse of May 21, 1993",
http://www.wikidata.org/entity/Q1584153,1996-10-12T00:00:00Z,"solar eclipse of October 12, 1996",
http://www.wikidata.org/entity/Q1640337,1995-10-24T00:00:00Z,"solar eclipse of October 24, 1995",
http://www.wikidata.org/entity/Q1783532,2011-06-01T00:00:00Z,"solar eclipse of June 1, 2011",
http://www.wikidata.org/entity/Q1553256,1926-05-02T00:00:00Z,Nicaraguan Civil War of 1926–1927,
http://www.wikidata.org/entity/Q1781457,1998-06-07T00:00:00Z,Bissau-Guinean Civil War,
http://www.wikidata.org/entity/Q2379101,1940-01-01T00:00:00Z,1947–1948 Civil War in Mandatory Palestine,
http://www.wikidata.org/entity/Q1154912,1997-11-24T00:00:00Z,Iraqi Kurdish Civil War,
http://www.wikidata.org/entity/Q1276892,1986-01-24T00:00:00Z,South Yemen civil war,
http://www.wikidata.org/entity/Q1345258,1915-12-25T00:00:00Z,National Protection War,
http://www.wikidata.org/entity/Q1477500,1989-12-24T00:00:00Z,First Liberian Civil War,
